time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,19,0,0,19,inf,inf,inf,2.8421052631578947,inf,0.0,inf,inf,0.0,0.0
100,420,239,37,144,22.916616618691812,32.970923204110434,4.698955170429233,2.669047619047619,5.533029612756264,17.35,20.493723849372383,14.192468619246862,0.030172136689610978,0.3294708801176425
200,862,576,117,169,24.395734586487112,36.79536524751963,4.672428556229576,2.6705336426914155,5.660874961216258,21.165893271461716,24.338541666666668,15.012152777777779,0.030232111547132397,0.3759440889155212
300,1297,936,175,186,25.694993146773054,37.78589631534591,4.676431350650156,2.676175790285274,5.682408500590319,22.265227447956825,25.313034188034187,14.958333333333334,0.03065363949555959,0.382092354372767
400,1736,1303,251,182,26.034128646348968,38.3550659729504,4.677156743658178,2.6756912442396312,5.712738671986321,23.09447004608295,25.85725249424405,15.277052954719878,0.03073689944943498,0.3901759103641461
500,2132,1666,316,150,27.43723329073016,38.70944670607281,4.685737760251569,2.6627579737335836,5.71638795986622,24.05065666041276,26.23169267707083,15.220288115246099,0.030063810754214434,0.39523195201455996
600,2550,2007,374,169,27.368880935374033,38.745026962655004,4.680087518374602,2.6670588235294117,5.6979428465047,24.005098039215685,26.274040857000497,15.22272047832586,0.03031887886746795,0.3938064025838314
700,2990,2354,466,170,27.062263509600108,39.05365402931744,4.683717476158155,2.6698996655518394,5.717374151806848,24.234782608695653,26.56627017841971,15.251486830926083,0.03066112038184326,0.39832454432967274
800,3418,2706,558,154,26.662996042528597,39.37048725930098,4.69019052276946,2.6699824458747807,5.712311985299122,24.55558806319485,26.861049519586103,15.276053215077605,0.03083339397302082,0.4025015766318878
900,3835,3065,618,152,26.539753614937776,39.31387819878334,4.685523697941888,2.6698826597131684,5.7129685794007035,24.559061277705347,26.81957585644372,15.261011419249591,0.03072852246554785,0.40174844581468705
