time,node,sf
100,pop1,a
100,pop1,b
100,pop1,c
100,pop2,a
100,pop2,b
100,pop2,c
100,pop3,a
100,pop3,b
100,pop3,c
100,pop8,a
100,pop8,b
100,pop8,c
100,pop9,a
100,pop9,b
100,pop9,c
100,pop14,a
100,pop14,b
100,pop14,c
100,pop15,a
100,pop15,b
100,pop15,c
100,pop17,a
100,pop17,b
100,pop17,c
100,pop18,a
100,pop18,b
100,pop20,a
100,pop20,b
100,pop20,c
100,pop21,a
100,pop21,b
100,pop21,c
100,pop24,b
100,pop24,a
100,pop24,c
100,pop26,b
100,pop26,a
100,pop26,c
100,pop29,b
100,pop29,c
100,pop29,a
100,pop32,a
100,pop32,b
100,pop32,c
100,pop35,b
100,pop35,a
100,pop37,b
100,pop37,a
100,pop37,c
100,pop40,b
100,pop40,a
100,pop40,c
100,pop44,a
100,pop44,b
100,pop44,c
100,pop45,a
100,pop45,b
100,pop45,c
100,pop46,b
100,pop46,a
100,pop46,c
100,pop48,a
100,pop48,b
100,pop48,c
100,pop49,a
100,pop49,c
100,pop49,b
100,pop50,b
100,pop50,a
100,pop50,c
100,pop52,a
100,pop52,c
100,pop52,b
100,pop54,c
100,pop54,a
100,pop54,b
200,pop1,a
200,pop1,b
200,pop1,c
200,pop2,a
200,pop2,b
200,pop2,c
200,pop3,b
200,pop3,a
200,pop3,c
200,pop8,a
200,pop8,b
200,pop8,c
200,pop9,a
200,pop9,b
200,pop9,c
200,pop14,a
200,pop14,c
200,pop14,b
200,pop15,a
200,pop15,b
200,pop15,c
200,pop17,a
200,pop17,c
200,pop17,b
200,pop18,a
200,pop18,b
200,pop18,c
200,pop20,a
200,pop20,b
200,pop20,c
200,pop21,b
200,pop21,a
200,pop21,c
200,pop24,b
200,pop24,a
200,pop24,c
200,pop26,a
200,pop26,c
200,pop26,b
200,pop29,b
200,pop29,a
200,pop29,c
200,pop32,a
200,pop32,b
200,pop32,c
200,pop35,b
200,pop35,a
200,pop35,c
200,pop37,a
200,pop37,b
200,pop37,c
200,pop40,b
200,pop40,a
200,pop40,c
200,pop44,a
200,pop44,b
200,pop44,c
200,pop45,a
200,pop45,b
200,pop45,c
200,pop46,b
200,pop46,a
200,pop46,c
200,pop48,b
200,pop48,a
200,pop48,c
200,pop49,a
200,pop49,c
200,pop49,b
200,pop50,b
200,pop50,a
200,pop50,c
200,pop52,a
200,pop52,b
200,pop52,c
200,pop54,a
200,pop54,b
200,pop54,c
