time,node,sf
100,pop18,b
100,pop18,c
100,pop18,a
100,pop21,b
100,pop21,a
100,pop21,c
100,pop23,c
100,pop23,b
100,pop23,a
100,pop38,a
100,pop38,b
100,pop42,b
100,pop42,c
100,pop42,a
100,pop71,a
100,pop71,b
100,pop71,c
100,pop19,a
100,pop19,b
100,pop19,c
100,pop41,b
100,pop26,b
100,pop26,c
100,pop26,a
100,pop13,a
100,pop13,b
100,pop53,c
100,pop5,b
100,pop5,a
100,pop72,a
100,pop72,b
100,pop72,c
100,pop16,c
100,pop16,a
100,pop16,b
100,pop55,b
100,pop55,a
100,pop22,b
100,pop22,c
100,pop40,b
100,pop40,a
100,pop70,b
100,pop70,c
100,pop49,b
100,pop49,a
100,pop17,a
100,pop17,b
100,pop17,c
100,pop61,b
100,pop61,a
100,pop61,c
100,pop29,b
100,pop29,a
100,pop6,a
100,pop32,b
100,pop32,a
100,pop32,c
100,pop28,b
100,pop28,a
100,pop28,c
100,pop25,a
100,pop50,a
100,pop50,b
100,pop27,b
100,pop27,a
100,pop52,a
100,pop52,b
100,pop52,c
200,pop23,a
200,pop23,b
200,pop23,c
200,pop71,a
200,pop71,b
200,pop71,c
200,pop19,a
200,pop19,b
200,pop19,c
200,pop41,a
200,pop26,a
200,pop13,b
200,pop13,a
200,pop53,b
200,pop53,a
200,pop53,c
200,pop5,b
200,pop5,a
200,pop55,a
200,pop55,b
200,pop22,c
200,pop22,a
200,pop40,b
200,pop40,c
200,pop40,a
200,pop70,a
200,pop70,b
200,pop70,c
200,pop49,a
200,pop49,b
200,pop49,c
200,pop61,a
200,pop61,b
200,pop61,c
200,pop29,a
200,pop29,b
200,pop29,c
200,pop6,c
200,pop32,a
200,pop32,b
200,pop32,c
200,pop25,a
200,pop50,b
200,pop50,a
200,pop52,c
200,pop10,a
200,pop15,a
200,pop54,b
300,pop21,b
300,pop21,c
300,pop21,a
300,pop23,b
300,pop23,c
300,pop23,a
300,pop42,b
300,pop42,a
300,pop71,b
300,pop71,a
300,pop71,c
300,pop19,b
300,pop19,a
300,pop19,c
300,pop41,a
300,pop41,b
300,pop26,a
300,pop26,b
300,pop26,c
300,pop13,b
300,pop13,a
300,pop53,a
300,pop53,b
300,pop53,c
300,pop5,b
300,pop5,a
300,pop5,c
300,pop16,a
300,pop16,b
300,pop16,c
300,pop55,b
300,pop55,a
300,pop55,c
300,pop22,a
