time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,24,0,0,24,inf,inf,inf,2.5416666666666665,inf,0.0,inf,inf,0.0,0.0
100,527,147,152,228,29.406217920936296,36.50334079450685,4.692545895599985,2.6755218216318783,4.971623751970573,17.952561669829223,24.197278911564627,20.666666666666668,0.0301019356442158,0.36007217884626075
200,1063,387,445,231,34.00163694887389,43.67415436013823,4.684241513394294,2.6735653809971778,5.158391959798995,24.142050799623707,31.2015503875969,24.37984496124031,0.030841380257553605,0.42116032932964553
300,1595,639,732,224,34.35339140768763,46.58445319589165,4.681001769498094,2.6557993730407525,5.260425743806797,26.493416927899688,34.10015649452269,25.802816901408452,0.03103797136246875,0.4364988392338911
400,2122,879,1024,219,35.516881688845196,47.72751961283683,4.690154198415696,2.65928369462771,5.2949450948361925,27.495287464655984,35.32423208191126,26.159271899886235,0.031123866538192213,0.4443616503146027
500,2635,1113,1296,226,35.86212552728957,48.65518533886104,4.675205683716851,2.664516129032258,5.321241320674508,28.50246679316888,36.21473495058401,26.144654088050313,0.031155958034694536,0.4495333894133113
600,3156,1339,1581,236,36.26738447152692,49.59583854413092,4.6797333113232735,2.6714195183776934,5.329109509416415,29.050063371356146,37.132188200149365,26.563106796116504,0.0313359503186171,0.4524048160093841
700,3684,1552,1913,219,36.39791176003531,50.17035490674819,4.677171225216919,2.6726384364820848,5.3523300682695165,29.368078175895764,37.720360824742265,26.664948453608247,0.03145666866798873,0.4547755798963067
800,4225,1797,2196,232,36.370905338509175,50.361604312516214,4.67889344905098,2.6719526627218935,5.36437978824137,29.499644970414202,37.88369504730106,26.709515859766277,0.03163213730547547,0.4553251117875535
900,4747,2047,2474,226,36.19137486788166,50.75456426628761,4.681274043111292,2.6720033705498207,5.367639763403931,29.63113545397093,38.289203712750364,26.949682462139716,0.03152558624375261,0.45465355474092745
1000.0,5269,2308,2749,212,36.24276092051546,50.37055725197908,4.676799313687675,2.674321503131524,5.370245777838803,29.691782121844753,37.903812824956674,26.849220103986134,0.03148167386651276,0.4541035875597733
