time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,32,0,0,32,inf,inf,inf,2.59375,inf,0.0,inf,inf,0.0,0.0
100,721,138,277,306,24.68415534362391,43.34742646560803,4.722757481626169,2.662968099861304,5.647626399073717,20.295423023578362,30.934782608695652,22.68840579710145,0.03275720676253293,0.4866471133360713
200,1453,400,749,304,26.81399659387277,53.53420827035847,4.702200406046414,2.661390227116311,5.659473839787172,26.353750860289058,41.06,25.4975,0.0318639637058462,0.5503175772423685
300,2187,648,1211,328,26.966355092282235,60.22568319509683,4.69977184284142,2.658893461362597,5.667087922007583,28.705989940557842,47.77160493827161,27.25,0.032339354941766714,0.5661598906820076
400,2899,947,1638,314,27.851552669835513,63.104340573220775,4.704051915817205,2.6629872369782683,5.688275414095486,30.207312866505692,50.66209081309398,27.916578669482575,0.031963835496380176,0.5705860894567727
500,3611,1220,2079,312,27.55445929255622,64.08568031461978,4.694355308270225,2.6696206037108836,5.721515728775164,30.775131542509,51.60819672131147,28.241803278688526,0.0323703304419088,0.5732909448006579
600,4302,1499,2493,310,28.230236620811205,64.5663421708349,4.691707571394099,2.6708507670850765,5.723243792898907,31.399349139934913,51.99933288859239,28.218145430286857,0.03222920810703802,0.5751704052107526
700,4995,1764,2909,322,28.518837645067627,64.94172301673454,4.6908622951571335,2.6716716716716715,5.7371469949312095,31.723723723723722,52.4030612244898,28.28061224489796,0.03205583754192983,0.5766410403161552
800,5711,2032,3347,332,28.666335235385777,65.27671382722046,4.687021189994944,2.6727368236736124,5.753045613372367,32.00087550341446,52.71653543307087,28.397145669291337,0.03216742255899167,0.5792435664842266
900,6441,2304,3834,303,28.585692741997253,65.78746808176625,4.683939717799577,2.6744294364229155,5.763873775843308,32.073125291103864,53.23394097222222,28.50824652777778,0.032369543112229435,0.5816246341829066
