time,node,sf
100,pop15,a
100,pop15,b
100,pop15,c
100,pop18,a
100,pop18,b
100,pop18,c
100,pop32,b
100,pop32,a
100,pop40,a
100,pop40,b
100,pop40,c
100,pop45,a
100,pop45,b
100,pop45,c
100,pop50,a
100,pop50,b
100,pop50,c
100,pop41,b
100,pop19,b
100,pop19,a
100,pop19,c
100,pop53,a
100,pop53,b
100,pop1,c
100,pop1,b
100,pop51,b
100,pop51,a
100,pop51,c
100,pop44,b
100,pop36,a
100,pop43,c
100,pop22,b
200,pop15,a
200,pop15,c
200,pop15,b
200,pop18,a
200,pop18,b
200,pop18,c
200,pop32,b
200,pop32,a
200,pop32,c
200,pop40,a
200,pop40,b
200,pop45,a
200,pop45,b
200,pop45,c
200,pop50,b
200,pop50,c
200,pop50,a
200,pop41,c
200,pop19,b
200,pop19,c
200,pop19,a
200,pop53,c
200,pop1,b
200,pop1,c
200,pop1,a
200,pop33,c
200,pop51,c
200,pop17,b
300,pop15,a
300,pop15,b
300,pop15,c
300,pop18,a
300,pop18,b
300,pop18,c
300,pop32,b
300,pop32,a
300,pop32,c
300,pop40,b
300,pop40,a
300,pop40,c
300,pop45,a
300,pop45,b
300,pop50,a
300,pop50,b
300,pop50,c
300,pop41,b
300,pop41,c
300,pop53,b
300,pop53,a
300,pop33,a
300,pop44,c
300,pop44,b
300,pop44,a
300,pop39,c
300,pop7,b
300,pop7,c
300,pop47,c
400,pop15,a
400,pop15,b
400,pop15,c
400,pop18,a
400,pop18,b
400,pop18,c
400,pop32,a
400,pop32,c
400,pop32,b
400,pop40,b
400,pop40,a
400,pop40,c
400,pop45,b
400,pop45,a
400,pop45,c
400,pop50,b
400,pop50,c
400,pop50,a
400,pop41,a
400,pop41,b
400,pop19,b
400,pop19,a
400,pop53,a
400,pop53,c
400,pop1,a
400,pop1,b
400,pop1,c
400,pop33,a
400,pop33,b
400,pop33,c
400,pop51,a
400,pop51,b
400,pop51,c
400,pop44,a
400,pop44,b
400,pop44,c
400,pop55,a
400,pop55,b
400,pop55,c
400,pop17,b
400,pop0,c
400,pop25,a
500,pop15,a
500,pop15,c
500,pop15,b
500,pop18,b
500,pop18,a
500,pop18,c
500,pop32,b
500,pop32,a
500,pop32,c
500,pop40,a
500,pop40,c
500,pop40,b
500,pop45,a
500,pop45,b
500,pop45,c
500,pop50,a
500,pop50,b
500,pop50,c
500,pop41,a
500,pop19,a
500,pop19,b
500,pop19,c
500,pop1,a
500,pop1,c
500,pop33,a
500,pop0,b
600,pop15,a
600,pop15,c
600,pop15,b
600,pop18,a
600,pop18,c
600,pop18,b
600,pop32,c
600,pop32,a
600,pop40,a
600,pop40,b
600,pop40,c
600,pop45,b
600,pop45,a
600,pop45,c
600,pop50,a
600,pop50,b
600,pop50,c
600,pop41,c
600,pop41,a
600,pop19,b
600,pop19,c
600,pop53,a
600,pop53,c
600,pop1,b
600,pop1,a
600,pop33,c
600,pop33,a
600,pop33,b
600,pop51,b
600,pop51,c
600,pop51,a
600,pop44,b
600,pop44,c
600,pop44,a
600,pop27,c
600,pop55,b
600,pop55,c
600,pop55,a
600,pop35,a
600,pop17,b
600,pop43,c
600,pop22,c
600,pop29,c
700,pop15,a
700,pop15,b
700,pop15,c
700,pop18,a
700,pop18,b
700,pop18,c
700,pop32,a
700,pop32,c
700,pop32,b
700,pop40,b
700,pop40,c
700,pop40,a
700,pop45,a
700,pop45,b
700,pop45,c
700,pop50,a
700,pop50,b
700,pop50,c
700,pop41,b
700,pop41,c
700,pop53,a
700,pop53,b
700,pop1,b
700,pop1,a
700,pop1,c
700,pop33,c
700,pop33,b
700,pop51,c
700,pop44,b
700,pop44,c
700,pop39,c
700,pop35,b
700,pop17,a
700,pop22,c
700,pop20,c
700,pop31,b
800,pop15,a
800,pop15,c
800,pop15,b
800,pop18,a
800,pop18,b
800,pop18,c
800,pop32,a
800,pop32,b
800,pop32,c
800,pop40,b
800,pop40,c
800,pop40,a
800,pop45,b
800,pop45,c
800,pop45,a
800,pop50,a
800,pop50,b
800,pop50,c
800,pop41,b
800,pop41,a
800,pop41,c
800,pop19,a
800,pop19,c
800,pop19,b
800,pop53,c
800,pop53,a
800,pop53,b
800,pop33,a
800,pop33,b
800,pop51,b
800,pop51,a
800,pop44,a
800,pop3,b
800,pop37,c
800,pop43,a
800,pop46,c
800,pop42,c
900,pop15,a
900,pop15,b
900,pop18,a
900,pop18,b
900,pop18,c
900,pop32,a
900,pop32,b
900,pop32,c
900,pop40,a
900,pop40,c
900,pop40,b
900,pop45,a
900,pop45,b
