time,node,sf
100,pop32,b
100,pop32,c
100,pop18,a
100,pop18,b
100,pop18,c
100,pop37,b
100,pop37,c
100,pop15,a
100,pop40,a
100,pop40,b
100,pop40,c
100,pop51,b
100,pop51,c
100,pop50,a
100,pop50,b
100,pop50,c
100,pop53,a
100,pop19,a
100,pop19,b
100,pop19,c
100,pop41,a
100,pop22,a
100,pop22,b
100,pop22,c
100,pop20,c
100,pop46,a
100,pop46,b
100,pop46,c
100,pop45,a
100,pop45,b
100,pop45,c
100,pop43,a
100,pop44,a
100,pop44,b
100,pop44,c
100,pop52,a
100,pop39,a
100,pop2,b
100,pop34,c
100,pop12,b
100,pop57,c
100,pop57,b
100,pop3,a
100,pop17,c
100,pop14,a
100,pop10,b
100,pop10,c
100,pop8,a
100,pop54,a
100,pop54,b
100,pop27,b
100,pop36,b
200,pop32,c
200,pop32,a
200,pop32,b
200,pop18,c
200,pop18,a
200,pop18,b
200,pop15,a
200,pop15,b
200,pop15,c
200,pop40,a
200,pop40,b
200,pop40,c
200,pop51,b
200,pop51,c
200,pop51,a
200,pop25,c
200,pop50,b
200,pop50,a
200,pop50,c
200,pop53,b
200,pop53,c
200,pop53,a
200,pop19,b
200,pop19,c
200,pop41,a
200,pop41,b
200,pop41,c
200,pop1,b
200,pop1,c
200,pop30,b
200,pop43,a
200,pop43,b
200,pop43,c
200,pop44,c
200,pop52,a
200,pop28,c
200,pop28,b
200,pop0,b
200,pop56,a
200,pop56,b
200,pop56,c
200,pop57,b
200,pop7,c
200,pop3,a
200,pop16,b
200,pop16,a
200,pop24,a
200,pop24,b
200,pop9,a
300,pop32,a
300,pop32,b
300,pop32,c
300,pop15,b
300,pop15,a
300,pop40,a
300,pop51,b
300,pop51,c
300,pop51,a
300,pop50,c
300,pop50,a
300,pop50,b
300,pop53,a
300,pop53,b
300,pop19,b
300,pop19,c
300,pop41,b
300,pop41,a
300,pop4,c
300,pop48,a
300,pop22,b
300,pop22,c
300,pop46,b
300,pop46,a
300,pop45,a
300,pop43,b
300,pop43,c
300,pop44,a
300,pop44,b
300,pop44,c
300,pop52,a
300,pop52,c
300,pop52,b
300,pop39,a
300,pop57,b
300,pop57,c
300,pop42,b
300,pop42,c
300,pop7,a
300,pop47,b
300,pop47,c
300,pop3,a
300,pop3,b
300,pop3,c
300,pop14,b
300,pop14,c
300,pop8,b
300,pop8,a
300,pop54,b
400,pop32,a
400,pop32,b
400,pop32,c
400,pop18,a
400,pop18,b
400,pop15,b
400,pop15,a
400,pop40,a
400,pop40,b
400,pop40,c
400,pop51,b
400,pop50,a
400,pop53,c
400,pop53,b
400,pop53,a
400,pop19,a
400,pop41,b
400,pop41,a
400,pop1,b
400,pop1,a
400,pop1,c
400,pop22,a
400,pop22,b
400,pop22,c
400,pop20,c
400,pop35,b
400,pop35,c
400,pop46,b
400,pop46,c
400,pop46,a
400,pop45,b
400,pop45,a
400,pop43,b
400,pop43,a
400,pop52,a
400,pop52,b
400,pop52,c
400,pop28,a
400,pop28,b
400,pop0,b
400,pop0,a
400,pop21,b
400,pop21,a
400,pop7,a
400,pop7,b
400,pop7,c
400,pop14,c
400,pop14,b
400,pop38,b
400,pop38,a
400,pop27,a
400,pop27,b
400,pop13,a
400,pop23,b
400,pop23,c
500,pop32,a
500,pop32,b
500,pop32,c
500,pop18,a
500,pop18,c
500,pop18,b
500,pop15,a
500,pop15,b
500,pop15,c
500,pop40,a
500,pop40,b
500,pop40,c
500,pop51,a
500,pop50,a
500,pop50,b
500,pop50,c
500,pop53,b
500,pop53,a
500,pop53,c
500,pop19,a
500,pop19,b
500,pop41,a
500,pop41,b
500,pop41,c
500,pop1,a
500,pop4,a
500,pop4,b
500,pop4,c
500,pop48,b
500,pop48,a
500,pop20,b
500,pop20,c
500,pop35,b
500,pop35,c
500,pop46,b
500,pop46,a
500,pop46,c
500,pop45,c
500,pop43,b
500,pop43,c
500,pop44,a
500,pop44,b
500,pop44,c
500,pop52,b
500,pop52,c
500,pop33,a
500,pop28,b
500,pop28,c
500,pop39,a
500,pop34,b
500,pop34,a
500,pop0,b
500,pop31,a
500,pop31,b
500,pop31,c
500,pop21,b
500,pop21,c
500,pop3,a
500,pop36,b
500,pop36,c
500,pop29,c
500,pop5,a
500,pop16,b
500,pop23,a
500,pop23,b
500,pop23,c
600,pop32,a
600,pop32,b
600,pop18,b
600,pop18,a
600,pop15,a
600,pop15,b
600,pop15,c
600,pop40,b
600,pop40,c
600,pop40,a
600,pop51,b
600,pop51,a
600,pop50,a
600,pop50,b
600,pop53,a
600,pop53,b
600,pop53,c
600,pop19,b
600,pop19,c
600,pop19,a
600,pop41,b
600,pop41,a
600,pop41,c
600,pop1,a
600,pop1,c
600,pop22,c
600,pop20,a
600,pop55,c
600,pop46,a
600,pop45,c
600,pop45,b
600,pop45,a
600,pop43,b
600,pop43,a
600,pop44,b
600,pop44,a
600,pop52,a
600,pop52,b
600,pop28,a
600,pop28,b
600,pop28,c
600,pop39,a
600,pop39,b
600,pop39,c
600,pop0,c
600,pop0,b
600,pop31,c
600,pop56,b
600,pop56,a
600,pop21,c
600,pop57,a
600,pop57,b
600,pop57,c
600,pop42,a
600,pop47,a
600,pop3,b
600,pop3,c
600,pop10,a
600,pop27,a
600,pop36,c
600,pop36,a
600,pop6,b
600,pop6,a
600,pop24,b
600,pop24,c
600,pop9,a
700,pop32,a
700,pop32,c
700,pop32,b
700,pop18,b
700,pop18,a
700,pop18,c
700,pop15,a
700,pop15,b
700,pop15,c
700,pop40,a
700,pop40,b
700,pop51,a
700,pop50,b
700,pop50,a
700,pop50,c
700,pop53,a
700,pop19,a
700,pop19,b
700,pop19,c
700,pop41,a
700,pop41,b
700,pop41,c
700,pop1,a
700,pop1,b
700,pop48,a
700,pop48,b
700,pop48,c
700,pop55,b
700,pop55,a
700,pop46,c
700,pop46,a
700,pop45,b
700,pop45,a
700,pop43,a
700,pop44,b
700,pop44,a
700,pop33,a
700,pop33,b
700,pop33,c
700,pop39,c
700,pop56,c
700,pop57,b
700,pop57,a
700,pop42,a
700,pop47,b
700,pop3,b
700,pop3,c
700,pop14,b
700,pop14,a
700,pop38,a
700,pop10,a
700,pop10,b
700,pop27,c
700,pop36,b
700,pop36,c
700,pop23,b
700,pop23,c
700,pop23,a
800,pop32,a
800,pop32,b
800,pop18,a
800,pop18,b
800,pop15,b
800,pop15,a
800,pop40,b
800,pop40,c
800,pop40,a
800,pop51,a
800,pop51,b
800,pop51,c
800,pop50,c
800,pop50,a
800,pop53,b
800,pop53,a
800,pop53,c
800,pop19,a
800,pop19,b
800,pop19,c
800,pop41,a
800,pop41,b
800,pop41,c
800,pop1,c
800,pop1,a
800,pop1,b
800,pop4,c
800,pop48,a
800,pop48,b
800,pop48,c
800,pop22,b
800,pop22,c
800,pop55,c
800,pop45,b
800,pop45,c
800,pop45,a
800,pop43,b
800,pop43,c
800,pop44,a
800,pop44,b
800,pop44,c
800,pop52,c
800,pop52,b
800,pop33,c
800,pop11,a
800,pop21,b
800,pop14,b
800,pop14,a
800,pop10,a
800,pop10,b
800,pop8,b
800,pop36,b
800,pop26,c
800,pop24,a
800,pop24,b
900,pop32,b
900,pop32,a
900,pop18,a
900,pop37,a
900,pop37,b
900,pop40,a
900,pop40,b
900,pop51,b
900,pop51,c
900,pop51,a
900,pop53,a
900,pop53,b
900,pop53,c
900,pop19,b
900,pop19,a
900,pop41,a
900,pop41,b
900,pop41,c
900,pop1,c
900,pop1,a
900,pop35,b
900,pop35,c
900,pop35,a
900,pop55,b
900,pop55,a
900,pop46,a
900,pop46,b
900,pop46,c
900,pop45,a
900,pop45,b
900,pop45,c
900,pop43,a
900,pop43,b
900,pop43,c
900,pop44,a
900,pop44,b
900,pop28,b
900,pop39,b
900,pop39,a
900,pop57,b
900,pop57,c
900,pop42,b
900,pop42,a
900,pop7,b
900,pop47,b
900,pop47,c
900,pop17,a
900,pop14,a
900,pop14,b
900,pop14,c
900,pop38,a
900,pop27,a
900,pop27,b
900,pop26,b
900,pop6,a
900,pop6,b
900,pop6,c
900,pop9,a
900,pop9,b
900,pop9,c
