time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,9,0,0,9,inf,inf,inf,3.0,inf,0.0,inf,inf,0.0,0.0
100,200,145,0,55,inf,28.41095269413214,4.67439460939429,2.66,4.06875,13.02,16.075862068965517,15.331034482758621,0.14675815330286718,0.01341382772469183
200,377,321,0,56,inf,28.47300707299498,4.679223805785314,2.679045092838196,4.031875463306153,14.427055702917771,16.046728971962615,15.404984423676012,0.14397538947555716,0.012978739666000013
300,585,524,0,61,inf,29.005983465646445,4.668254686414944,2.6854700854700853,4.0739051094890515,15.264957264957266,16.49236641221374,15.935114503816793,0.1445808251943351,0.013591601886917855
400,799,732,0,67,inf,29.057123647559163,4.667363841475542,2.6795994993742176,4.107551487414188,15.725907384230288,16.562841530054644,15.950819672131148,0.1485393400942061,0.014202618637178638
500,1001,941,0,60,inf,29.191649370478405,4.677351928829961,2.6833166833166833,4.117390187516055,16.01298701298701,16.668437832093517,16.088204038257174,0.15043388147406084,0.014303010977998453
600,1205,1141,0,64,inf,29.21496027628626,4.6848400096627545,2.6863070539419085,4.13091684434968,16.078008298755186,16.670464504820334,16.111305872042067,0.1504048123915712,0.01422058180599498
700,1424,1361,0,63,inf,29.369274454757647,4.684526970906415,2.6853932584269664,4.148272807794508,16.444522471910112,16.803085966201323,16.23438648052902,0.1560434157061826,0.01508477077371452
800,1610,1560,0,50,inf,29.311073711705603,4.680300368267071,2.679503105590062,4.150603353706316,16.450310559006212,16.765384615384615,16.084615384615386,0.15483866915312278,0.014935205243880713
900,1818,1759,0,59,inf,29.259490445408254,4.686843359346753,2.6727172717271728,4.15857063093244,16.387238723872386,16.739624786810687,16.104036384309268,0.15301351593002685,0.01471499485060128
1000.0,2034,1973,0,61,inf,29.2903046645844,4.689358920350591,2.669124877089479,4.164714677298779,16.43362831858407,16.786619361378612,16.14292954891029,0.15315546422683368,0.014759348557911079
