time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,30,0,0,30,inf,inf,inf,2.7666666666666666,inf,0.0,inf,inf,0.0,0.0
100,669,364,2,303,6.157741372287559,36.46108571215175,4.7148349964389284,2.6681614349775784,6.375,20.582959641255606,24.076923076923077,15.596153846153847,0.3750295433723296,0.06679979994600317
200,1346,982,6,358,48.10089054906578,42.65702862359965,4.720308766828359,2.675334323922734,6.466871061148016,28.207280832095098,30.239307535641547,16.691446028513237,0.4334432537141371,0.09216681325669909
300,2009,1626,14,369,50.64492738750961,46.34313226757631,4.690771932992767,2.6635141861622698,6.5090872374798066,32.08860129417621,33.88376383763838,16.96371463714637,0.4580791309078301,0.10504687825618539
400,2720,2302,22,396,54.07806190265419,47.50573852283899,4.700829138646427,2.6691176470588234,6.500804477089892,34.165073529411764,35.08470894874023,17.063423110338835,0.47411096370494527,0.11241685168616239
500,3383,2979,37,367,69.46085727931307,48.90157857573005,4.700500386661987,2.6692284954182677,6.4743228141131395,35.961868164351166,36.438066465256796,17.070829137294393,0.48290075140061844,0.11855881512564136
600,4057,3653,47,357,67.7862449738087,50.157673692975855,4.699164626580185,2.669953167365048,6.45112621276232,37.204091693369485,37.679715302491104,17.002737476047084,0.491258842828325,0.12253911397043553
700,4732,4306,52,374,67.78054320205928,50.63305614872774,4.6975256759479125,2.6709636517328823,6.426136568808002,37.607565511411664,38.14235949837436,16.989084997677658,0.49280184416959766,0.12377495727677713
800,5403,4965,61,377,64.00768817253547,50.95573629661063,4.693399947730114,2.670738478622987,6.4429069001223755,38.00277623542476,38.473313192346424,16.982678751258813,0.4947497861813382,0.12469863967356085
900,6071,5649,67,355,62.80577518384597,51.435903705961984,4.692096961540274,2.66974139351013,6.458967406341652,38.45165541097018,38.95485926712693,16.97645600991326,0.49603231759672106,0.12547139353412726
