time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,24,0,0,24,inf,inf,inf,2.5416666666666665,inf,0.0,inf,inf,0.0,0.0
100,536,290,0,246,inf,40.4335651829111,4.740160739165787,2.6641791044776117,4.474091260634184,21.58582089552239,28.110344827586207,27.755172413793105,0.28925169940109635,0.05387429108116887
200,1052,805,0,247,inf,44.15810330651406,4.709703618398216,2.670152091254753,4.54635047736372,28.064638783269963,31.72919254658385,30.619875776397514,0.30122637402795444,0.06266822902686317
300,1566,1325,0,241,inf,45.29608408015938,4.694669967047008,2.657088122605364,4.598528130144282,30.325031928480204,32.82566037735849,31.417358490566038,0.3076449747312621,0.06624623989316354
400,2111,1860,0,251,inf,45.705955394681055,4.690430908470565,2.6589294173377547,4.594314521775662,31.08289909995263,33.288709677419355,31.611290322580643,0.3092149633601936,0.0675227582020818
500,2666,2403,0,263,inf,45.943871245423345,4.6867634703910195,2.664291072768192,4.592082429501085,31.76219054763691,33.50894714939659,31.835205992509362,0.31381939411933807,0.06882299038627523
600,3202,2938,0,264,inf,45.94868536081413,4.6902409990255345,2.6677076826983135,4.602231821454284,31.942535915053092,33.471749489448605,31.893805309734514,0.3163997639062188,0.06914750922049454
700,3748,3472,0,276,inf,46.13058485191155,4.689357664143585,2.6683564567769475,4.598604368932039,32.35218783351121,33.64026497695853,31.78081797235023,0.3199387859173378,0.07060641133003692
800,4281,4024,0,257,inf,46.27993192363181,4.690564878081513,2.6694697500583975,4.5977804045179935,32.70964727867321,33.77236580516899,31.791749502982107,0.3216571510848271,0.07131423503163828
900,4838,4565,0,273,inf,46.37071253107896,4.688394399062485,2.67259198015709,4.597694824939909,32.815832988838366,33.865498357064624,31.84819277108434,0.3242135652976639,0.07188608988675663
1000.0,5391,5114,0,277,inf,46.528192993871556,4.685139582057481,2.6726024856241883,4.592800494386651,33.085883880541644,34.02053187328901,31.904575674618695,0.3268380785507769,0.07276793808853443
