time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,32,0,0,32,inf,inf,inf,2.59375,inf,0.0,inf,inf,0.0,0.0
100,729,269,0,460,inf,45.813044311907426,4.712509009629231,2.663923182441701,6.012746234067207,28.4718792866941,33.486988847583646,26.353159851301115,0.3059424628043132,0.09964078117791798
200,1425,925,0,500,inf,59.017749472588505,4.721198961194532,2.664561403508772,6.205773108351905,41.036491228070176,46.58810810810811,31.644324324324323,0.37536087989748734,0.12949072135379275
300,2154,1630,0,524,inf,62.307970458846356,4.717352978176144,2.6569173630454967,6.251374755072372,45.915970287836586,49.9239263803681,32.833128834355826,0.3937124960269542,0.14162221518975068
400,2919,2369,0,550,inf,64.81875244400946,4.698111016246247,2.663240835902706,6.239582419510484,48.732442617334705,52.4086112283664,33.064584212747995,0.4110377581495389,0.15119570755725245
500,3605,3122,0,483,inf,66.11928266855531,4.706412265278042,2.669348127600555,6.267141736847488,50.9872399445215,53.64958360025624,33.20019218449712,0.41500060932057453,0.1547772447698291
600,4294,3818,0,476,inf,66.87460485566655,4.698793745650395,2.670703306939916,6.273787169642106,52.132044713553796,54.37480356207438,33.30330015715034,0.4177152239033108,0.15644010908915926
700,5019,4500,0,519,inf,67.3894899177369,4.695895231892387,2.672245467224547,6.2951084887704605,52.71886830045826,54.885333333333335,33.284444444444446,0.4189002243881603,0.15771421718552395
800,5722,5214,0,508,inf,67.84618363059614,4.687658837740694,2.6730164278224398,6.288895309243246,53.25777700104859,55.33831990794016,33.44572305331799,0.42049002668737084,0.15866470803167562
900,6468,5924,0,544,inf,67.95296126756077,4.688336731119977,2.6737786023500307,6.287375865998589,53.739177489177486,55.448683322079674,33.39044564483457,0.42294514269705863,0.16091895346415216
