time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,8,0,0,8,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,199,129,0,70,0,36.17438151249267,4.47787560110935,3.0,5.466076696165191,18.623115577889447,22.852713178294575,20.441860465116278,0.2320933906108534,0.0683903540033263
200,365,301,0,64,0,38.00911122170476,4.460804317777313,3.0,5.710893854748603,22.405479452054795,24.58471760797342,21.45514950166113,0.242574640236888,0.07178951500348882
300,552,481,0,71,0,38.814651161599514,4.454332266949117,3.0,5.741949713277459,23.581521739130434,25.434511434511435,21.91268191268191,0.2400004892876586,0.07433393678811182
400,780,685,0,95,0,38.59358315705105,4.465952246315208,3.0,5.754788069073784,23.49871794871795,25.245255474452556,21.493430656934308,0.2520181279898602,0.07657605203983184
500,958,888,0,70,0,38.84697523459672,4.475477571431197,3.0,5.797330696984676,24.484342379958246,25.43243243243243,21.318693693693692,0.25138128199482546,0.07666024906653095
600,1130,1067,0,63,0,38.75843490919361,4.476523275721068,3.0,5.80253164556962,24.339823008849557,25.332708528584817,21.30552952202437,0.2483618526323149,0.07423739171070094
700,1321,1236,0,85,0,38.74430511029612,4.473965832783886,3.0,5.8011465424579,24.51324753974262,25.339805825242717,21.42233009708738,0.24638601352597223,0.07440930604216582
800,1503,1438,0,65,0,38.90847412925321,4.470209011302885,3.0,5.812849162011173,24.922155688622755,25.50069541029207,21.347009735744088,0.24500876036498728,0.07521094084296097
900,1687,1610,0,77,0,39.05872818699806,4.4639809769107135,3.0,5.822898032200357,25.08298755186722,25.670186335403727,21.385093167701864,0.2449988631152186,0.07571120894529211
1000,1868,1801,0,67,0,39.14078388278668,4.470024548958735,3.0,5.824903690816454,25.092612419700213,25.741810105496945,21.43364797334814,0.2446494484191492,0.07514913691433456
