time,node,sf
100,pop20,c
100,pop20,b
100,pop20,a
100,pop27,b
100,pop27,a
100,pop27,c
100,pop13,b
100,pop13,c
100,pop13,a
100,pop8,b
100,pop8,c
100,pop8,a
100,pop2,b
100,pop2,a
100,pop2,c
100,pop1,b
100,pop1,a
100,pop1,c
100,pop25,a
100,pop31,b
100,pop31,c
100,pop31,a
100,pop5,c
100,pop5,b
100,pop0,a
100,pop0,c
100,pop0,b
100,pop23,a
100,pop23,b
100,pop23,c
100,pop7,a
100,pop7,c
100,pop7,b
100,pop19,c
100,pop19,b
100,pop19,a
100,pop3,a
100,pop3,c
200,pop20,c
200,pop20,b
200,pop20,a
200,pop27,b
200,pop27,c
200,pop27,a
200,pop13,b
200,pop13,c
200,pop13,a
200,pop8,b
200,pop8,c
200,pop8,a
200,pop2,a
200,pop2,c
200,pop2,b
200,pop1,a
200,pop1,c
200,pop1,b
200,pop31,b
200,pop31,c
200,pop31,a
200,pop5,a
200,pop5,c
200,pop0,b
200,pop0,c
200,pop0,a
200,pop23,a
200,pop23,c
200,pop23,b
200,pop7,b
200,pop7,c
200,pop3,c
200,pop3,b
200,pop28,c
200,pop28,b
200,pop28,a
300,pop20,c
300,pop20,b
300,pop20,a
300,pop27,b
300,pop27,c
300,pop27,a
300,pop13,b
300,pop13,c
300,pop13,a
300,pop8,b
300,pop8,c
300,pop8,a
300,pop2,c
300,pop2,b
300,pop2,a
300,pop1,a
300,pop1,c
300,pop1,b
300,pop25,b
300,pop25,a
300,pop25,c
300,pop31,b
300,pop31,a
300,pop31,c
300,pop5,a
300,pop5,b
300,pop5,c
300,pop0,b
300,pop0,a
300,pop0,c
300,pop23,c
300,pop23,b
300,pop23,a
300,pop7,b
300,pop7,a
300,pop7,c
300,pop19,b
300,pop19,a
300,pop12,a
300,pop28,c
300,pop28,a
400,pop20,c
400,pop20,b
400,pop20,a
400,pop27,b
400,pop27,c
400,pop27,a
400,pop13,b
400,pop13,c
400,pop13,a
400,pop8,b
400,pop8,c
400,pop8,a
400,pop2,c
400,pop2,b
400,pop2,a
400,pop1,c
400,pop1,b
400,pop1,a
400,pop25,b
400,pop25,a
400,pop25,c
400,pop31,c
400,pop31,b
400,pop31,a
400,pop5,c
400,pop0,b
400,pop0,c
400,pop0,a
400,pop23,a
400,pop23,c
400,pop23,b
400,pop7,c
400,pop7,b
400,pop7,a
400,pop19,b
400,pop19,a
400,pop19,c
400,pop18,b
400,pop12,a
400,pop12,c
400,pop12,b
400,pop10,b
400,pop10,a
400,pop28,c
400,pop28,b
400,pop11,a
500,pop20,c
500,pop20,b
500,pop20,a
500,pop27,c
500,pop27,a
500,pop27,b
500,pop13,b
500,pop13,c
500,pop13,a
500,pop8,b
500,pop8,a
500,pop8,c
500,pop2,c
500,pop2,a
500,pop2,b
500,pop1,a
500,pop1,c
500,pop1,b
500,pop25,b
500,pop25,a
500,pop25,c
500,pop31,b
500,pop31,c
500,pop31,a
500,pop5,a
500,pop5,b
500,pop0,b
500,pop0,a
500,pop0,c
500,pop23,b
500,pop23,c
500,pop23,a
500,pop7,a
500,pop7,c
500,pop7,b
500,pop19,b
500,pop19,a
500,pop19,c
500,pop3,c
500,pop3,a
500,pop3,b
500,pop18,c
500,pop12,a
500,pop12,c
500,pop12,b
500,pop10,b
500,pop10,c
500,pop10,a
500,pop28,a
500,pop28,c
500,pop11,a
500,pop11,b
600,pop20,c
600,pop20,b
600,pop20,a
600,pop27,a
600,pop27,b
600,pop27,c
600,pop13,b
600,pop13,c
600,pop13,a
600,pop8,b
600,pop8,a
600,pop8,c
600,pop2,b
600,pop2,c
600,pop2,a
600,pop1,a
600,pop1,b
600,pop1,c
600,pop25,c
600,pop31,b
600,pop31,a
600,pop31,c
600,pop5,b
600,pop5,a
600,pop5,c
600,pop0,a
600,pop0,c
600,pop0,b
600,pop23,c
600,pop23,b
600,pop23,a
600,pop7,a
600,pop7,b
600,pop19,a
600,pop19,b
600,pop19,c
600,pop3,b
600,pop3,a
600,pop3,c
600,pop18,a
600,pop18,c
600,pop12,b
600,pop12,a
600,pop12,c
600,pop28,b
600,pop28,a
600,pop11,a
600,pop11,c
700,pop20,c
700,pop20,b
700,pop20,a
700,pop27,a
700,pop27,b
700,pop27,c
700,pop13,b
700,pop13,c
700,pop13,a
700,pop8,b
700,pop8,a
700,pop8,c
700,pop2,a
700,pop2,b
700,pop2,c
700,pop1,b
700,pop1,c
700,pop1,a
700,pop25,c
700,pop25,a
700,pop31,c
700,pop31,a
700,pop31,b
700,pop5,a
700,pop5,c
700,pop5,b
700,pop0,b
700,pop0,c
700,pop0,a
700,pop23,c
700,pop23,a
700,pop23,b
700,pop7,b
700,pop19,b
700,pop19,a
700,pop19,c
700,pop3,a
700,pop3,c
700,pop12,a
700,pop12,c
700,pop12,b
700,pop28,c
700,pop28,b
800,pop20,c
800,pop20,b
800,pop20,a
800,pop27,c
800,pop27,a
800,pop27,b
800,pop13,c
800,pop13,a
800,pop13,b
800,pop8,b
800,pop8,a
800,pop8,c
800,pop2,b
800,pop2,a
800,pop2,c
800,pop1,a
800,pop1,c
800,pop1,b
800,pop25,a
800,pop25,b
800,pop25,c
800,pop31,b
800,pop31,c
800,pop31,a
800,pop5,a
800,pop5,c
800,pop5,b
800,pop0,b
800,pop0,a
800,pop0,c
800,pop23,c
800,pop23,b
800,pop23,a
800,pop7,a
800,pop7,b
800,pop7,c
800,pop19,b
800,pop19,c
800,pop19,a
800,pop3,a
800,pop3,b
800,pop3,c
800,pop18,a
800,pop12,c
800,pop12,b
800,pop12,a
800,pop10,c
800,pop10,b
800,pop10,a
800,pop28,c
800,pop28,b
800,pop28,a
900,pop20,c
900,pop20,b
900,pop20,a
900,pop27,c
900,pop27,a
900,pop27,b
900,pop13,a
900,pop13,c
900,pop13,b
900,pop8,b
900,pop8,a
900,pop8,c
900,pop2,b
900,pop2,c
900,pop2,a
900,pop1,a
900,pop1,c
900,pop1,b
900,pop25,b
900,pop25,a
900,pop25,c
900,pop31,c
900,pop31,a
900,pop31,b
900,pop5,c
900,pop5,a
900,pop5,b
900,pop0,a
900,pop0,b
900,pop0,c
900,pop23,a
900,pop23,b
900,pop23,c
900,pop7,c
900,pop7,a
900,pop7,b
900,pop19,b
900,pop19,a
900,pop19,c
900,pop3,c
900,pop3,b
900,pop3,a
900,pop18,a
900,pop18,c
900,pop18,b
900,pop12,c
900,pop12,b
900,pop12,a
900,pop10,a
900,pop28,a
900,pop11,c
900,pop11,b
900,pop11,a
1000.0,pop20,c
1000.0,pop20,b
1000.0,pop20,a
1000.0,pop27,a
1000.0,pop27,b
1000.0,pop27,c
1000.0,pop13,a
1000.0,pop13,c
1000.0,pop13,b
1000.0,pop8,b
1000.0,pop8,a
1000.0,pop8,c
1000.0,pop2,b
1000.0,pop2,c
1000.0,pop2,a
1000.0,pop1,a
1000.0,pop1,b
1000.0,pop1,c
1000.0,pop25,b
1000.0,pop25,a
1000.0,pop25,c
1000.0,pop31,c
1000.0,pop31,a
1000.0,pop31,b
1000.0,pop5,b
1000.0,pop5,c
1000.0,pop0,c
1000.0,pop0,b
1000.0,pop0,a
1000.0,pop23,a
1000.0,pop23,b
1000.0,pop7,b
1000.0,pop7,a
1000.0,pop7,c
1000.0,pop19,a
1000.0,pop19,b
1000.0,pop19,c
1000.0,pop3,a
1000.0,pop3,c
1000.0,pop3,b
1000.0,pop12,c
1000.0,pop12,a
1000.0,pop12,b
1000.0,pop10,a
1000.0,pop28,c
1000.0,pop28,a
1000.0,pop28,b
