time,node,sf
100,pop18,a
100,pop18,b
100,pop18,c
100,pop45,c
100,pop45,a
100,pop50,b
100,pop50,a
100,pop50,c
100,pop1,c
100,pop1,b
100,pop1,a
100,pop33,a
100,pop33,b
100,pop33,c
100,pop3,c
100,pop44,c
100,pop44,b
100,pop36,c
100,pop36,b
100,pop39,c
100,pop5,a
100,pop5,c
100,pop0,b
100,pop0,a
100,pop17,c
100,pop17,a
100,pop17,b
100,pop35,b
100,pop21,a
100,pop28,a
200,pop18,a
200,pop18,c
200,pop18,b
200,pop45,b
200,pop45,a
200,pop45,c
200,pop50,b
200,pop50,c
200,pop50,a
200,pop1,a
200,pop1,b
200,pop1,c
200,pop33,b
200,pop33,c
200,pop33,a
200,pop19,c
200,pop19,b
200,pop19,a
200,pop3,b
200,pop3,a
200,pop3,c
200,pop44,a
200,pop44,c
200,pop44,b
200,pop36,b
200,pop36,a
200,pop36,c
200,pop37,b
200,pop37,c
200,pop39,c
200,pop5,b
200,pop5,a
200,pop52,c
200,pop52,a
200,pop17,a
200,pop17,b
200,pop25,b
200,pop38,a
200,pop38,b
200,pop31,c
300,pop18,b
300,pop18,c
300,pop18,a
300,pop45,b
300,pop45,a
300,pop45,c
300,pop50,a
300,pop50,b
300,pop50,c
300,pop1,c
300,pop1,a
300,pop1,b
300,pop33,b
300,pop33,a
300,pop33,c
300,pop42,b
300,pop42,a
300,pop42,c
300,pop19,c
300,pop19,b
300,pop3,c
300,pop3,a
300,pop3,b
300,pop44,b
300,pop36,b
300,pop37,c
300,pop27,c
300,pop5,b
300,pop5,a
300,pop0,c
300,pop0,a
300,pop17,b
300,pop17,a
300,pop7,b
300,pop7,a
300,pop35,c
300,pop35,b
300,pop38,a
300,pop38,c
400,pop18,a
400,pop18,c
400,pop18,b
400,pop45,b
400,pop45,a
400,pop45,c
400,pop50,b
400,pop50,c
400,pop50,a
400,pop1,b
400,pop1,c
400,pop1,a
400,pop33,a
400,pop33,c
400,pop33,b
400,pop42,c
400,pop19,b
400,pop3,a
400,pop3,c
400,pop3,b
400,pop44,a
400,pop44,c
400,pop44,b
400,pop36,a
400,pop36,c
400,pop37,c
400,pop37,a
400,pop39,b
400,pop5,a
400,pop5,b
400,pop5,c
400,pop20,a
400,pop20,c
400,pop0,c
400,pop17,a
400,pop17,b
400,pop17,c
400,pop7,b
400,pop7,a
400,pop7,c
400,pop35,a
400,pop21,b
400,pop21,a
400,pop21,c
400,pop28,a
400,pop25,b
400,pop56,c
500,pop18,a
500,pop18,c
500,pop18,b
500,pop45,a
500,pop45,b
500,pop45,c
500,pop50,b
500,pop50,c
500,pop50,a
500,pop1,b
500,pop1,c
500,pop1,a
500,pop33,b
500,pop33,a
500,pop33,c
500,pop42,a
500,pop19,b
500,pop19,c
500,pop3,a
500,pop3,b
500,pop3,c
500,pop44,c
500,pop44,b
500,pop44,a
500,pop36,c
500,pop36,b
500,pop36,a
500,pop37,a
500,pop37,c
500,pop27,b
500,pop27,a
500,pop27,c
500,pop39,c
500,pop5,b
500,pop52,b
500,pop52,c
500,pop52,a
500,pop17,a
500,pop17,c
500,pop17,b
500,pop7,b
500,pop7,a
500,pop7,c
500,pop35,a
500,pop35,c
500,pop21,a
500,pop21,c
500,pop28,a
500,pop23,b
500,pop25,a
500,pop8,b
600,pop18,a
600,pop18,b
600,pop18,c
600,pop45,c
600,pop45,a
600,pop45,b
600,pop50,b
600,pop50,c
600,pop50,a
600,pop1,c
600,pop1,a
600,pop1,b
600,pop33,b
600,pop33,c
600,pop33,a
600,pop42,b
600,pop19,b
600,pop19,c
600,pop19,a
600,pop3,b
600,pop3,c
600,pop44,b
600,pop44,c
600,pop44,a
600,pop36,a
600,pop27,a
600,pop27,b
600,pop27,c
600,pop39,a
600,pop39,c
600,pop17,c
600,pop17,a
600,pop7,a
600,pop35,c
600,pop35,b
600,pop35,a
600,pop38,b
600,pop38,a
600,pop31,a
600,pop31,b
700,pop18,b
700,pop18,a
700,pop18,c
700,pop45,b
700,pop45,a
700,pop45,c
700,pop50,a
700,pop50,c
700,pop50,b
700,pop1,a
700,pop1,b
700,pop1,c
700,pop33,b
700,pop33,a
700,pop33,c
700,pop42,b
700,pop42,c
700,pop19,b
700,pop19,c
700,pop19,a
700,pop3,a
700,pop44,b
700,pop44,c
700,pop44,a
700,pop36,b
700,pop36,c
700,pop39,c
700,pop39,b
700,pop39,a
700,pop5,a
700,pop5,b
700,pop5,c
700,pop11,a
700,pop17,b
700,pop17,a
700,pop17,c
700,pop21,b
700,pop21,c
700,pop38,c
700,pop38,a
700,pop31,a
800,pop18,c
800,pop18,a
800,pop18,b
800,pop45,c
800,pop45,a
800,pop45,b
800,pop50,c
800,pop50,b
800,pop50,a
800,pop1,b
800,pop1,a
800,pop1,c
800,pop33,b
800,pop33,a
800,pop33,c
800,pop42,c
800,pop42,b
800,pop42,a
800,pop19,a
800,pop19,b
800,pop3,b
800,pop3,a
800,pop3,c
800,pop44,b
800,pop44,c
800,pop36,b
800,pop36,a
800,pop36,c
800,pop37,a
800,pop37,c
800,pop27,c
800,pop27,b
800,pop27,a
800,pop39,a
800,pop5,b
800,pop5,a
800,pop5,c
800,pop11,a
800,pop11,c
800,pop17,c
800,pop17,b
800,pop17,a
800,pop7,c
800,pop25,a
800,pop8,c
900,pop18,a
900,pop18,c
900,pop45,b
900,pop45,c
900,pop45,a
900,pop50,b
900,pop50,a
900,pop50,c
900,pop1,a
900,pop1,b
900,pop1,c
900,pop33,a
900,pop33,c
900,pop33,b
900,pop42,c
900,pop42,b
900,pop42,a
900,pop19,b
900,pop19,a
900,pop19,c
900,pop3,c
900,pop3,a
900,pop3,b
900,pop44,b
900,pop44,c
900,pop44,a
900,pop36,c
900,pop5,a
900,pop5,c
900,pop5,b
900,pop7,b
900,pop7,a
1000.0,pop18,b
1000.0,pop18,a
1000.0,pop18,c
1000.0,pop45,a
1000.0,pop45,c
1000.0,pop45,b
1000.0,pop50,b
1000.0,pop50,c
1000.0,pop50,a
1000.0,pop1,a
1000.0,pop1,b
1000.0,pop1,c
1000.0,pop33,a
1000.0,pop33,b
1000.0,pop33,c
1000.0,pop42,c
1000.0,pop19,c
1000.0,pop19,b
1000.0,pop19,a
1000.0,pop3,c
1000.0,pop3,b
1000.0,pop3,a
1000.0,pop44,a
1000.0,pop44,b
1000.0,pop44,c
1000.0,pop36,b
1000.0,pop36,a
1000.0,pop39,a
1000.0,pop52,c
1000.0,pop52,a
1000.0,pop11,b
1000.0,pop11,a
1000.0,pop0,a
1000.0,pop17,c
1000.0,pop17,b
1000.0,pop17,a
1000.0,pop21,b
1000.0,pop8,c
1000.0,pop31,c
