time,node,sf
100,pop8,b
100,pop8,c
100,pop8,a
100,pop52,b
100,pop52,a
100,pop52,c
100,pop27,a
100,pop27,b
100,pop27,c
100,pop13,b
100,pop13,c
100,pop13,a
100,pop20,a
100,pop20,b
100,pop20,c
100,pop38,c
100,pop38,a
100,pop38,b
100,pop56,a
100,pop56,b
100,pop5,a
100,pop39,b
100,pop39,a
200,pop8,b
200,pop8,c
200,pop8,a
200,pop52,b
200,pop52,a
200,pop52,c
200,pop27,a
200,pop27,b
200,pop27,c
200,pop13,c
200,pop13,a
200,pop13,b
200,pop20,a
200,pop20,b
200,pop20,c
200,pop38,b
200,pop38,a
200,pop38,c
200,pop39,c
200,pop12,a
200,pop3,a
200,pop3,b
200,pop3,c
300,pop8,b
300,pop8,c
300,pop8,a
300,pop52,b
300,pop52,a
300,pop52,c
300,pop27,a
300,pop27,c
300,pop27,b
300,pop13,c
300,pop13,a
300,pop13,b
300,pop20,a
300,pop20,b
300,pop20,c
300,pop38,b
300,pop38,a
300,pop38,c
300,pop31,c
300,pop31,b
300,pop31,a
300,pop3,a
300,pop3,b
300,pop3,c
300,pop33,a
300,pop33,c
300,pop17,a
300,pop17,b
300,pop37,c
400,pop8,b
400,pop8,c
400,pop8,a
400,pop52,b
400,pop52,a
400,pop52,c
400,pop27,c
400,pop27,a
400,pop27,b
400,pop13,c
400,pop13,a
400,pop13,b
400,pop20,a
400,pop20,b
400,pop20,c
400,pop38,b
400,pop38,a
400,pop38,c
400,pop5,b
400,pop5,a
400,pop39,b
400,pop0,a
400,pop7,c
400,pop7,b
400,pop11,c
400,pop11,b
400,pop37,c
400,pop37,b
400,pop44,b
400,pop44,c
400,pop1,b
500,pop8,b
500,pop8,c
500,pop8,a
500,pop52,b
500,pop52,a
500,pop52,c
500,pop27,c
500,pop27,a
500,pop27,b
500,pop13,c
500,pop13,a
500,pop13,b
500,pop20,a
500,pop20,b
500,pop20,c
500,pop38,b
500,pop38,a
500,pop38,c
500,pop25,b
500,pop25,a
500,pop25,c
500,pop31,b
500,pop31,a
500,pop31,c
500,pop17,a
500,pop17,b
500,pop17,c
500,pop37,b
500,pop1,c
500,pop1,b
500,pop10,b
500,pop10,a
600,pop8,b
600,pop8,c
600,pop8,a
600,pop52,b
600,pop52,a
600,pop52,c
600,pop27,c
600,pop27,a
600,pop27,b
600,pop13,c
600,pop13,a
600,pop13,b
600,pop20,a
600,pop20,c
600,pop20,b
600,pop38,a
600,pop38,b
600,pop38,c
600,pop5,c
600,pop5,b
600,pop5,a
600,pop31,a
600,pop31,b
600,pop12,c
600,pop3,b
600,pop50,c
600,pop50,b
600,pop50,a
600,pop17,c
700,pop8,b
700,pop8,c
700,pop8,a
700,pop52,b
700,pop52,a
700,pop52,c
700,pop27,c
700,pop27,a
700,pop27,b
700,pop13,c
700,pop13,a
700,pop13,b
700,pop20,a
700,pop20,c
700,pop20,b
700,pop38,a
700,pop38,b
700,pop38,c
700,pop31,b
700,pop31,a
700,pop31,c
700,pop12,c
700,pop12,b
700,pop50,a
700,pop50,b
700,pop33,a
700,pop33,c
800,pop8,a
800,pop8,b
800,pop8,c
800,pop52,b
800,pop52,a
800,pop52,c
800,pop27,c
800,pop27,a
800,pop27,b
800,pop13,c
800,pop13,a
800,pop13,b
800,pop20,a
800,pop20,c
800,pop20,b
800,pop38,b
800,pop38,c
800,pop38,a
800,pop0,a
800,pop0,c
900,pop8,a
900,pop8,b
900,pop8,c
900,pop52,b
900,pop52,a
900,pop52,c
900,pop27,c
900,pop27,a
900,pop27,b
900,pop13,c
900,pop13,a
900,pop13,b
900,pop20,a
900,pop20,c
900,pop20,b
900,pop38,b
900,pop38,c
900,pop38,a
900,pop5,c
900,pop3,a
900,pop33,b
900,pop33,c
900,pop17,b
900,pop17,a
900,pop36,c
900,pop36,b
900,pop36,a
1000.0,pop8,a
1000.0,pop8,b
1000.0,pop8,c
1000.0,pop52,b
1000.0,pop52,a
1000.0,pop52,c
1000.0,pop27,c
1000.0,pop27,a
1000.0,pop27,b
1000.0,pop13,c
1000.0,pop13,a
1000.0,pop13,b
1000.0,pop20,a
1000.0,pop20,c
1000.0,pop20,b
1000.0,pop38,c
1000.0,pop38,a
1000.0,pop38,b
1000.0,pop56,b
1000.0,pop56,c
1000.0,pop5,b
1000.0,pop5,c
1000.0,pop25,a
1000.0,pop25,c
1000.0,pop31,a
1000.0,pop3,a
1000.0,pop3,b
1000.0,pop3,c
