time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,28,0,0,28,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,657,352,0,305,0,34.348669584018914,4.484952158698996,3.0,4.272610647851186,20.27701674277017,20.90340909090909,15.926136363636363,0.4129090836125787,0.15698559603156884
200,1321,943,0,378,0,41.145108810103864,4.50505508966109,3.0,4.382588774341352,28.962906888720667,27.667020148462353,15.876988335100743,0.4731389957038153,0.22134815753635148
300,1953,1597,21,335,39.890846466229,48.1306841114607,4.500358299897516,3.0,4.444184648273097,34.06298003072197,34.63932373199749,16.345648090169068,0.5012098723307276,0.25093662740032924
400,2608,2196,47,365,39.479914696778444,50.33726626928114,4.499016473011697,3.0,4.479687275169073,35.811733128834355,36.86020036429873,16.416211293260474,0.509877965728568,0.2604952098516157
500,3190,2783,67,340,44.28786504045065,51.460221376723666,4.502574271474895,3.0,4.494498116304226,37.772100313479626,37.96550485088034,16.374775422206252,0.5121378238336466,0.2670649075246807
600,3805,3412,75,318,43.451533594231805,52.370610290792904,4.5022043439337995,3.0,4.50040703863736,37.77503285151117,38.88276670574443,16.366060961313014,0.5078139742471567,0.26191082044332853
700,4459,4004,87,368,42.654952699671924,52.20640235728868,4.5039295149707375,3.0,4.496775220957082,37.996187485983405,38.6993006993007,16.35964035964036,0.508718452210486,0.2626896417450414
800,5076,4617,110,349,42.44006399893747,52.59632569121267,4.501358966156564,3.0,4.515835959242818,38.6790780141844,39.09703270521984,16.428200129954515,0.5120541150005237,0.26498669311829814
900,5689,5220,111,358,43.15260613484905,53.1485369086797,4.498040456632117,3.0,4.518971947462299,39.18931270873616,39.6551724137931,16.436781609195403,0.5124184037967379,0.2673719691743032
1000,6294,5820,123,351,42.60901874737513,53.512605443179005,4.4945556141909675,3.0,4.52793341674373,39.67445185891325,40.03213058419244,16.47697594501718,0.5139862231427914,0.2695951921020561
