time,node,sf
100,pop8,b
100,pop8,a
100,pop8,c
100,pop18,c
100,pop18,b
100,pop18,a
100,pop20,b
100,pop20,c
100,pop20,a
100,pop21,a
100,pop21,c
100,pop21,b
100,pop23,a
100,pop23,c
100,pop23,b
100,pop38,b
100,pop38,a
100,pop38,c
100,pop39,a
100,pop39,c
100,pop39,b
100,pop42,c
100,pop42,a
100,pop42,b
100,pop70,c
100,pop19,c
100,pop1,a
100,pop1,b
100,pop10,b
100,pop10,a
100,pop10,c
100,pop72,b
100,pop44,b
100,pop44,a
100,pop44,c
100,pop5,a
200,pop8,c
200,pop8,b
200,pop8,a
200,pop18,c
200,pop18,b
200,pop18,a
200,pop20,b
200,pop20,a
200,pop20,c
200,pop21,b
200,pop21,a
200,pop21,c
200,pop23,a
200,pop23,b
200,pop23,c
200,pop38,c
200,pop38,b
200,pop38,a
200,pop39,a
200,pop39,c
200,pop39,b
200,pop42,b
200,pop42,a
200,pop42,c
200,pop19,b
200,pop19,a
200,pop19,c
200,pop1,b
200,pop1,c
200,pop1,a
200,pop10,c
200,pop72,b
200,pop72,a
200,pop44,c
200,pop0,c
200,pop27,b
200,pop27,c
200,pop17,b
200,pop17,a
200,pop3,a
300,pop8,b
300,pop8,c
300,pop8,a
300,pop18,c
300,pop18,a
300,pop18,b
300,pop20,c
300,pop20,b
300,pop20,a
300,pop21,a
300,pop21,c
300,pop21,b
300,pop23,a
300,pop23,b
300,pop23,c
300,pop38,c
300,pop38,b
300,pop38,a
300,pop39,a
300,pop39,c
300,pop39,b
300,pop42,a
300,pop42,b
300,pop42,c
300,pop70,a
300,pop70,c
300,pop70,b
300,pop19,b
300,pop19,a
300,pop1,c
300,pop1,a
300,pop1,b
300,pop10,b
300,pop10,a
300,pop10,c
300,pop72,c
300,pop72,b
300,pop72,a
300,pop44,c
300,pop44,a
300,pop0,b
300,pop0,a
300,pop27,c
300,pop45,c
300,pop45,b
300,pop3,c
400,pop8,b
400,pop8,c
400,pop8,a
400,pop18,a
400,pop18,b
400,pop18,c
400,pop20,a
400,pop20,c
400,pop20,b
400,pop21,b
400,pop21,c
400,pop21,a
400,pop23,b
400,pop23,a
400,pop23,c
400,pop38,c
400,pop38,b
400,pop38,a
400,pop39,c
400,pop39,b
400,pop39,a
400,pop42,b
400,pop42,a
400,pop42,c
400,pop70,b
400,pop70,a
400,pop19,c
400,pop19,a
400,pop1,c
400,pop1,b
400,pop1,a
400,pop10,c
400,pop10,b
400,pop10,a
400,pop72,c
400,pop72,a
400,pop72,b
400,pop44,a
400,pop44,b
400,pop44,c
400,pop0,a
400,pop0,b
400,pop17,a
400,pop3,c
400,pop3,a
400,pop2,c
500,pop8,c
500,pop8,a
500,pop8,b
500,pop18,b
500,pop18,a
500,pop18,c
500,pop20,a
500,pop20,b
500,pop20,c
500,pop21,b
500,pop21,a
500,pop21,c
500,pop23,a
500,pop23,c
500,pop23,b
500,pop38,b
500,pop38,a
500,pop38,c
500,pop39,c
500,pop39,b
500,pop42,b
500,pop42,a
500,pop42,c
500,pop70,b
500,pop70,a
500,pop70,c
500,pop19,a
500,pop19,b
500,pop19,c
500,pop1,c
500,pop1,b
500,pop1,a
500,pop10,c
500,pop10,a
500,pop10,b
500,pop72,a
500,pop72,b
500,pop72,c
500,pop44,b
500,pop44,a
500,pop44,c
500,pop0,c
500,pop0,b
500,pop0,a
500,pop45,a
500,pop3,a
500,pop3,c
600,pop8,c
600,pop8,a
600,pop8,b
600,pop18,a
600,pop18,b
600,pop18,c
600,pop20,a
600,pop20,b
600,pop20,c
600,pop21,b
600,pop21,a
600,pop23,b
600,pop23,c
600,pop23,a
600,pop38,b
600,pop38,a
600,pop38,c
600,pop39,c
600,pop39,a
600,pop39,b
600,pop42,c
600,pop42,a
600,pop42,b
600,pop19,c
600,pop19,a
600,pop19,b
600,pop1,b
600,pop1,a
600,pop1,c
600,pop36,c
600,pop44,b
600,pop44,c
600,pop44,a
600,pop0,c
600,pop45,c
600,pop13,c
700,pop8,c
700,pop8,a
700,pop8,b
700,pop18,b
700,pop18,a
700,pop18,c
700,pop20,c
700,pop20,b
700,pop20,a
700,pop21,a
700,pop21,c
700,pop21,b
700,pop23,b
700,pop23,c
700,pop23,a
700,pop38,b
700,pop38,a
700,pop38,c
700,pop39,b
700,pop39,c
700,pop39,a
700,pop42,a
700,pop42,c
700,pop42,b
700,pop70,a
700,pop70,c
700,pop19,c
700,pop1,b
700,pop1,a
700,pop1,c
700,pop7,a
700,pop10,b
700,pop10,a
700,pop72,a
700,pop44,c
700,pop44,a
700,pop44,b
700,pop0,a
700,pop0,b
700,pop0,c
700,pop27,a
700,pop27,c
700,pop27,b
700,pop5,b
700,pop33,c
700,pop3,b
700,pop13,c
700,pop52,c
800,pop8,a
800,pop8,b
800,pop8,c
800,pop18,b
800,pop18,a
800,pop18,c
800,pop20,a
800,pop20,c
800,pop20,b
800,pop21,a
800,pop21,b
800,pop21,c
800,pop23,b
800,pop23,a
800,pop23,c
800,pop38,b
800,pop38,c
800,pop38,a
800,pop39,c
800,pop39,b
800,pop39,a
800,pop42,c
800,pop42,a
800,pop42,b
800,pop70,c
800,pop19,c
800,pop19,a
800,pop1,c
800,pop1,a
800,pop1,b
800,pop10,c
800,pop10,a
800,pop10,b
800,pop72,b
800,pop72,c
800,pop72,a
800,pop44,c
800,pop44,a
800,pop44,b
800,pop0,b
800,pop0,a
800,pop27,c
800,pop27,a
800,pop3,c
800,pop13,c
900,pop8,a
900,pop8,c
900,pop8,b
900,pop18,b
900,pop18,a
900,pop20,a
900,pop20,b
900,pop20,c
900,pop21,b
900,pop21,a
900,pop21,c
900,pop23,b
900,pop23,c
900,pop23,a
900,pop38,c
900,pop38,b
900,pop38,a
900,pop39,a
900,pop39,c
900,pop39,b
900,pop42,c
900,pop42,a
900,pop42,b
900,pop70,c
900,pop70,b
900,pop19,a
900,pop19,c
900,pop1,b
900,pop1,a
900,pop1,c
900,pop10,b
900,pop10,c
900,pop44,b
900,pop44,c
900,pop27,c
900,pop27,a
900,pop27,b
900,pop5,c
900,pop5,b
1000.0,pop8,a
1000.0,pop8,c
1000.0,pop8,b
1000.0,pop18,b
1000.0,pop18,a
1000.0,pop18,c
1000.0,pop20,a
1000.0,pop20,b
1000.0,pop20,c
1000.0,pop21,a
1000.0,pop21,b
1000.0,pop21,c
1000.0,pop23,b
1000.0,pop23,c
1000.0,pop23,a
1000.0,pop38,b
1000.0,pop38,a
1000.0,pop38,c
1000.0,pop39,c
1000.0,pop39,b
1000.0,pop39,a
1000.0,pop42,a
1000.0,pop42,b
1000.0,pop42,c
1000.0,pop70,c
1000.0,pop19,a
1000.0,pop19,b
1000.0,pop1,c
1000.0,pop1,a
1000.0,pop7,b
1000.0,pop7,a
1000.0,pop7,c
1000.0,pop10,a
1000.0,pop10,c
1000.0,pop44,a
1000.0,pop44,c
1000.0,pop44,b
1000.0,pop0,b
1000.0,pop0,c
1000.0,pop27,a
1000.0,pop27,b
