time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,32,0,0,32,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,714,260,30,424,25.66930297991275,47.15238023808459,4.472387178103248,3.0,4.722195002449779,26.99719887955182,33.75,31.115384615384617,0.3695007174244443,0.18991029834473233
200,1444,839,126,479,38.72738671997161,57.1010235507458,4.495426519328406,3.0,4.938271604938271,38.78116343490305,43.64243146603099,33.524433849821214,0.4092365193726792,0.25490299567455776
300,2121,1441,244,436,43.81870054968574,61.05966262245913,4.476465198654516,3.0,4.982836787564767,43.52758132956153,47.6412213740458,33.950728660652324,0.410666641198044,0.2685769688585769
400,2812,2054,329,429,46.97380422628777,62.30553719527034,4.489680250928005,3.0,4.986484362721987,45.13371266002845,48.855404089581306,34.34664070107108,0.414623602623491,0.27172576743035526
500,3484,2648,432,404,47.73904908896262,63.05446599797471,4.487892216736259,3.0,5.002053835381982,46.13691159586682,49.593277945619334,34.450906344410875,0.4144066628119057,0.2727735013823294
600,4226,3198,542,486,48.10954936676285,63.122781787983286,4.490897550277611,3.0,5.002283800243605,46.6469474680549,49.65916197623515,34.56003752345216,0.41826705047335627,0.2760873568587214
700,4979,3804,679,496,48.8255008633943,63.828686323805535,4.492337205269908,3.0,5.016402871567646,47.2956416951195,50.3664563617245,34.706361724500525,0.4236083675968977,0.2817075450414196
800,5688,4416,798,474,48.9984091746957,64.27471623697947,4.493257315261051,3.0,5.021963088788908,48.07858649789029,50.80366847826087,34.61435688405797,0.4255272383473653,0.2845388916367774
900,6383,5006,927,450,49.196284675625314,64.63083155883237,4.4934913215192225,3.0,5.028377046266221,48.748394172019424,51.164602477027564,34.54394726328406,0.42688328828379474,0.2871697193228438
1000,7091,5601,1042,448,50.46242437183257,64.85315999240363,4.494248654693858,3.0,5.030120743886706,48.93851360879989,51.38653811819318,34.496161399750044,0.42836683360659306,0.28839779246892056
