time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,16,0,0,16,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,345,128,3,214,41.45582801927201,49.079952605386204,4.5629256461657235,3.0,4.440951571792693,30.30144927536232,35.5625,22.640625,0.5621924426155884,0.21205943580593
200,698,424,14,260,70.6311931877246,59.20312839224428,4.546185796330656,3.0,4.631179296451263,42.815186246418335,45.62264150943396,22.474056603773583,0.640340269049941,0.28528958944281513
300,1069,736,49,284,68.02369839828847,65.35512351862403,4.53698220804977,3.0,4.690274180584085,49.12722170252572,51.80027173913044,22.355978260869566,0.6773210852968568,0.33471981930026895
400,1427,1035,98,294,62.754956588633505,69.21182124005394,4.516417887133403,3.0,4.737019969278034,54.02592852137351,55.667632850241546,22.406763285024155,0.6917689044095915,0.36183491141310187
500,1812,1370,142,300,60.42776668253191,71.8259715809769,4.5219542608304355,3.0,4.7735054729160815,56.317880794701985,58.2963503649635,22.62846715328467,0.7021273154478991,0.3833995270590153
600,2144,1682,181,281,65.83931143779375,73.70342515152122,4.51785119073319,3.0,4.810942599347284,58.442630597014926,60.15933412604043,22.80975029726516,0.7047379067690268,0.390555647467061
700,2490,1996,210,284,66.10805313641795,74.50680592818296,4.527187891643629,3.0,4.82420217074356,59.79879518072289,60.95791583166333,22.787074148296593,0.7101808540449807,0.3972545770372119
800,2855,2293,242,320,69.7731374337294,75.2471974850338,4.524800372748948,3.0,4.838978808610045,60.94570928196147,61.69646750981247,22.97775839511557,0.7122049124221194,0.4047617820574716
900,3212,2604,292,316,74.27931393334701,75.99411014920726,4.522213449242452,3.0,4.833118509691383,61.87204234122042,62.43817204301075,23.084869431643625,0.7162307089078405,0.41126779166395344
1000,3582,2933,348,301,72.25308596059601,77.27731802611873,4.519179396801745,3.0,4.8409748930469725,62.548855388051365,63.724855097170135,23.06512103648142,0.7199388123583051,0.4146233851345468
