time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,20,0,0,20,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,444,236,0,208,0,42.82825255909012,4.512897157480339,3.0,4.791783380018674,23.117117117117118,29.241525423728813,21.00423728813559,0.4522450046468404,0.106517487074307
200,915,669,12,234,15.271968651071253,46.52100247553254,4.524584024427365,3.0,4.938816633082983,29.465573770491805,32.97757847533632,20.923766816143498,0.4938689954204422,0.13403600255801124
300,1380,1123,21,236,19.560770065799275,49.03874188795972,4.515385784728908,3.0,4.960369881109643,32.65217391304348,35.47373107747106,21.26447016918967,0.510630387606239,0.14439037639538235
400,1826,1568,26,232,19.454770410200776,50.16669701408682,4.517603424392282,3.0,4.947107438016529,34.421139101861996,36.61543367346939,21.383290816326532,0.5213204040580708,0.15143992810311638
500,2284,2012,26,246,19.454770410200776,51.219087852708455,4.523391043246849,3.0,4.983896742470805,35.502626970227674,37.67047713717694,21.527335984095426,0.530208340478067,0.15582909872269843
600,2706,2467,26,213,19.454770410200776,51.33439113690152,4.516619161024237,3.0,4.995098289507276,36.152623798965266,37.782326712606405,21.499797324685854,0.5342444035177847,0.15589072090646422
700,3145,2889,26,230,19.454770410200776,51.14933886420902,4.51776260142974,3.0,4.9832783278327835,36.007949125596184,37.58843890619592,21.532364139840777,0.5316141678975863,0.153708336870462
800,3591,3349,26,216,19.454770410200776,50.82202525928485,4.523875290353214,3.0,4.984578425294482,35.82344750765803,37.257091669154974,21.531501940877874,0.5327419721050897,0.1514609122079679
900,4034,3777,27,230,20.305046669343614,50.56222832705184,4.513912700543225,3.0,4.980425942518437,35.82597917699554,37.00741329097167,21.5589091871856,0.5314403976693582,0.1505403026041157
1000,4470,4211,28,231,22.866829708616667,50.4798000070154,4.513883954568509,3.0,4.996530466838078,36.0834451901566,36.93706957967229,21.544051294229398,0.5302756790400909,0.15091604459704094
