time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,10,0,0,10,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,230,96,0,134,0,48.736295604756016,4.513832444428495,3.0,5.458262350936968,27.860869565217392,35.260416666666664,26.65625,0.1849517720160162,0.0595508333137444
200,449,318,0,131,0,56.11769506582919,4.494367690100988,3.0,5.729003740224414,37.525612472160354,42.5440251572327,32.556603773584904,0.18807774685547488,0.06824015715805845
300,692,541,0,151,0,57.802722808178565,4.496745920429139,3.0,5.833722658738585,39.697976878612714,44.28650646950092,33.93900184842884,0.18888472255445027,0.07073218730402935
400,904,765,0,139,0,58.61044210683722,4.524949582640438,3.0,5.895784359818211,41.616150442477874,45.044444444444444,34.831372549019605,0.18721953584546935,0.07098021499576186
500,1139,997,0,142,0,59.166970327111,4.506735961335237,3.0,5.913001449975834,42.9640035118525,45.62888665997994,34.937813440320966,0.18956451005197614,0.07275371475196322
600,1360,1222,0,138,0,59.616548576862336,4.492930167228711,3.0,5.946367820692416,43.69705882352941,46.09410801963993,35.43453355155483,0.1855566955547311,0.07246738164365667
700,1581,1442,0,139,0,59.70976492538702,4.495232948632638,3.0,5.958876117496807,44.267552182163186,46.229542302357835,35.584604715672675,0.1879370553386877,0.07314604271941773
800,1789,1670,0,119,0,59.94661600885281,4.497959195232572,3.0,5.935001480604086,44.81274455002795,46.44191616766467,35.48982035928144,0.18772828119736626,0.07368274227833958
900,1996,1874,0,122,0,59.895748213863286,4.496682520948455,3.0,5.9498181818181815,45.08567134268537,46.39807897545357,35.53735325506937,0.1875671342352409,0.0737451785884879
1000,2221,2084,0,137,0,59.99474201068481,4.503326482290878,3.0,5.932382650029709,44.95362449347141,46.50095969289827,35.63387715930902,0.18764673558252692,0.07365692298213834
