time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,5,0,0,5,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,124,61,10,53,26.46319101351578,36.229093608532104,4.431397943565172,3.0,4.514814814814815,19.661290322580644,23.081967213114755,15.852459016393443,0.031465017825311865,0.2139093137254898
200,230,165,25,40,27.42980435665342,41.36978951145055,4.439876184784386,3.0,4.715017064846417,24.026086956521738,28.072727272727274,17.042424242424243,0.031955874063934166,0.22652882344257394
300,331,248,34,49,27.141807315632413,40.83353458587239,4.484634890312526,3.0,4.753774680603949,24.731117824773413,27.524193548387096,16.903225806451612,0.03056107240174844,0.22277647857573926
400,448,336,46,66,27.8647242904838,41.84607531126295,4.474341596835888,3.0,4.771123872026251,25.964285714285715,28.4375,17.339285714285715,0.030412300473196374,0.232596599971002
500,559,443,62,54,32.44983428085168,42.62831278129685,4.47205587499073,3.0,4.8045397225725095,27.262969588550984,29.223476297968396,17.537246049661398,0.030274817491943135,0.2413512996941896
600,672,548,70,54,34.940223621348004,42.850303059246855,4.457448319760198,3.0,4.835330901511203,27.616071428571427,29.5,17.304744525547445,0.030537423542046832,0.24094410981930234
700,775,651,77,47,35.457756239251935,42.706849484218395,4.458305787431599,3.0,4.861702127659575,28.304516129032258,29.351766513056834,17.308755760368662,0.030502534626592522,0.24470123338522362
800,904,745,96,63,36.32444610363024,42.81914813156838,4.460833358073144,3.0,4.893430099312452,28.3429203539823,29.453691275167785,17.438926174496643,0.03136933618951182,0.2541324324789854
900,1020,860,116,44,39.13826481848213,43.057843168110274,4.4693247607300695,3.0,4.905221150648487,28.92156862745098,29.661627906976744,17.336046511627906,0.03196302132922109,0.25878927410617475
1000,1125,951,131,43,38.94260216436563,43.010756071056385,4.473098444367834,3.0,4.904047976011994,29.075555555555557,29.59831756046267,17.305993690851736,0.03201239399869789,0.2582613068058267
