time,node,sf
100,pop11,b
100,pop11,a
100,pop11,c
100,pop25,b
100,pop25,a
100,pop25,c
100,pop24,c
100,pop21,a
100,pop4,a
100,pop4,b
100,pop4,c
100,pop2,a
100,pop2,c
100,pop2,b
100,pop3,b
100,pop3,a
100,pop3,c
100,pop20,b
100,pop20,a
100,pop20,c
100,pop12,a
100,pop12,c
100,pop12,b
100,pop19,a
100,pop19,c
100,pop19,b
100,pop22,b
100,pop22,a
100,pop8,c
100,pop8,b
100,pop8,a
100,pop16,a
100,pop16,b
100,pop16,c
100,pop32,b
100,pop32,a
100,pop14,b
100,pop14,a
100,pop29,a
100,pop29,b
100,pop29,c
100,pop15,c
100,pop15,b
100,pop1,c
100,pop7,b
100,pop7,a
100,pop7,c
100,pop30,b
100,pop30,a
100,pop30,c
100,pop6,a
200,pop11,a
200,pop11,b
200,pop11,c
200,pop25,b
200,pop25,a
200,pop25,c
200,pop24,a
200,pop4,c
200,pop4,a
200,pop2,b
200,pop2,a
200,pop3,a
200,pop3,b
200,pop3,c
200,pop20,a
200,pop20,b
200,pop20,c
200,pop12,a
200,pop12,c
200,pop12,b
200,pop0,c
200,pop0,b
200,pop0,a
200,pop19,a
200,pop19,c
200,pop8,b
200,pop8,c
200,pop8,a
200,pop32,c
200,pop32,b
200,pop32,a
200,pop14,c
200,pop29,c
200,pop15,c
200,pop15,a
200,pop15,b
200,pop1,c
200,pop1,b
200,pop1,a
200,pop7,c
200,pop7,b
200,pop7,a
200,pop26,c
200,pop26,b
200,pop26,a
300,pop11,c
300,pop25,b
300,pop25,a
300,pop25,c
300,pop24,c
300,pop24,a
300,pop24,b
300,pop21,a
300,pop21,c
300,pop21,b
300,pop2,c
300,pop2,b
300,pop3,c
300,pop3,b
300,pop3,a
300,pop20,a
300,pop20,b
300,pop12,a
300,pop12,b
300,pop12,c
300,pop19,c
300,pop19,b
300,pop19,a
300,pop8,a
300,pop8,c
300,pop8,b
300,pop16,a
300,pop16,b
300,pop16,c
300,pop32,a
300,pop32,c
300,pop32,b
300,pop14,a
300,pop14,b
300,pop14,c
300,pop29,a
300,pop29,b
300,pop29,c
300,pop1,a
300,pop1,b
300,pop30,a
300,pop30,b
300,pop30,c
300,pop31,c
300,pop31,b
300,pop31,a
300,pop26,b
300,pop26,a
300,pop26,c
400,pop11,a
400,pop11,b
400,pop25,c
400,pop25,b
400,pop24,a
400,pop21,b
400,pop21,a
400,pop21,c
400,pop4,b
400,pop4,a
400,pop4,c
400,pop20,b
400,pop20,c
400,pop12,c
400,pop12,b
400,pop12,a
400,pop0,b
400,pop0,a
400,pop0,c
400,pop13,c
400,pop13,b
400,pop13,a
400,pop19,c
400,pop19,b
400,pop19,a
400,pop22,c
400,pop22,b
400,pop22,a
400,pop8,a
400,pop8,b
400,pop8,c
400,pop16,b
400,pop16,a
400,pop16,c
400,pop32,b
400,pop1,a
400,pop1,b
400,pop1,c
400,pop5,a
400,pop5,c
400,pop5,b
400,pop31,a
400,pop31,b
400,pop31,c
400,pop26,b
400,pop26,a
400,pop26,c
400,pop6,b
400,pop6,c
500,pop11,a
500,pop25,b
500,pop25,c
500,pop25,a
500,pop21,c
500,pop21,a
500,pop21,b
500,pop4,b
500,pop4,c
500,pop2,a
500,pop2,c
500,pop18,a
500,pop18,b
500,pop18,c
500,pop3,a
500,pop3,b
500,pop20,b
500,pop20,a
500,pop20,c
500,pop12,c
500,pop12,a
500,pop0,c
500,pop0,b
500,pop0,a
500,pop13,b
500,pop19,a
500,pop8,c
500,pop8,b
500,pop8,a
500,pop16,b
500,pop16,a
500,pop16,c
500,pop32,a
500,pop32,b
500,pop32,c
500,pop29,c
500,pop29,a
500,pop29,b
500,pop1,c
500,pop1,b
500,pop1,a
500,pop30,a
500,pop30,b
500,pop30,c
500,pop26,c
500,pop26,b
500,pop6,c
600,pop11,a
600,pop11,b
600,pop11,c
600,pop25,c
600,pop24,b
600,pop24,a
600,pop21,c
600,pop21,b
600,pop21,a
600,pop4,b
600,pop4,a
600,pop4,c
600,pop2,a
600,pop2,b
600,pop2,c
600,pop3,a
600,pop3,b
600,pop3,c
600,pop20,a
600,pop20,b
