time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,13,0,0,13,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,310,127,67,116,28.381225960774856,33.66406270602392,4.456294836619807,3.0,5.2838569880823405,15.73225806451613,20.440944881889763,16.653543307086615,0.0837684686250641,0.38154079031230037
200,607,307,181,119,31.8568770989267,36.044832548908055,4.4669092137009425,3.0,5.359287054409005,18.823723228995057,22.71986970684039,17.736156351791532,0.08822169412333271,0.4180530940776827
300,904,519,272,113,32.651060000850464,36.82101990909277,4.47604124882505,3.0,5.464423935695147,20.30420353982301,23.454720616570327,17.74373795761079,0.08702132306052934,0.4259981262611684
400,1186,713,372,101,32.48988769517209,37.27226187599381,4.472406639121511,3.0,5.4464442493415275,20.922428330522767,23.87798036465638,17.987377279102386,0.0849896070280111,0.426725850230083
500,1478,910,469,99,31.761355332029286,37.30949451410276,4.488320281596393,3.0,5.4564763231197775,21.205683355886332,23.876923076923077,18.2021978021978,0.0854325844743289,0.42823769963936215
600,1740,1096,548,96,31.664133402057775,37.50708227014008,4.482174039428489,3.0,5.473854289071681,21.417241379310344,24.111313868613138,18.42153284671533,0.08422707815293215,0.4226885777165123
700,2035,1288,635,112,31.370619008599725,37.563970731292564,4.491723531269434,3.0,5.467788887482597,21.22899262899263,24.170031055900623,18.501552795031056,0.0846590885468258,0.42060375740567846
800,2327,1461,751,115,31.612861851521224,37.51752308393335,4.4802348584460345,3.0,5.491933701657459,21.358831113021058,24.100616016427104,18.51813826146475,0.08501126917655732,0.42620932247994975
900,2623,1661,860,102,31.66360474828892,37.48468481922701,4.484221790533794,3.0,5.488746604578968,21.569958063286315,24.082480433473812,18.40878988561108,0.08541726508782856,0.4316542617046851
1000,2903,1862,945,96,31.530027475407525,37.48857495456759,4.482698921526324,3.0,5.493456302151954,21.54426455390975,24.055853920515574,18.346401718582168,0.0855682672936322,0.4307797944511973
