time,node,sf
100,pop0,b
100,pop0,a
100,pop0,c
100,pop2,b
100,pop2,a
100,pop2,c
100,pop6,b
100,pop6,a
100,pop6,c
100,pop15,c
100,pop15,a
100,pop15,b
100,pop19,c
100,pop19,b
100,pop19,a
100,pop20,b
100,pop20,c
100,pop20,a
100,pop21,c
100,pop21,b
100,pop21,a
100,pop22,c
100,pop22,b
100,pop22,a
100,pop23,a
100,pop23,b
100,pop23,c
100,pop25,b
100,pop25,a
100,pop25,c
100,pop27,c
100,pop27,a
100,pop27,b
100,pop30,b
100,pop30,a
100,pop30,c
100,pop31,a
100,pop31,c
100,pop31,b
200,pop0,a
200,pop0,c
200,pop0,b
200,pop2,b
200,pop2,c
200,pop2,a
200,pop6,b
200,pop6,a
200,pop6,c
200,pop15,c
200,pop15,b
200,pop15,a
200,pop19,c
200,pop19,b
200,pop19,a
200,pop20,c
200,pop20,a
200,pop20,b
200,pop21,a
200,pop21,b
200,pop21,c
200,pop22,c
200,pop22,b
200,pop22,a
200,pop23,b
200,pop23,c
200,pop23,a
200,pop25,b
200,pop25,a
200,pop25,c
200,pop27,c
200,pop27,b
200,pop27,a
200,pop30,a
200,pop30,c
200,pop30,b
200,pop31,b
200,pop31,a
200,pop31,c
300,pop0,a
300,pop0,c
300,pop0,b
300,pop2,a
300,pop2,c
300,pop2,b
300,pop6,b
300,pop6,c
300,pop6,a
300,pop15,b
300,pop15,a
300,pop15,c
300,pop19,c
300,pop19,b
300,pop19,a
300,pop20,c
300,pop20,a
300,pop20,b
300,pop21,a
300,pop21,b
300,pop21,c
300,pop22,c
300,pop22,b
300,pop22,a
300,pop23,b
300,pop23,a
300,pop23,c
300,pop25,b
300,pop25,a
300,pop25,c
300,pop27,a
300,pop27,c
300,pop27,b
300,pop30,b
300,pop30,c
300,pop30,a
300,pop31,c
300,pop31,b
300,pop31,a
400,pop0,a
400,pop0,c
400,pop0,b
400,pop2,c
400,pop2,b
400,pop2,a
400,pop6,b
400,pop6,c
400,pop6,a
400,pop15,a
400,pop15,c
400,pop15,b
400,pop19,c
400,pop19,b
400,pop19,a
400,pop20,c
400,pop20,b
400,pop20,a
400,pop21,a
400,pop21,b
400,pop21,c
400,pop22,c
400,pop22,a
400,pop22,b
400,pop23,a
400,pop23,b
400,pop23,c
400,pop25,c
400,pop25,a
400,pop25,b
400,pop27,c
400,pop27,b
400,pop27,a
400,pop30,c
400,pop30,a
400,pop30,b
400,pop31,c
400,pop31,b
400,pop31,a
500,pop0,a
500,pop0,b
500,pop0,c
500,pop2,c
500,pop2,b
500,pop2,a
500,pop6,b
500,pop6,c
500,pop6,a
500,pop15,a
500,pop15,b
500,pop15,c
500,pop19,b
500,pop19,a
500,pop19,c
500,pop20,b
500,pop20,c
500,pop20,a
500,pop21,a
500,pop21,b
500,pop21,c
500,pop22,a
500,pop22,b
500,pop22,c
500,pop23,a
500,pop23,c
500,pop23,b
500,pop25,c
500,pop25,a
500,pop25,b
500,pop27,c
500,pop27,b
500,pop27,a
500,pop30,a
500,pop30,b
500,pop30,c
500,pop31,c
500,pop31,b
500,pop31,a
600,pop0,b
600,pop0,a
600,pop0,c
600,pop2,b
600,pop2,a
600,pop2,c
600,pop6,b
600,pop6,c
600,pop6,a
600,pop15,a
600,pop15,c
600,pop15,b
600,pop19,a
600,pop19,c
600,pop19,b
600,pop20,b
600,pop20,a
600,pop20,c
600,pop21,b
600,pop21,c
600,pop21,a
600,pop22,b
600,pop22,a
600,pop22,c
600,pop23,c
600,pop23,b
600,pop23,a
600,pop25,b
600,pop25,a
600,pop25,c
600,pop27,b
600,pop27,a
600,pop27,c
600,pop30,a
600,pop30,b
600,pop30,c
600,pop31,c
600,pop31,b
600,pop31,a
700,pop0,b
700,pop0,c
700,pop0,a
700,pop2,a
700,pop2,c
700,pop2,b
700,pop6,a
700,pop6,c
700,pop6,b
700,pop15,b
700,pop15,a
