time,node,sf
100,pop8,c
100,pop8,b
100,pop8,a
100,pop15,b
100,pop15,c
100,pop15,a
100,pop18,b
100,pop18,a
100,pop18,c
100,pop32,c
100,pop32,b
100,pop32,a
100,pop37,b
100,pop37,a
100,pop37,c
100,pop40,a
100,pop40,c
100,pop40,b
100,pop45,a
100,pop45,b
100,pop45,c
100,pop49,b
100,pop49,a
100,pop49,c
100,pop50,a
100,pop50,c
100,pop50,b
200,pop8,c
200,pop8,b
200,pop8,a
200,pop15,b
200,pop15,c
200,pop15,a
200,pop18,b
200,pop18,a
200,pop18,c
200,pop32,b
200,pop32,c
200,pop32,a
200,pop37,b
200,pop37,a
200,pop37,c
200,pop40,a
200,pop40,c
200,pop40,b
200,pop45,a
200,pop45,b
200,pop45,c
200,pop49,c
200,pop49,a
200,pop49,b
200,pop50,c
200,pop50,a
200,pop50,b
300,pop8,a
300,pop8,b
300,pop8,c
300,pop15,b
300,pop15,c
300,pop15,a
300,pop18,b
300,pop18,a
300,pop18,c
300,pop32,b
300,pop32,c
300,pop32,a
300,pop37,a
300,pop37,c
300,pop37,b
300,pop40,a
300,pop40,c
300,pop40,b
300,pop45,a
300,pop45,b
300,pop45,c
300,pop49,c
300,pop49,a
300,pop49,b
300,pop50,c
300,pop50,a
300,pop50,b
400,pop8,b
400,pop8,c
400,pop8,a
400,pop15,b
400,pop15,c
400,pop15,a
400,pop18,b
400,pop18,a
400,pop18,c
400,pop32,b
400,pop32,c
400,pop32,a
400,pop37,b
400,pop37,a
400,pop37,c
400,pop40,b
400,pop40,a
400,pop40,c
400,pop45,a
400,pop45,b
400,pop45,c
400,pop49,c
400,pop49,a
400,pop49,b
400,pop50,c
400,pop50,a
400,pop50,b
500,pop8,b
500,pop8,c
500,pop8,a
500,pop15,c
500,pop15,a
500,pop15,b
500,pop18,c
500,pop18,a
500,pop18,b
500,pop32,b
500,pop32,c
500,pop32,a
500,pop37,b
500,pop37,c
500,pop37,a
500,pop40,a
500,pop40,b
500,pop40,c
500,pop45,b
500,pop45,c
500,pop45,a
500,pop49,c
500,pop49,b
500,pop49,a
500,pop50,b
500,pop50,a
500,pop50,c
600,pop8,b
600,pop8,c
600,pop8,a
600,pop15,a
600,pop15,b
600,pop15,c
600,pop18,a
600,pop18,b
600,pop18,c
600,pop32,b
600,pop32,a
600,pop32,c
600,pop37,b
600,pop37,c
600,pop37,a
600,pop40,c
600,pop40,a
600,pop40,b
600,pop45,b
600,pop45,c
600,pop45,a
600,pop49,b
600,pop49,a
600,pop49,c
600,pop50,b
600,pop50,a
600,pop50,c
700,pop8,b
700,pop8,a
700,pop8,c
700,pop15,b
700,pop15,c
700,pop15,a
700,pop18,c
700,pop18,a
700,pop18,b
700,pop32,b
700,pop32,a
700,pop32,c
700,pop37,b
700,pop37,a
700,pop37,c
700,pop40,a
700,pop40,b
700,pop40,c
700,pop45,b
700,pop45,a
700,pop45,c
700,pop49,b
700,pop49,c
700,pop49,a
700,pop50,b
700,pop50,c
700,pop50,a
800,pop8,b
800,pop8,a
800,pop8,c
800,pop15,b
800,pop15,a
800,pop15,c
800,pop18,c
800,pop18,b
800,pop18,a
800,pop32,b
800,pop32,c
800,pop32,a
800,pop37,b
800,pop37,a
800,pop37,c
800,pop40,a
800,pop40,b
800,pop40,c
800,pop45,b
800,pop45,a
800,pop45,c
800,pop49,b
800,pop49,c
800,pop49,a
800,pop50,a
800,pop50,b
800,pop50,c
900,pop8,a
900,pop8,c
900,pop8,b
900,pop15,a
900,pop15,c
900,pop15,b
900,pop18,a
900,pop18,c
900,pop18,b
900,pop32,b
900,pop32,c
900,pop32,a
900,pop37,a
900,pop37,b
900,pop37,c
900,pop40,b
900,pop40,a
900,pop40,c
900,pop45,b
900,pop45,a
900,pop45,c
900,pop49,c
900,pop49,a
900,pop49,b
900,pop50,a
900,pop50,c
900,pop50,b
1000.0,pop8,a
1000.0,pop8,c
1000.0,pop8,b
1000.0,pop15,a
1000.0,pop15,b
1000.0,pop15,c
1000.0,pop18,a
1000.0,pop18,c
1000.0,pop18,b
1000.0,pop32,b
1000.0,pop32,a
1000.0,pop32,c
1000.0,pop37,a
1000.0,pop37,b
1000.0,pop37,c
1000.0,pop40,b
1000.0,pop40,a
1000.0,pop40,c
1000.0,pop45,a
1000.0,pop45,c
1000.0,pop45,b
1000.0,pop49,b
1000.0,pop49,c
1000.0,pop49,a
1000.0,pop50,a
1000.0,pop50,b
1000.0,pop50,c
