time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,12,0,0,12,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,266,157,13,96,22.342327925256882,31.504090152468724,4.455289530689475,3.0,3.8890925756186983,15.951127819548873,18.235668789808916,14.0828025477707,0.037672565833485425,0.20477508159500485
200,517,386,43,88,27.573771699047384,34.28322045970775,4.464964978208369,3.0,4.048080808080808,19.379110251450676,20.919689119170986,15.05699481865285,0.03834866446947712,0.24023058778334333
300,794,613,82,99,28.60329192512455,35.13490062645888,4.472836259715876,3.0,4.0627195183141,20.395465994962215,21.73898858075041,15.239804241435563,0.03923059120929979,0.2511080352957245
400,1077,858,117,102,27.09955833480535,35.57848374121854,4.488810415451161,3.0,4.031221801118932,20.740018570102137,22.116550116550115,15.040792540792541,0.04021209006820463,0.2547889140546062
500,1376,1096,157,123,26.766018441471743,36.08003323631481,4.4947947690034065,3.0,4.059722222222222,21.242732558139537,22.593065693430656,15.219890510948906,0.041618221778820505,0.2657812816454529
600,1667,1348,212,107,27.05798034091103,36.435117678856514,4.495072000095991,3.0,4.087762669962917,21.821835632873427,22.94213649851632,15.146142433234422,0.041994990989890575,0.2744716274871138
700,1930,1591,237,102,27.296706566162726,36.61835397792447,4.49237722664325,3.0,4.099351842894457,21.9559585492228,23.145820238843495,15.199245757385292,0.04172028197551173,0.27142345519321415
800,2197,1814,268,115,28.04632989570291,37.015077683099115,4.495157034660086,3.0,4.122155990261104,22.348202093764225,23.52646085997795,15.23263506063947,0.04177720245308745,0.27679396235499787
900,2456,2070,301,85,27.602216474533325,36.960254524244355,4.490973726670929,3.0,4.125954770106335,22.434039087947884,23.488888888888887,15.245410628019323,0.04192825679953823,0.27542204218720034
1000,2745,2300,339,106,27.31054847312234,36.99602506180013,4.494788887802588,3.0,4.131300895080423,22.3632058287796,23.524347826086956,15.348695652173912,0.04227626014890211,0.27601666074431463
