time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,14,0,0,14,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,300,76,71,153,27.922048937283673,47.4810180924466,4.475447804216617,3.0,4.765841882920942,26.323333333333334,34.14473684210526,26.789473684210527,0.02948531130864629,0.3071088379255355
200,614,240,196,178,32.52368365426209,59.72034298292105,4.478823788853458,3.0,4.970964566929134,32.90228013029316,46.2875,29.858333333333334,0.03224637637021854,0.35326749510503686
300,951,434,335,182,33.84001908206729,62.886666931320825,4.481472334134549,3.0,5.014399059653247,35.88643533123028,49.41244239631337,30.81336405529954,0.03341039846051577,0.37743178093677515
400,1258,616,464,178,34.58598860895546,63.21535698334484,4.483706039440778,3.0,4.999163354946664,37.99841017488076,49.74512987012987,30.863636363636363,0.033091334074769954,0.38776020058008115
500,1556,811,587,158,36.0809487174205,63.31452299885704,4.477423612161748,3.0,5.025387870239775,38.92737789203085,49.90012330456227,30.707768187422936,0.03255882056303789,0.38935424562136034
600,1867,987,730,150,36.8479275651567,63.48421534534376,4.468539456914901,3.0,5.049986305121885,39.50187466523835,50.06079027355623,30.573454913880447,0.03285486639461685,0.39519984375850903
700,2179,1158,856,165,36.33364936434469,63.796707874888085,4.480384041200149,3.0,5.062060405461316,39.30472693896283,50.35146804835924,30.259067357512954,0.03335344153866385,0.39466623948237317
800,2477,1342,971,164,36.63967348268388,63.56854085780107,4.476795312621281,3.0,5.06077519379845,39.53411384739604,50.13040238450075,30.248882265275707,0.033130065061701366,0.3927831819869528
900,2781,1521,1099,161,36.69382281189254,63.388932732862806,4.4719921008646795,3.0,5.068023469013568,39.756921970514206,49.980276134122285,30.269559500328732,0.0332684135263344,0.3948956072249334
1000,3095,1695,1226,174,36.617690768649354,63.70636417757779,4.478278173564789,3.0,5.068798090770687,39.80193861066236,50.28200589970501,30.29439528023599,0.03301177655142099,0.39537750671254585
