time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,12,0,0,12,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,285,92,42,151,31.744613220260973,39.73770884628744,4.542123182875167,3.0,5.046846846846847,19.656140350877195,26.282608695652176,23.27173913043478,0.03915558627623481,0.24827522935779806
200,558,264,155,139,35.35862015074405,50.45532259194698,4.538297998184866,3.0,5.167771883289125,27.93189964157706,36.81060606060606,29.674242424242426,0.03769074960043479,0.29988650872464123
300,795,441,235,119,37.10561484143511,52.30895685843053,4.532471916525289,3.0,5.236486486486487,31.19496855345912,38.65986394557823,31.217687074829932,0.03596241390574299,0.29939237362813353
400,1094,612,322,160,36.56715957434915,53.04895071122561,4.531793993043645,3.0,5.26386115804024,31.328153564899452,39.38235294117647,31.519607843137255,0.03672097574295736,0.30213800003885755
500,1366,807,424,135,37.61935752452166,53.48312769623493,4.517833194746487,3.0,5.3232870261360965,33.10102489019034,39.8822800495663,31.64188351920694,0.03652379228013165,0.311548331391559
600,1615,989,506,120,37.693834978914914,53.94633879516033,4.524010117978431,3.0,5.351977902732564,33.59318885448916,40.374115267947424,31.816986855409503,0.03626329153186112,0.3109990681871516
700,1869,1146,600,123,37.66535045167515,54.03785066977146,4.519021295220924,3.0,5.345440690881381,33.780096308186195,40.478184991274,31.80802792321117,0.035819495061214554,0.3061259134682242
800,2147,1318,696,133,36.87545064316195,54.2563206508037,4.516694514031984,3.0,5.352399346308126,33.56031672100605,40.71927162367223,31.926403641881638,0.0360330639039763,0.3047937159740482
900,2434,1489,814,131,37.14275264582056,54.17817211260888,4.5161796312043165,3.0,5.344580510682647,33.709942481511916,40.62323707186031,31.65413028878442,0.03659749752500069,0.3083164094572653
1000,2711,1665,912,134,36.98537569321027,54.04472869813741,4.516354914614444,3.0,5.350166384494133,33.80413131685725,40.4954954954955,31.573573573573572,0.03657686263487827,0.30863668716841225
