time,node,sf
100,pop2,b
100,pop2,a
100,pop2,c
100,pop8,b
100,pop8,a
100,pop8,c
100,pop14,c
100,pop14,b
100,pop14,a
100,pop15,a
100,pop15,b
100,pop15,c
100,pop16,c
100,pop16,b
100,pop16,a
100,pop20,a
100,pop20,b
100,pop20,c
100,pop23,b
100,pop23,a
100,pop23,c
100,pop25,b
100,pop25,a
100,pop28,b
100,pop28,a
100,pop28,c
100,pop34,b
100,pop34,c
100,pop34,a
100,pop41,a
100,pop41,b
100,pop43,a
100,pop43,b
100,pop43,c
100,pop47,c
100,pop47,b
100,pop47,a
100,pop51,b
100,pop51,c
100,pop51,a
100,pop52,b
100,pop52,c
100,pop52,a
100,pop56,b
100,pop56,a
100,pop56,c
100,pop58,b
100,pop58,a
100,pop58,c
100,pop59,b
100,pop59,c
100,pop59,a
100,pop63,a
100,pop63,b
100,pop63,c
100,pop70,c
100,pop70,a
100,pop70,b
100,pop17,a
100,pop17,b
100,pop45,b
100,pop45,a
100,pop45,c
100,pop53,c
100,pop53,b
100,pop53,a
100,pop26,a
100,pop22,c
100,pop22,a
100,pop22,b
100,pop57,c
100,pop57,a
100,pop57,b
100,pop24,b
100,pop24,a
100,pop24,c
100,pop19,c
100,pop19,b
100,pop19,a
100,pop55,c
100,pop55,b
100,pop55,a
100,pop40,c
100,pop40,b
100,pop33,c
100,pop42,a
100,pop42,b
100,pop3,c
100,pop60,c
100,pop60,b
100,pop60,a
100,pop72,a
100,pop72,c
100,pop49,a
100,pop49,c
100,pop61,b
100,pop61,c
100,pop61,a
100,pop7,c
100,pop7,a
100,pop50,c
100,pop50,a
100,pop50,b
100,pop48,b
100,pop48,c
100,pop11,b
100,pop11,c
100,pop11,a
100,pop68,c
100,pop68,b
100,pop66,c
100,pop66,a
100,pop18,a
100,pop18,c
100,pop18,b
100,pop31,b
100,pop31,a
100,pop67,b
100,pop67,a
100,pop37,b
100,pop37,a
100,pop37,c
100,pop71,b
100,pop71,a
100,pop71,c
100,pop32,b
100,pop32,a
100,pop32,c
100,pop64,a
100,pop64,b
100,pop64,c
100,pop29,b
100,pop29,c
100,pop6,a
100,pop6,b
100,pop6,c
100,pop13,c
100,pop13,b
100,pop13,a
100,pop1,a
100,pop1,b
100,pop5,c
100,pop5,b
200,pop2,a
200,pop2,b
200,pop8,c
200,pop8,b
200,pop8,a
200,pop14,a
200,pop14,c
200,pop14,b
200,pop15,c
200,pop15,a
200,pop15,b
200,pop16,b
200,pop16,a
200,pop16,c
200,pop20,a
200,pop20,b
200,pop20,c
200,pop21,a
200,pop21,b
200,pop21,c
200,pop23,b
200,pop23,c
200,pop25,c
200,pop25,b
200,pop25,a
200,pop28,c
200,pop28,a
200,pop28,b
200,pop34,b
200,pop34,c
200,pop34,a
200,pop41,c
200,pop41,b
200,pop41,a
200,pop43,a
200,pop43,b
200,pop43,c
200,pop44,c
200,pop47,b
200,pop47,c
200,pop47,a
200,pop51,a
200,pop51,c
200,pop51,b
200,pop52,a
200,pop52,b
200,pop52,c
200,pop56,a
200,pop56,c
200,pop56,b
200,pop58,a
200,pop58,b
200,pop58,c
200,pop59,c
200,pop59,b
200,pop63,c
200,pop63,b
200,pop63,a
200,pop70,c
200,pop70,b
200,pop70,a
200,pop17,a
200,pop17,b
200,pop17,c
200,pop27,a
200,pop27,b
200,pop27,c
200,pop45,a
200,pop45,b
200,pop45,c
200,pop53,c
200,pop53,a
200,pop26,a
200,pop26,c
200,pop26,b
200,pop22,a
200,pop22,b
200,pop22,c
200,pop57,a
200,pop57,c
200,pop57,b
200,pop24,b
200,pop24,a
200,pop24,c
