time,node,sf
100,pop15,b
100,pop15,a
100,pop15,c
100,pop21,c
100,pop21,b
100,pop21,a
100,pop22,b
100,pop22,a
100,pop22,c
100,pop25,b
100,pop25,a
100,pop25,c
100,pop14,a
100,pop14,c
100,pop14,b
100,pop13,c
100,pop13,b
100,pop13,a
100,pop24,a
100,pop12,c
200,pop15,b
200,pop15,c
200,pop15,a
200,pop21,b
200,pop21,a
200,pop21,c
200,pop22,b
200,pop22,a
200,pop22,c
200,pop25,b
200,pop25,a
200,pop25,c
200,pop14,b
200,pop14,c
200,pop13,b
200,pop13,a
200,pop19,b
200,pop19,a
200,pop24,a
200,pop24,c
200,pop12,b
200,pop10,b
200,pop11,a
200,pop8,a
200,pop8,c
300,pop15,b
300,pop15,a
300,pop15,c
300,pop21,c
300,pop21,a
300,pop21,b
300,pop22,c
300,pop22,b
300,pop22,a
300,pop25,b
300,pop25,a
300,pop25,c
300,pop14,b
300,pop16,c
300,pop8,b
300,pop8,c
400,pop15,b
400,pop15,c
400,pop15,a
400,pop21,c
400,pop21,a
400,pop21,b
400,pop22,a
400,pop22,b
400,pop22,c
400,pop25,b
400,pop25,c
400,pop25,a
400,pop14,c
400,pop14,a
400,pop14,b
400,pop13,a
400,pop13,b
400,pop13,c
400,pop19,a
400,pop24,b
400,pop2,c
400,pop12,c
400,pop12,a
400,pop10,c
400,pop10,a
400,pop16,a
400,pop8,b
400,pop5,a
400,pop27,c
500,pop15,b
500,pop15,a
500,pop15,c
500,pop21,b
500,pop21,a
500,pop21,c
500,pop22,a
500,pop22,c
500,pop22,b
500,pop25,c
500,pop25,b
500,pop25,a
500,pop14,a
500,pop14,c
500,pop14,b
500,pop13,c
500,pop19,b
500,pop19,a
500,pop24,a
500,pop24,b
500,pop24,c
500,pop2,b
500,pop2,a
500,pop0,c
500,pop12,c
500,pop8,b
500,pop8,a
500,pop8,c
600,pop15,b
600,pop15,c
600,pop21,a
600,pop21,c
600,pop21,b
600,pop22,a
600,pop22,b
600,pop22,c
600,pop25,b
600,pop25,c
600,pop25,a
600,pop14,a
600,pop14,c
600,pop14,b
600,pop13,a
600,pop13,c
600,pop13,b
600,pop24,b
600,pop31,a
600,pop8,a
700,pop15,c
700,pop15,b
700,pop15,a
700,pop21,b
700,pop21,c
700,pop21,a
700,pop22,a
700,pop22,b
700,pop22,c
700,pop25,a
700,pop25,c
700,pop25,b
700,pop14,c
700,pop14,a
700,pop14,b
700,pop13,a
700,pop13,b
700,pop19,a
700,pop19,b
700,pop24,b
700,pop24,a
700,pop24,c
700,pop16,b
700,pop8,a
700,pop8,b
700,pop8,c
700,pop1,c
800,pop15,c
800,pop15,b
800,pop15,a
800,pop21,c
800,pop21,a
800,pop21,b
800,pop22,a
800,pop22,b
800,pop22,c
800,pop25,c
800,pop25,b
800,pop25,a
800,pop14,b
800,pop14,c
800,pop14,a
800,pop13,b
800,pop19,a
800,pop19,b
800,pop24,c
800,pop24,b
800,pop10,b
800,pop16,c
800,pop8,c
800,pop1,b
800,pop1,c
900,pop15,b
900,pop15,c
900,pop15,a
900,pop21,b
900,pop21,c
900,pop21,a
900,pop22,c
900,pop22,b
900,pop22,a
900,pop25,b
900,pop25,a
900,pop25,c
900,pop14,c
900,pop14,b
900,pop14,a
900,pop13,a
900,pop13,c
900,pop13,b
900,pop19,b
900,pop19,a
900,pop24,c
900,pop24,b
900,pop24,a
900,pop31,c
900,pop12,b
900,pop30,b
900,pop10,c
900,pop10,a
900,pop11,a
900,pop1,a
1000.0,pop15,b
1000.0,pop15,a
1000.0,pop15,c
1000.0,pop21,c
1000.0,pop21,b
1000.0,pop21,a
1000.0,pop22,a
1000.0,pop22,b
1000.0,pop22,c
1000.0,pop25,c
1000.0,pop25,a
1000.0,pop25,b
1000.0,pop14,a
1000.0,pop14,c
1000.0,pop14,b
1000.0,pop19,c
1000.0,pop2,b
1000.0,pop2,c
1000.0,pop31,a
1000.0,pop12,b
1000.0,pop12,a
1000.0,pop12,c
