time,node,sf
100,pop15,a
100,pop15,c
100,pop15,b
100,pop21,c
100,pop21,a
100,pop21,b
100,pop22,b
100,pop22,a
100,pop22,c
100,pop25,a
100,pop25,c
100,pop25,b
100,pop8,b
100,pop8,c
100,pop14,c
100,pop32,c
100,pop32,b
100,pop32,a
100,pop13,c
100,pop20,b
100,pop20,a
100,pop20,c
100,pop12,b
100,pop12,c
100,pop24,c
100,pop31,a
100,pop31,b
100,pop31,c
100,pop7,c
100,pop11,c
100,pop4,c
100,pop4,b
200,pop15,c
200,pop15,b
200,pop15,a
200,pop21,a
200,pop21,b
200,pop22,c
200,pop22,b
200,pop25,b
200,pop25,a
200,pop8,b
200,pop8,c
200,pop14,c
200,pop14,a
200,pop14,b
200,pop32,a
200,pop32,c
200,pop32,b
200,pop13,a
200,pop13,c
200,pop20,c
200,pop20,a
200,pop5,a
200,pop12,b
200,pop16,b
200,pop16,c
200,pop26,a
200,pop26,c
200,pop26,b
200,pop24,b
200,pop24,c
200,pop2,a
200,pop0,c
200,pop11,c
200,pop4,a
200,pop4,b
300,pop15,b
300,pop15,a
300,pop15,c
300,pop21,c
300,pop21,b
300,pop21,a
300,pop22,a
300,pop22,c
300,pop25,a
300,pop25,b
300,pop25,c
300,pop8,a
300,pop8,c
300,pop14,c
300,pop14,b
300,pop14,a
300,pop32,c
300,pop32,b
300,pop32,a
300,pop13,c
300,pop20,c
300,pop20,a
300,pop20,b
300,pop3,b
300,pop12,a
300,pop12,b
300,pop12,c
300,pop16,c
300,pop26,a
300,pop11,b
300,pop11,a
300,pop1,b
300,pop18,a
300,pop18,b
300,pop18,c
400,pop15,a
400,pop15,b
400,pop15,c
400,pop21,c
400,pop21,b
400,pop21,a
400,pop22,a
400,pop22,b
400,pop22,c
400,pop25,b
400,pop25,a
400,pop25,c
400,pop8,a
400,pop8,b
400,pop8,c
400,pop14,c
400,pop14,a
400,pop32,c
400,pop32,a
400,pop32,b
400,pop20,b
400,pop20,a
400,pop5,c
400,pop5,b
400,pop5,a
400,pop3,c
400,pop12,a
400,pop26,a
400,pop26,b
400,pop24,b
400,pop24,c
400,pop31,c
400,pop31,b
400,pop31,a
400,pop0,c
400,pop1,a
400,pop1,c
400,pop4,b
400,pop4,c
400,pop18,c
400,pop18,b
400,pop18,a
400,pop30,b
400,pop30,a
500,pop15,a
500,pop15,b
500,pop21,c
500,pop22,b
500,pop22,c
500,pop22,a
500,pop25,c
500,pop25,a
500,pop25,b
500,pop8,b
500,pop8,a
500,pop8,c
500,pop14,b
500,pop14,c
500,pop14,a
500,pop32,c
500,pop32,a
500,pop13,b
500,pop13,a
500,pop20,b
500,pop5,c
500,pop5,b
500,pop5,a
500,pop19,c
500,pop26,a
500,pop26,b
500,pop26,c
500,pop31,a
500,pop2,a
500,pop11,a
500,pop11,c
500,pop18,c
600,pop15,a
600,pop15,c
600,pop15,b
600,pop21,a
600,pop21,b
600,pop21,c
600,pop22,a
600,pop22,c
600,pop22,b
600,pop25,a
600,pop25,b
600,pop25,c
600,pop8,a
600,pop8,c
600,pop8,b
600,pop14,c
600,pop32,c
600,pop32,b
600,pop32,a
600,pop13,a
600,pop13,b
600,pop13,c
600,pop20,b
600,pop20,c
600,pop20,a
600,pop5,b
600,pop5,a
600,pop5,c
600,pop3,b
600,pop3,a
600,pop12,b
600,pop12,a
600,pop12,c
600,pop31,c
600,pop31,b
600,pop11,c
600,pop1,a
600,pop4,c
600,pop4,b
600,pop4,a
700,pop15,b
700,pop15,c
700,pop15,a
700,pop21,b
700,pop21,c
700,pop22,c
700,pop22,b
700,pop22,a
700,pop25,b
700,pop25,c
700,pop8,c
700,pop8,b
700,pop14,b
700,pop14,c
700,pop14,a
700,pop32,c
700,pop32,a
700,pop32,b
700,pop13,c
700,pop13,b
700,pop13,a
700,pop20,a
700,pop20,c
700,pop5,a
700,pop5,c
700,pop3,a
700,pop3,c
700,pop12,c
700,pop12,b
700,pop26,c
700,pop24,a
700,pop31,c
700,pop2,a
700,pop1,c
700,pop30,b
700,pop30,a
700,pop30,c
800,pop15,c
800,pop15,a
800,pop15,b
800,pop21,a
800,pop21,c
800,pop21,b
800,pop22,b
800,pop22,c
800,pop22,a
800,pop25,b
800,pop25,c
800,pop25,a
800,pop8,a
800,pop8,b
800,pop8,c
800,pop14,b
800,pop14,a
800,pop14,c
800,pop32,c
800,pop32,a
800,pop32,b
800,pop13,c
800,pop13,b
800,pop12,a
800,pop12,c
800,pop12,b
800,pop26,a
800,pop26,b
800,pop26,c
800,pop24,a
800,pop31,c
900,pop15,c
900,pop15,b
900,pop15,a
900,pop21,c
900,pop21,b
900,pop22,b
900,pop22,a
900,pop22,c
900,pop25,a
900,pop25,b
900,pop25,c
900,pop8,c
900,pop8,a
900,pop8,b
900,pop14,a
900,pop14,c
900,pop14,b
900,pop32,a
900,pop32,b
900,pop32,c
900,pop13,a
900,pop13,c
900,pop13,b
900,pop20,c
900,pop20,a
900,pop20,b
900,pop12,a
900,pop12,c
900,pop16,b
900,pop16,a
900,pop26,a
900,pop26,b
900,pop11,b
900,pop11,c
900,pop4,a
900,pop4,c
1000.0,pop15,c
1000.0,pop15,a
1000.0,pop21,b
1000.0,pop21,a
1000.0,pop21,c
1000.0,pop22,b
1000.0,pop22,a
1000.0,pop22,c
1000.0,pop25,b
1000.0,pop25,c
1000.0,pop25,a
1000.0,pop8,b
1000.0,pop8,a
1000.0,pop8,c
1000.0,pop14,a
1000.0,pop32,c
1000.0,pop32,b
1000.0,pop32,a
1000.0,pop13,a
1000.0,pop13,b
1000.0,pop13,c
1000.0,pop20,a
1000.0,pop20,c
1000.0,pop5,c
1000.0,pop5,b
1000.0,pop26,a
1000.0,pop26,b
1000.0,pop26,c
1000.0,pop24,a
1000.0,pop24,c
1000.0,pop2,b
