time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,10,0,0,10,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,219,115,0,104,0,41.70777342853154,4.445653806940146,3.0,4.244755244755245,24.945205479452056,28.321739130434782,19.16521739130435,0.24419615619279972,0.10756851230425044
200,424,303,0,121,0,48.07030021742215,4.479941415488943,3.0,4.307668425954672,32.72405660377358,34.66996699669967,19.953795379537954,0.2749938014078818,0.1384634027036635
300,630,510,1,119,32.0,51.770637531173044,4.459335840502765,3.0,4.342388228636106,36.53809523809524,38.38235294117647,20.07450980392157,0.2792986303942573,0.1490072580050169
400,854,722,1,131,32.0,53.17418564831341,4.476159090983387,3.0,4.336668861092824,38.56791569086651,39.73407202216067,20.113573407202217,0.28231059129308567,0.1550906757634824
500,1088,930,1,157,32.0,54.84527918458674,4.4852987439179355,3.0,4.349025813470478,40.416360294117645,41.421505376344086,20.31290322580645,0.2939815337827289,0.16827847308519267
600,1309,1171,6,132,71.4303184540089,56.84572912433278,4.493202435527016,3.0,4.373672200802581,42.46371275783041,43.380871050384286,20.40478223740393,0.30401355034565025,0.17961496540612296
700,1539,1381,6,152,71.4303184540089,57.468430807644765,4.482189160712849,3.0,4.381354242806831,42.84275503573749,44.02534395365677,20.433019551049963,0.30670677093776283,0.18221093175589897
800,1762,1611,6,145,71.4303184540089,58.275541380866,4.479180611967714,3.0,4.386714989523756,43.96424517593643,44.84171322160149,20.468032278088145,0.3088609279510081,0.18759499588279696
900,1962,1823,6,133,71.4303184540089,58.74984128955228,4.482905124003142,3.0,4.389687405769424,44.518858307849136,45.30828304991772,20.506856829402086,0.306802900376073,0.18761253013518897
1000,2165,2029,8,128,71.95878797056257,59.156489580438894,4.482323915597401,3.0,4.396972169340948,44.80646651270208,45.704780680138,20.62592410054214,0.3068411234912466,0.18601403342142966
