time,node,sf
100,pop50,a
100,pop50,b
100,pop50,c
100,pop32,b
100,pop17,c
100,pop17,a
100,pop44,b
100,pop44,a
100,pop44,c
100,pop36,b
100,pop18,a
100,pop18,b
100,pop18,c
100,pop53,b
100,pop53,a
100,pop53,c
100,pop54,a
100,pop54,b
100,pop54,c
100,pop10,c
100,pop14,b
100,pop14,a
100,pop25,a
100,pop25,c
100,pop25,b
100,pop39,c
100,pop40,c
100,pop40,a
100,pop7,c
100,pop7,a
100,pop4,b
100,pop55,a
100,pop55,b
100,pop55,c
100,pop42,c
100,pop42,b
100,pop42,a
100,pop41,b
100,pop41,c
100,pop31,c
100,pop31,b
100,pop31,a
100,pop0,b
100,pop0,c
100,pop57,a
100,pop57,b
100,pop57,c
100,pop33,a
100,pop33,c
100,pop33,b
100,pop45,a
100,pop45,b
100,pop45,c
100,pop1,c
100,pop1,b
100,pop1,a
100,pop5,a
100,pop5,b
100,pop13,c
100,pop13,b
100,pop13,a
100,pop26,b
100,pop47,c
100,pop3,b
100,pop3,c
100,pop6,a
200,pop50,c
200,pop50,b
200,pop50,a
200,pop32,b
200,pop32,a
200,pop32,c
200,pop51,a
200,pop51,b
200,pop17,a
200,pop17,c
200,pop44,a
200,pop44,b
200,pop44,c
200,pop36,a
200,pop18,a
200,pop53,c
200,pop53,b
200,pop53,a
200,pop10,b
200,pop25,a
200,pop11,b
200,pop39,b
200,pop39,c
200,pop39,a
200,pop38,c
200,pop38,b
200,pop38,a
200,pop20,b
200,pop20,a
200,pop40,a
200,pop40,b
200,pop7,b
200,pop7,c
200,pop7,a
200,pop4,b
200,pop4,c
200,pop55,a
200,pop55,b
200,pop42,c
200,pop41,b
200,pop41,c
200,pop31,b
200,pop31,c
200,pop57,c
200,pop57,b
200,pop33,a
200,pop45,a
200,pop1,c
200,pop1,b
200,pop1,a
200,pop5,c
200,pop5,b
200,pop5,a
200,pop52,a
200,pop47,a
200,pop47,c
200,pop47,b
200,pop6,c
200,pop19,a
200,pop19,b
300,pop50,b
300,pop50,a
300,pop50,c
300,pop32,b
300,pop32,c
300,pop51,b
300,pop17,a
300,pop44,a
300,pop44,b
300,pop36,b
300,pop36,a
300,pop18,a
300,pop53,b
300,pop53,c
300,pop54,b
300,pop54,a
300,pop54,c
300,pop25,a
300,pop25,b
300,pop25,c
300,pop39,c
300,pop39,a
300,pop38,c
300,pop7,c
300,pop4,c
300,pop37,a
300,pop37,b
300,pop37,c
300,pop55,c
300,pop42,c
300,pop42,b
300,pop41,b
300,pop31,c
300,pop31,b
300,pop31,a
300,pop0,c
300,pop33,c
300,pop1,a
300,pop1,b
300,pop52,b
300,pop3,c
300,pop3,b
300,pop3,a
400,pop50,b
400,pop50,a
400,pop51,a
400,pop17,a
400,pop44,c
400,pop44,a
400,pop44,b
400,pop36,a
400,pop36,b
400,pop18,c
400,pop53,c
400,pop53,a
400,pop54,b
400,pop54,a
400,pop10,b
400,pop25,c
400,pop39,a
400,pop39,b
400,pop39,c
400,pop38,c
400,pop38,b
400,pop38,a
400,pop20,b
400,pop40,b
400,pop40,c
400,pop40,a
400,pop7,c
400,pop4,b
400,pop4,a
400,pop4,c
400,pop37,a
400,pop55,b
400,pop42,c
400,pop42,b
400,pop42,a
400,pop41,c
400,pop41,b
400,pop41,a
400,pop31,c
400,pop31,b
400,pop31,a
400,pop0,c
400,pop57,a
400,pop57,b
400,pop57,c
400,pop33,b
400,pop33,a
400,pop1,b
400,pop1,a
400,pop1,c
400,pop5,b
400,pop5,a
400,pop5,c
400,pop26,b
400,pop26,c
400,pop47,b
400,pop47,c
400,pop3,a
400,pop3,b
400,pop19,b
500,pop50,b
500,pop50,c
500,pop50,a
500,pop32,b
500,pop32,a
500,pop32,c
500,pop51,b
500,pop51,a
500,pop17,c
500,pop17,b
500,pop17,a
500,pop44,c
500,pop36,b
500,pop36,a
500,pop36,c
500,pop18,b
500,pop18,c
500,pop53,c
500,pop53,a
500,pop53,b
500,pop14,a
500,pop14,b
500,pop14,c
500,pop25,a
500,pop39,b
500,pop39,a
500,pop39,c
500,pop40,a
500,pop40,b
500,pop40,c
500,pop7,c
500,pop7,b
500,pop4,a
500,pop4,b
500,pop55,b
500,pop55,c
500,pop55,a
500,pop42,c
500,pop42,b
500,pop42,a
500,pop41,a
500,pop41,b
500,pop0,a
500,pop0,b
500,pop33,c
500,pop33,b
500,pop45,a
500,pop45,b
500,pop45,c
500,pop1,b
500,pop1,a
