time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,9,0,0,9,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,200,144,0,56,0,29.23898566523646,4.431237708988616,3.0,4.087349397590361,13.57,16.083333333333332,14.944444444444445,0.1668558126000301,0.028523206751054846
200,395,322,0,73,0,30.526217642919047,4.457555473161175,3.0,4.2444444444444445,15.473417721518988,17.161490683229815,16.093167701863354,0.16105565638233024,0.02936998774566823
300,602,544,0,58,0,30.46589782631946,4.480983319507777,3.0,4.210319195452558,15.99501661129568,17.049632352941178,15.814338235294118,0.16680093842680693,0.02945342048701784
400,798,739,0,59,0,30.373190758898872,4.474589116891245,3.0,4.185788787483703,16.092731829573935,16.949932341001354,15.78213802435724,0.16664904423691426,0.0297142213930762
500,1000,939,0,61,0,30.405289382147238,4.469395982359048,3.0,4.158807035432067,16.315,16.99467518636848,15.706070287539935,0.16907617574662345,0.0308021579860733
600,1195,1134,0,61,0,30.446970550999463,4.475053149221204,3.0,4.162574089754445,16.455230125523013,17.03174603174603,15.800705467372135,0.16713334880079475,0.03056245951876889
700,1394,1329,0,65,0,30.457046757182674,4.473847795197235,3.0,4.137015781922525,16.5480631276901,17.047404063205416,15.851015801354402,0.16786195161420453,0.03072226648631641
800,1597,1530,0,67,0,30.40214384472306,4.482848484551514,3.0,4.131075572279712,16.498434564809017,16.96143790849673,15.795424836601308,0.16664399129698332,0.030394317480370657
900,1802,1745,0,57,0,30.420457561408945,4.478791420288876,3.0,4.127187543061871,16.62097669256382,16.982234957020058,15.823495702005731,0.1669893158379157,0.030499600899502065
1000,2007,1941,0,66,0,30.440336926139217,4.484485718282322,3.0,4.119121096160968,16.626307922272048,17.001545595054097,15.852653271509531,0.16713569361172817,0.030486538137500338
