time,node,sf
100,pop8,a
100,pop8,c
100,pop8,b
100,pop18,b
100,pop18,a
100,pop18,c
100,pop20,c
100,pop20,b
100,pop20,a
100,pop21,c
100,pop21,a
100,pop21,b
100,pop23,b
100,pop23,c
100,pop23,a
100,pop38,b
100,pop38,a
100,pop38,c
100,pop39,b
100,pop39,a
100,pop39,c
100,pop42,c
100,pop42,a
100,pop42,b
100,pop71,a
100,pop71,b
100,pop71,c
100,pop19,b
100,pop19,a
100,pop19,c
100,pop55,b
100,pop55,c
100,pop55,a
100,pop41,a
100,pop41,b
100,pop13,c
100,pop13,b
100,pop13,a
100,pop53,a
100,pop53,c
100,pop1,b
100,pop1,a
100,pop1,c
100,pop26,c
100,pop26,a
100,pop26,b
100,pop4,c
100,pop4,b
100,pop32,c
100,pop6,c
100,pop6,b
100,pop24,b
100,pop24,a
100,pop24,c
100,pop15,a
100,pop0,b
100,pop10,a
100,pop10,c
100,pop61,b
100,pop48,b
100,pop48,a
100,pop68,b
100,pop72,b
100,pop34,b
100,pop30,c
200,pop8,a
200,pop8,c
200,pop8,b
200,pop18,b
200,pop18,a
200,pop18,c
200,pop20,b
200,pop20,c
200,pop20,a
200,pop21,b
200,pop21,a
200,pop21,c
200,pop23,a
200,pop23,c
200,pop23,b
200,pop38,b
200,pop38,a
200,pop38,c
200,pop39,b
200,pop39,a
200,pop39,c
200,pop42,b
200,pop42,c
200,pop42,a
200,pop71,a
200,pop71,b
200,pop71,c
200,pop19,c
200,pop55,a
200,pop55,b
200,pop13,a
200,pop13,b
200,pop13,c
200,pop53,b
200,pop53,c
200,pop53,a
200,pop1,c
200,pop1,b
200,pop1,a
200,pop26,b
200,pop32,b
200,pop32,c
200,pop24,b
200,pop24,c
200,pop24,a
200,pop15,c
200,pop10,a
200,pop10,c
200,pop48,b
200,pop22,c
200,pop46,c
200,pop46,a
200,pop45,c
200,pop16,b
300,pop8,a
300,pop8,c
300,pop8,b
300,pop18,a
300,pop18,b
300,pop18,c
300,pop20,a
300,pop20,b
300,pop20,c
300,pop21,b
300,pop21,c
300,pop21,a
300,pop23,a
300,pop23,c
300,pop23,b
300,pop38,b
300,pop38,a
300,pop38,c
300,pop39,c
300,pop39,b
300,pop39,a
300,pop42,b
300,pop42,c
300,pop42,a
300,pop71,b
300,pop71,c
300,pop71,a
300,pop19,b
300,pop19,c
300,pop55,b
300,pop55,a
300,pop41,b
300,pop41,c
300,pop13,b
300,pop13,a
300,pop13,c
300,pop53,a
300,pop4,b
300,pop4,a
300,pop70,c
300,pop7,c
300,pop32,a
300,pop24,a
300,pop14,c
300,pop44,c
300,pop10,b
300,pop10,c
300,pop48,a
300,pop46,b
400,pop8,b
400,pop8,c
400,pop8,a
400,pop18,b
400,pop18,c
400,pop18,a
400,pop20,c
400,pop20,a
400,pop20,b
400,pop21,a
400,pop21,c
400,pop21,b
400,pop23,c
400,pop23,a
400,pop23,b
400,pop38,a
400,pop38,b
400,pop38,c
400,pop39,b
400,pop39,a
400,pop39,c
400,pop42,b
400,pop42,c
400,pop42,a
400,pop71,b
400,pop71,a
400,pop71,c
400,pop19,a
400,pop19,c
400,pop55,b
400,pop55,c
400,pop41,a
400,pop41,c
400,pop13,a
400,pop13,b
400,pop13,c
400,pop53,b
400,pop53,a
400,pop1,b
400,pop26,a
400,pop26,b
400,pop26,c
400,pop32,c
400,pop6,a
400,pop24,b
400,pop24,c
400,pop24,a
400,pop0,b
400,pop10,c
400,pop61,c
400,pop48,b
400,pop48,c
400,pop22,b
400,pop46,a
400,pop72,c
400,pop27,c
400,pop3,a
500,pop8,c
500,pop8,b
500,pop8,a
500,pop18,a
500,pop18,b
500,pop18,c
500,pop20,b
500,pop20,a
500,pop20,c
500,pop21,b
500,pop21,a
500,pop23,b
500,pop23,a
500,pop23,c
500,pop38,a
500,pop38,c
500,pop38,b
500,pop39,a
500,pop39,b
500,pop39,c
500,pop42,b
500,pop42,a
500,pop42,c
500,pop71,c
500,pop71,a
500,pop71,b
500,pop19,c
500,pop19,b
500,pop55,b
500,pop55,a
500,pop41,c
500,pop13,b
500,pop13,c
500,pop53,b
500,pop53,c
500,pop53,a
500,pop1,b
500,pop1,c
500,pop32,c
500,pop24,a
500,pop24,c
500,pop24,b
500,pop44,c
500,pop61,c
500,pop61,a
500,pop48,c
500,pop46,c
500,pop17,a
500,pop17,b
500,pop17,c
500,pop5,c
600,pop8,a
600,pop8,b
600,pop8,c
600,pop18,a
600,pop18,b
600,pop18,c
600,pop20,c
600,pop20,b
600,pop20,a
600,pop21,b
600,pop21,c
600,pop21,a
600,pop23,b
600,pop23,a
600,pop23,c
600,pop38,a
600,pop38,c
600,pop38,b
600,pop39,b
600,pop39,a
600,pop39,c
600,pop42,b
600,pop42,a
600,pop42,c
600,pop71,c
600,pop71,a
600,pop71,b
600,pop19,b
600,pop19,c
600,pop19,a
600,pop55,b
600,pop55,a
600,pop55,c
600,pop41,a
600,pop53,b
600,pop53,c
600,pop26,b
600,pop26,c
600,pop4,c
600,pop4,b
600,pop4,a
600,pop32,a
600,pop24,a
600,pop15,c
600,pop0,c
600,pop0,a
600,pop44,c
600,pop61,b
600,pop72,c
600,pop17,a
600,pop16,a
700,pop8,c
700,pop8,a
700,pop8,b
700,pop18,c
700,pop18,b
700,pop18,a
700,pop20,b
700,pop20,c
700,pop20,a
700,pop21,a
700,pop21,c
700,pop21,b
700,pop23,a
700,pop23,c
700,pop23,b
700,pop38,b
700,pop38,a
700,pop38,c
700,pop39,b
700,pop39,a
700,pop39,c
700,pop42,b
700,pop42,a
700,pop42,c
700,pop71,a
700,pop71,b
700,pop71,c
700,pop19,b
700,pop19,c
700,pop19,a
700,pop55,b
700,pop41,a
700,pop13,a
700,pop13,c
700,pop13,b
700,pop1,b
700,pop1,a
700,pop1,c
700,pop26,b
700,pop26,c
700,pop32,b
700,pop32,c
700,pop24,c
700,pop24,a
700,pop15,c
700,pop15,b
800,pop8,a
800,pop8,c
800,pop8,b
800,pop18,c
800,pop18,b
800,pop18,a
800,pop20,b
800,pop20,a
800,pop20,c
800,pop21,b
800,pop21,a
800,pop21,c
800,pop23,a
800,pop23,b
800,pop23,c
800,pop38,b
800,pop38,a
800,pop38,c
800,pop39,b
800,pop39,c
800,pop39,a
800,pop42,c
800,pop42,a
800,pop42,b
800,pop71,b
800,pop71,a
800,pop71,c
800,pop19,a
800,pop19,b
800,pop55,c
800,pop55,a
800,pop55,b
800,pop41,c
800,pop41,b
800,pop41,a
800,pop13,c
800,pop53,a
800,pop53,b
800,pop53,c
800,pop26,b
800,pop32,c
800,pop32,b
800,pop24,a
800,pop24,b
800,pop15,c
800,pop14,b
800,pop14,a
800,pop48,c
800,pop46,c
800,pop45,a
800,pop63,a
900,pop8,c
900,pop8,b
900,pop8,a
900,pop18,a
900,pop18,b
900,pop20,c
900,pop20,a
900,pop20,b
900,pop21,b
900,pop21,a
900,pop21,c
900,pop23,a
900,pop23,b
900,pop23,c
900,pop38,a
900,pop38,b
900,pop38,c
900,pop39,b
900,pop39,c
900,pop39,a
900,pop42,b
900,pop42,a
900,pop71,b
900,pop71,a
900,pop71,c
900,pop19,a
900,pop19,b
900,pop19,c
900,pop55,c
900,pop41,a
900,pop41,c
900,pop41,b
900,pop13,b
900,pop13,c
900,pop13,a
900,pop53,b
900,pop53,c
900,pop1,a
900,pop1,b
900,pop1,c
900,pop26,b
900,pop26,a
900,pop70,c
900,pop70,b
900,pop70,a
900,pop32,c
900,pop6,a
900,pop6,c
900,pop6,b
900,pop24,a
900,pop24,c
900,pop15,a
900,pop10,c
900,pop61,a
900,pop48,a
900,pop48,b
900,pop48,c
900,pop46,b
900,pop72,a
900,pop72,c
1000.0,pop8,b
1000.0,pop8,a
1000.0,pop8,c
1000.0,pop18,c
1000.0,pop18,b
1000.0,pop20,a
1000.0,pop20,b
1000.0,pop21,c
1000.0,pop21,a
1000.0,pop23,a
1000.0,pop23,c
1000.0,pop23,b
1000.0,pop38,b
1000.0,pop38,a
1000.0,pop38,c
1000.0,pop39,a
1000.0,pop39,c
1000.0,pop39,b
1000.0,pop42,a
1000.0,pop42,b
1000.0,pop42,c
1000.0,pop71,a
1000.0,pop71,c
1000.0,pop71,b
1000.0,pop19,b
1000.0,pop19,a
1000.0,pop19,c
1000.0,pop55,b
1000.0,pop55,a
1000.0,pop41,c
1000.0,pop41,b
1000.0,pop41,a
1000.0,pop13,a
1000.0,pop13,b
1000.0,pop13,c
1000.0,pop53,b
1000.0,pop1,a
1000.0,pop1,c
1000.0,pop26,c
1000.0,pop26,b
1000.0,pop26,a
1000.0,pop4,c
1000.0,pop70,b
1000.0,pop70,a
1000.0,pop70,c
1000.0,pop32,c
1000.0,pop32,b
1000.0,pop6,a
1000.0,pop6,b
1000.0,pop24,c
1000.0,pop24,a
1000.0,pop24,b
1000.0,pop44,b
1000.0,pop44,a
1000.0,pop10,a
1000.0,pop10,b
1000.0,pop48,a
1000.0,pop48,b
1000.0,pop46,a
1000.0,pop72,c
