time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,11,0,0,11,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,222,140,0,82,0,38.069441724631254,4.518658918299524,3.0,4.728199320498301,18.806306306306308,24.335714285714285,22.57857142857143,0.30045339425818696,0.07446912137151765
200,474,374,0,100,0,38.19605396123864,4.515451352329174,3.0,4.776844070961718,21.58649789029536,24.665775401069517,23.163101604278076,0.3165700361314095,0.08223048483320781
300,726,624,0,102,0,38.722569825900706,4.526132426923247,3.0,4.814141414141414,22.97658402203857,25.169871794871796,23.512820512820515,0.33001273640447387,0.08829824213587151
400,972,863,0,109,0,39.06882704490476,4.537783092901569,3.0,4.821294363256785,23.75925925925926,25.475086906141367,23.59443800695249,0.3403645091021912,0.09157860101420706
500,1221,1123,0,98,0,39.53781296803007,4.528132805964027,3.0,4.8302158273381295,24.744471744471745,25.95013357079252,23.80053428317008,0.34816513636231267,0.09580540288914992
600,1469,1370,0,99,0,39.76047036627252,4.521556809058183,3.0,4.8654684815646885,25.062627637848877,26.196350364963504,24.172992700729928,0.34863535797985745,0.0963690431799549
700,1703,1595,0,108,0,39.856258794032286,4.540992400478938,3.0,4.8629458759986495,25.376981796829124,26.25203761755486,24.169278996865202,0.35088044808053687,0.09755586028020581
800,1966,1854,0,112,0,40.08786886747139,4.5361326544126275,3.0,4.858548822848321,25.612410986775178,26.465480043149945,24.29557713052859,0.3553661026376236,0.09948979685296201
900,2217,2104,0,113,0,40.09144253992311,4.5324224227065155,3.0,4.854470919805278,25.63870094722598,26.491920152091254,24.291825095057035,0.35947568025330084,0.10076852976913798
1000,2473,2369,0,104,0,40.286557326174396,4.530713256963418,3.0,4.863646659116648,26.048928427011727,26.682988602785986,24.3938370620515,0.361280449906872,0.10281071433711905
