time,node,sf
100,pop2,b
100,pop2,a
100,pop2,c
100,pop7,a
100,pop7,b
100,pop7,c
100,pop9,a
100,pop9,b
100,pop9,c
100,pop49,c
100,pop49,a
100,pop49,b
100,pop56,a
100,pop56,b
100,pop56,c
100,pop51,c
100,pop51,a
100,pop48,b
100,pop48,a
100,pop48,c
100,pop52,c
100,pop52,b
100,pop52,a
100,pop53,a
100,pop55,c
200,pop2,b
200,pop2,a
200,pop2,c
200,pop7,c
200,pop7,a
200,pop7,b
200,pop9,a
200,pop9,c
200,pop9,b
200,pop49,b
200,pop49,a
200,pop56,a
200,pop56,b
200,pop56,c
200,pop51,a
200,pop51,b
200,pop6,a
200,pop6,b
200,pop6,c
200,pop48,b
200,pop48,a
200,pop48,c
200,pop1,b
200,pop52,a
200,pop52,c
200,pop53,c
200,pop53,b
200,pop55,c
200,pop55,b
200,pop55,a
200,pop50,b
300,pop2,b
300,pop2,c
300,pop2,a
300,pop7,a
300,pop7,b
300,pop7,c
300,pop9,c
300,pop9,b
300,pop9,a
300,pop49,c
300,pop49,b
300,pop49,a
300,pop56,b
300,pop56,c
300,pop56,a
300,pop51,a
300,pop51,c
300,pop6,c
300,pop6,a
300,pop6,b
300,pop48,c
300,pop48,b
300,pop48,a
300,pop1,b
300,pop52,a
300,pop30,b
300,pop30,a
300,pop0,c
300,pop50,b
300,pop57,a
300,pop57,c
400,pop2,c
400,pop2,b
400,pop2,a
400,pop7,a
400,pop7,b
400,pop7,c
400,pop9,c
400,pop9,a
400,pop9,b
400,pop49,b
400,pop49,a
400,pop49,c
400,pop56,b
400,pop56,a
400,pop56,c
400,pop51,c
400,pop51,b
400,pop6,b
400,pop6,a
400,pop6,c
400,pop48,c
400,pop48,b
400,pop48,a
400,pop1,b
400,pop52,a
400,pop52,b
400,pop52,c
400,pop53,c
400,pop53,a
400,pop3,c
400,pop31,b
400,pop55,b
400,pop55,a
400,pop55,c
400,pop46,b
400,pop46,a
400,pop46,c
400,pop45,a
400,pop50,a
400,pop50,b
400,pop33,b
400,pop44,c
500,pop2,b
500,pop2,a
500,pop2,c
500,pop7,b
500,pop7,c
500,pop7,a
500,pop9,b
500,pop9,a
500,pop9,c
500,pop49,c
500,pop49,a
500,pop49,b
500,pop56,a
500,pop56,c
500,pop56,b
500,pop51,a
500,pop51,c
500,pop6,a
500,pop48,a
500,pop48,b
500,pop48,c
500,pop1,a
500,pop1,c
500,pop52,b
500,pop52,a
500,pop52,c
500,pop10,c
500,pop30,b
500,pop30,a
500,pop53,c
500,pop46,c
500,pop42,b
600,pop2,b
600,pop2,c
600,pop2,a
600,pop7,b
600,pop7,c
600,pop7,a
600,pop9,a
600,pop9,b
600,pop9,c
600,pop49,b
600,pop49,c
600,pop49,a
600,pop56,c
600,pop56,b
600,pop56,a
600,pop51,b
600,pop51,a
600,pop6,c
600,pop48,b
600,pop48,a
600,pop52,a
600,pop52,b
600,pop52,c
600,pop10,b
600,pop53,c
600,pop53,a
600,pop55,c
600,pop50,b
600,pop33,a
600,pop5,a
700,pop2,a
700,pop2,b
700,pop7,a
700,pop7,c
700,pop7,b
700,pop9,c
700,pop9,a
700,pop9,b
700,pop49,c
700,pop49,b
700,pop49,a
700,pop56,a
700,pop56,c
700,pop56,b
700,pop51,b
700,pop51,a
700,pop51,c
700,pop48,a
700,pop48,b
700,pop48,c
700,pop1,c
700,pop52,a
700,pop52,c
700,pop53,c
700,pop37,b
700,pop46,b
700,pop46,a
700,pop45,a
700,pop50,c
700,pop50,b
700,pop50,a
700,pop54,b
700,pop54,c
800,pop2,c
800,pop2,a
800,pop2,b
800,pop7,c
800,pop7,b
800,pop7,a
800,pop9,b
800,pop9,a
800,pop9,c
800,pop49,b
800,pop49,a
800,pop49,c
800,pop56,a
800,pop56,c
800,pop56,b
800,pop51,c
800,pop6,b
800,pop6,a
800,pop48,b
800,pop48,a
800,pop48,c
800,pop1,a
800,pop1,b
800,pop1,c
800,pop52,c
800,pop52,a
800,pop52,b
800,pop30,b
800,pop53,c
800,pop53,b
800,pop53,a
800,pop3,c
800,pop55,b
800,pop55,a
800,pop46,a
800,pop42,a
900,pop2,c
900,pop2,b
900,pop2,a
900,pop7,a
900,pop7,b
900,pop7,c
900,pop9,b
900,pop9,a
900,pop9,c
900,pop49,b
900,pop49,a
900,pop49,c
900,pop56,a
900,pop56,c
900,pop56,b
900,pop6,b
900,pop48,c
900,pop48,a
900,pop1,c
900,pop52,b
900,pop53,a
900,pop55,b
900,pop55,a
900,pop42,c
1000.0,pop2,c
1000.0,pop2,b
1000.0,pop2,a
1000.0,pop7,b
1000.0,pop7,a
1000.0,pop7,c
1000.0,pop9,a
1000.0,pop9,c
1000.0,pop9,b
1000.0,pop49,b
1000.0,pop49,a
1000.0,pop56,a
1000.0,pop56,c
1000.0,pop56,b
1000.0,pop51,a
1000.0,pop51,b
1000.0,pop6,a
1000.0,pop6,c
1000.0,pop48,c
1000.0,pop48,b
1000.0,pop48,a
1000.0,pop1,c
1000.0,pop52,b
1000.0,pop53,a
1000.0,pop55,b
1000.0,pop55,a
1000.0,pop45,a
1000.0,pop57,b
1000.0,pop57,a
