time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,20,0,0,20,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,467,238,0,229,0,40.909291234844844,4.494790639915102,3.0,4.332326283987915,24.565310492505354,27.331932773109244,20.49579831932773,0.3007683324113303,0.12996491851123343
200,903,670,0,233,0,48.13197118945619,4.526454749275764,3.0,4.316843702579666,31.503875968992247,34.6089552238806,21.34328358208955,0.336416154856932,0.15549611294738722
300,1342,1112,5,225,33.65738864264064,49.434952811156364,4.507803724517924,3.0,4.325784966698382,33.87779433681073,35.914568345323744,21.1681654676259,0.34720636695303836,0.16069093013220276
400,1798,1537,5,256,33.65738864264064,50.63269920047486,4.509954949368482,3.0,4.3505504961261385,35.60289210233593,37.111255692908266,21.41964866623292,0.35241117846064757,0.1696195141719382
500,2237,1978,5,254,33.65738864264064,51.88428759639407,4.502806460734321,3.0,4.380668949170397,37.17791685292803,38.372598584428715,21.587462082912033,0.3596562295630718,0.17664591406619948
600,2687,2414,6,267,29.714490535533866,52.51653689043941,4.5014523172723315,3.0,4.368226548064114,37.831410494975806,39.01574150787076,21.509942004971002,0.36215337842714473,0.180769986143488
700,3106,2881,6,219,29.714490535533866,53.25341302651704,4.498203178325844,3.0,4.373517786561265,38.474565357372825,39.7493925720236,21.497049635543213,0.36335547667342033,0.18147644644064378
800,3543,3299,8,236,38.80530481379983,53.05337471986758,4.499948077792905,3.0,4.361192116647973,38.41123341800734,39.55350106092755,21.530160654743863,0.363448358329385,0.17987363046097427
900,3990,3744,8,238,38.80530481379983,52.82371659282491,4.49750316646104,3.0,4.360847104489539,38.29348370927318,39.3346688034188,21.54433760683761,0.3633569253559299,0.17815027720062754
1000,4431,4202,8,221,38.80530481379983,52.57740127833362,4.499587138457889,3.0,4.364670596752508,38.097043556759196,39.083293669681105,21.490004759638268,0.3621065814039851,0.17601426209574142
