time,node,sf
100,pop14,b
100,pop14,a
100,pop14,c
100,pop15,a
100,pop15,c
100,pop15,b
100,pop34,b
100,pop41,c
100,pop41,b
100,pop41,a
100,pop52,c
100,pop52,b
100,pop63,c
100,pop63,b
100,pop33,c
100,pop53,b
100,pop53,a
100,pop53,c
100,pop46,a
100,pop4,a
100,pop4,b
100,pop4,c
100,pop72,a
100,pop72,c
100,pop72,b
100,pop7,a
100,pop7,b
100,pop7,c
100,pop42,c
100,pop42,b
100,pop42,a
100,pop64,a
100,pop51,b
100,pop51,c
100,pop51,a
100,pop48,b
100,pop17,c
100,pop17,b
100,pop71,b
100,pop45,b
100,pop45,a
100,pop45,c
100,pop24,c
100,pop55,c
100,pop55,b
100,pop55,a
100,pop60,c
100,pop60,a
100,pop43,a
100,pop43,b
100,pop59,b
100,pop47,a
100,pop47,b
100,pop47,c
100,pop1,b
100,pop1,a
100,pop37,c
100,pop0,a
100,pop32,a
100,pop32,b
200,pop14,b
200,pop14,c
200,pop14,a
200,pop15,b
200,pop15,a
200,pop15,c
200,pop34,c
200,pop34,b
200,pop34,a
200,pop41,c
200,pop41,a
200,pop41,b
200,pop52,b
200,pop52,a
200,pop52,c
200,pop63,a
200,pop63,c
200,pop63,b
200,pop33,c
200,pop33,b
200,pop33,a
200,pop53,c
200,pop53,b
200,pop53,a
200,pop46,a
200,pop46,b
200,pop46,c
200,pop4,a
200,pop72,a
200,pop72,c
200,pop72,b
200,pop42,a
200,pop42,b
200,pop42,c
200,pop19,b
200,pop19,a
200,pop19,c
200,pop64,b
200,pop64,c
200,pop5,b
200,pop5,c
200,pop17,b
200,pop17,a
200,pop18,a
200,pop71,b
200,pop71,a
200,pop45,a
200,pop45,c
200,pop43,a
200,pop32,a
200,pop13,c
200,pop13,b
300,pop14,c
300,pop14,b
300,pop14,a
300,pop15,c
300,pop15,b
300,pop15,a
300,pop34,a
300,pop34,b
300,pop41,a
300,pop41,b
300,pop41,c
300,pop52,a
300,pop52,b
300,pop63,a
300,pop63,c
300,pop63,b
300,pop33,c
300,pop53,c
300,pop53,b
300,pop53,a
300,pop46,c
300,pop46,a
300,pop72,b
300,pop72,c
300,pop7,b
300,pop7,a
300,pop7,c
300,pop42,b
300,pop42,c
300,pop19,b
300,pop64,c
300,pop51,b
300,pop51,a
300,pop48,b
300,pop45,c
300,pop45,b
300,pop45,a
300,pop43,b
300,pop43,a
300,pop43,c
300,pop47,b
300,pop2,b
300,pop2,a
300,pop37,c
300,pop20,a
300,pop12,c
300,pop32,b
300,pop32,a
300,pop32,c
300,pop70,c
300,pop58,c
400,pop14,c
400,pop14,b
400,pop14,a
400,pop15,c
400,pop15,b
400,pop15,a
400,pop34,b
400,pop34,c
400,pop34,a
400,pop41,a
400,pop41,b
400,pop52,a
400,pop52,c
400,pop52,b
400,pop63,a
400,pop63,c
400,pop63,b
400,pop33,a
400,pop33,c
400,pop33,b
400,pop44,b
400,pop44,c
400,pop53,a
400,pop53,b
400,pop53,c
400,pop46,a
400,pop46,c
400,pop46,b
400,pop4,a
400,pop72,c
400,pop42,a
400,pop42,b
400,pop6,a
400,pop6,c
400,pop64,a
400,pop64,b
400,pop48,a
400,pop48,c
400,pop18,a
400,pop18,b
400,pop45,a
400,pop45,c
400,pop45,b
400,pop43,c
400,pop27,a
400,pop27,c
400,pop27,b
400,pop1,c
400,pop32,c
400,pop32,b
400,pop32,a
400,pop28,b
400,pop28,c
500,pop14,c
500,pop14,b
500,pop14,a
500,pop15,b
500,pop15,a
500,pop15,c
500,pop34,b
500,pop34,c
500,pop41,c
500,pop41,a
500,pop52,a
500,pop52,b
500,pop52,c
500,pop63,b
500,pop63,c
500,pop63,a
500,pop33,a
500,pop33,b
500,pop53,b
500,pop53,a
500,pop46,c
500,pop4,a
500,pop4,b
500,pop4,c
500,pop72,c
500,pop72,b
500,pop7,c
500,pop7,b
500,pop7,a
500,pop42,b
500,pop42,a
500,pop42,c
500,pop19,b
500,pop19,c
500,pop19,a
500,pop6,a
500,pop64,c
500,pop64,b
500,pop64,a
500,pop51,a
500,pop51,c
500,pop48,c
500,pop48,b
500,pop48,a
500,pop5,c
500,pop18,a
500,pop71,b
500,pop71,a
500,pop45,b
500,pop24,b
500,pop24,a
500,pop55,a
500,pop55,c
500,pop43,b
500,pop27,a
500,pop27,c
500,pop20,a
500,pop32,c
500,pop13,c
500,pop13,a
500,pop38,b
600,pop14,b
600,pop14,a
600,pop14,c
600,pop15,a
600,pop15,c
600,pop15,b
600,pop34,c
600,pop34,a
600,pop41,c
600,pop41,b
600,pop41,a
600,pop52,b
600,pop52,a
600,pop52,c
600,pop63,c
600,pop63,b
600,pop63,a
600,pop33,a
600,pop53,c
600,pop53,b
600,pop53,a
600,pop46,c
600,pop72,c
600,pop72,b
600,pop7,c
600,pop7,b
600,pop7,a
600,pop42,b
600,pop42,c
600,pop42,a
600,pop19,a
600,pop64,c
600,pop64,b
600,pop64,a
600,pop51,c
600,pop51,b
600,pop51,a
600,pop18,c
600,pop71,c
600,pop71,b
600,pop71,a
600,pop45,c
600,pop60,c
600,pop43,a
600,pop43,b
600,pop43,c
600,pop47,c
600,pop1,b
600,pop1,a
600,pop20,b
600,pop32,c
700,pop14,b
700,pop14,a
700,pop14,c
700,pop15,b
700,pop15,a
700,pop15,c
700,pop34,c
700,pop34,a
700,pop41,b
700,pop41,a
700,pop41,c
700,pop52,c
700,pop52,b
700,pop52,a
700,pop63,b
700,pop63,a
700,pop63,c
700,pop33,c
700,pop44,c
700,pop53,c
700,pop46,a
700,pop46,b
700,pop46,c
700,pop4,a
700,pop4,c
700,pop4,b
700,pop72,c
700,pop72,b
700,pop7,a
700,pop7,b
700,pop42,b
700,pop42,c
700,pop42,a
700,pop19,c
700,pop64,c
700,pop64,b
700,pop64,a
700,pop51,b
700,pop51,c
700,pop51,a
700,pop48,c
700,pop48,a
700,pop18,a
700,pop18,c
700,pop71,b
700,pop71,a
700,pop45,a
700,pop24,b
700,pop36,c
700,pop25,c
700,pop43,b
700,pop43,a
700,pop43,c
700,pop59,a
700,pop59,b
700,pop47,c
700,pop27,a
700,pop27,c
700,pop2,c
700,pop3,c
800,pop14,a
800,pop14,b
800,pop14,c
800,pop15,c
800,pop15,b
800,pop15,a
800,pop34,a
800,pop34,b
800,pop34,c
800,pop41,c
800,pop41,b
800,pop41,a
800,pop52,b
800,pop52,a
800,pop52,c
800,pop63,a
800,pop63,b
800,pop63,c
800,pop33,c
800,pop33,b
800,pop33,a
800,pop53,c
800,pop53,a
800,pop46,c
800,pop46,a
800,pop72,a
800,pop72,b
800,pop72,c
800,pop7,c
800,pop7,b
800,pop42,c
800,pop42,b
800,pop42,a
800,pop19,a
800,pop6,a
800,pop64,a
800,pop64,b
800,pop51,b
800,pop51,c
800,pop48,b
800,pop48,a
800,pop48,c
800,pop5,a
800,pop18,c
800,pop18,b
800,pop45,c
800,pop45,a
800,pop24,a
800,pop24,b
800,pop55,c
800,pop55,b
800,pop55,a
800,pop43,c
800,pop47,b
800,pop27,a
800,pop27,b
800,pop20,c
900,pop14,c
900,pop14,b
900,pop14,a
900,pop15,c
900,pop15,a
900,pop15,b
900,pop34,c
900,pop34,b
900,pop41,c
900,pop41,a
900,pop41,b
900,pop52,a
900,pop52,c
900,pop52,b
900,pop63,b
900,pop63,a
900,pop33,c
900,pop33,b
900,pop33,a
900,pop53,a
900,pop53,b
900,pop46,b
900,pop46,a
900,pop46,c
900,pop4,b
900,pop4,a
900,pop4,c
900,pop7,a
900,pop7,c
900,pop19,a
900,pop64,b
900,pop64,c
900,pop48,c
900,pop18,c
900,pop18,b
900,pop18,a
900,pop71,a
900,pop71,c
900,pop55,a
900,pop55,b
900,pop55,c
900,pop60,a
900,pop59,c
900,pop59,b
900,pop59,a
900,pop47,b
900,pop47,a
900,pop27,b
900,pop27,c
900,pop1,b
900,pop2,a
900,pop2,c
900,pop37,c
900,pop37,b
900,pop37,a
900,pop20,c
900,pop28,a
1000.0,pop14,b
1000.0,pop14,a
1000.0,pop14,c
1000.0,pop15,a
1000.0,pop15,c
1000.0,pop34,c
1000.0,pop34,b
1000.0,pop34,a
1000.0,pop41,b
1000.0,pop41,c
1000.0,pop41,a
1000.0,pop52,b
1000.0,pop52,c
1000.0,pop52,a
1000.0,pop63,a
1000.0,pop63,b
1000.0,pop63,c
