time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,34,0,0,34,0,0,0,3.0,0,0.0,0,0,0.0,0.0
100,780,233,4,543,22.827658373469752,49.79319976360546,4.542088623504871,3.0,4.579647608773822,32.656410256410254,36.21459227467811,27.042918454935624,0.326045951731224,0.257371376906091
200,1521,812,88,621,47.01275500293777,68.18670260598651,4.524359705451079,3.0,4.754092261904762,50.41025641025641,54.65147783251231,35.039408866995075,0.390172113885537,0.3717087639865236
300,2285,1412,199,674,55.588398467583374,76.11990259584913,4.522028107647411,3.0,4.838880317390346,57.6472647702407,62.596317280453256,35.126062322946176,0.40608624505531776,0.4097446878473252
400,3032,2045,311,676,58.71488099256916,80.80320905491061,4.52176861083933,3.0,4.862102564102564,62.54023746701847,67.23814180929095,35.24743276283618,0.41305205188087557,0.4355780666769413
500,3803,2700,474,629,59.37785389503027,83.73139024891921,4.520965118391325,3.0,4.887112393525563,65.02313962661057,70.17074074074074,35.37111111111111,0.41504956614825267,0.44720050766197006
600,4568,3312,580,676,60.12737450913097,84.92076694273254,4.5207045611184435,3.0,4.885949422456948,66.0234238178634,71.38103864734299,35.38979468599034,0.41543671574853824,0.4496840748702498
700,5315,3986,693,636,60.33709956891494,86.0996312701141,4.516343895594792,3.0,4.896814139981452,67.55484477892756,72.55945810336176,35.3158554942298,0.4170081873673223,0.4536880842571655
800,6087,4565,824,698,62.3016873233889,86.85566592921468,4.508787841646887,3.0,4.896991967587685,68.30688352226055,73.32814895947426,35.4144578313253,0.4167362814684606,0.45588312099098083
900,6818,5251,932,635,61.6136911854694,87.51860548732797,4.5129834797732755,3.0,4.911934557443676,69.48679964799061,73.99047800418968,35.4585793182251,0.4171168998961876,0.45602461164074976
1000,7577,5902,1033,642,61.30986109099374,87.98547600879479,4.515737249949356,3.0,4.912051329737772,69.71651049227927,74.45086411385971,35.570484581497794,0.41704784618791035,0.4562879131433998
