time,node,sf
100,pop2,b
100,pop2,c
100,pop2,a
100,pop5,b
100,pop5,a
100,pop5,d
100,pop5,c
100,pop5,e
100,pop6,d
100,pop6,b
100,pop6,a
100,pop6,e
100,pop6,c
100,pop7,c
100,pop7,b
100,pop7,a
100,pop17,a
100,pop17,b
100,pop17,c
100,pop22,b
100,pop22,a
100,pop22,c
100,pop24,b
100,pop24,a
100,pop24,c
100,pop29,a
100,pop29,b
100,pop29,c
100,pop29,d
100,pop30,b
100,pop30,a
100,pop30,d
100,pop30,c
100,pop30,e
100,pop31,b
100,pop31,a
100,pop31,c
100,pop32,b
100,pop32,a
100,pop32,c
100,pop34,c
100,pop34,b
100,pop34,a
100,pop41,e
100,pop50,b
100,pop50,c
100,pop51,b
100,pop51,d
100,pop51,c
100,pop51,e
100,pop51,a
100,pop55,c
100,pop55,b
100,pop56,c
100,pop56,b
100,pop56,d
100,pop56,e
100,pop57,a
100,pop57,b
100,pop57,d
100,pop57,c
100,pop57,e
100,pop58,a
100,pop58,b
100,pop58,c
100,pop58,d
100,pop58,e
100,pop59,b
100,pop59,a
100,pop59,c
100,pop59,d
100,pop59,e
100,pop60,c
100,pop60,b
100,pop60,a
100,pop60,d
100,pop61,a
100,pop61,b
100,pop61,c
100,pop62,a
100,pop62,d
100,pop62,e
100,pop62,b
100,pop66,c
100,pop66,a
100,pop67,a
100,pop67,b
100,pop67,c
100,pop79,d
100,pop79,e
100,pop80,a
100,pop80,d
100,pop80,e
100,pop80,b
100,pop80,c
100,pop82,c
100,pop82,a
100,pop84,a
100,pop84,c
100,pop84,d
100,pop92,b
100,pop92,a
100,pop92,c
100,pop96,b
100,pop96,a
100,pop96,c
100,pop102,b
100,pop102,c
100,pop102,a
100,pop103,a
100,pop103,c
100,pop108,a
100,pop108,b
100,pop108,c
100,pop114,d
100,pop114,e
100,pop115,b
100,pop115,c
100,pop120,d
100,pop120,a
100,pop120,e
100,pop121,a
100,pop121,b
100,pop125,b
100,pop125,c
100,pop125,d
100,pop125,e
100,pop128,a
100,pop128,d
100,pop128,b
100,pop128,e
100,pop128,c
100,pop137,a
100,pop137,c
100,pop137,b
100,pop140,b
100,pop140,a
100,pop140,c
100,pop143,a
100,pop143,b
100,pop143,c
