time,node,sf
100,pop0,c
100,pop0,a
100,pop0,b
100,pop0,d
100,pop0,e
100,pop4,d
100,pop4,e
100,pop4,c
100,pop6,b
100,pop6,a
100,pop6,c
100,pop6,d
100,pop6,e
100,pop7,b
100,pop7,c
100,pop7,a
100,pop8,b
100,pop8,a
100,pop8,c
100,pop8,d
100,pop8,e
100,pop9,c
100,pop9,d
100,pop9,a
100,pop9,b
100,pop9,e
100,pop11,b
100,pop11,a
100,pop11,c
100,pop12,e
100,pop12,c
100,pop12,d
100,pop12,a
100,pop12,b
100,pop14,a
100,pop14,b
100,pop14,c
100,pop14,d
100,pop14,e
100,pop16,a
100,pop16,b
100,pop16,c
100,pop16,d
100,pop16,e
100,pop17,b
100,pop17,a
100,pop17,c
100,pop17,e
100,pop18,c
100,pop18,d
100,pop18,e
100,pop18,b
100,pop19,c
100,pop19,d
100,pop19,a
100,pop19,e
100,pop19,b
100,pop24,b
100,pop24,c
100,pop24,a
100,pop24,d
100,pop24,e
100,pop29,d
100,pop29,a
100,pop29,b
100,pop29,e
100,pop29,c
100,pop31,a
100,pop31,b
100,pop31,c
100,pop31,d
100,pop31,e
100,pop33,b
100,pop33,c
100,pop33,a
100,pop35,d
100,pop35,e
100,pop35,b
100,pop35,a
100,pop35,c
100,pop37,b
100,pop37,a
100,pop37,c
100,pop37,d
100,pop37,e
100,pop44,b
100,pop44,a
100,pop44,c
100,pop44,d
100,pop45,d
100,pop45,e
100,pop45,b
100,pop45,a
100,pop45,c
100,pop46,e
100,pop46,b
100,pop46,c
100,pop46,a
100,pop46,d
100,pop51,d
100,pop51,e
100,pop51,a
100,pop51,b
100,pop51,c
100,pop52,a
100,pop52,b
100,pop52,c
100,pop52,d
100,pop52,e
100,pop53,b
100,pop53,a
100,pop53,c
100,pop55,a
100,pop55,b
100,pop55,c
100,pop55,d
100,pop55,e
100,pop57,b
100,pop57,c
100,pop57,e
100,pop57,a
100,pop57,d
100,pop60,c
100,pop60,a
100,pop60,b
100,pop61,c
100,pop61,b
100,pop61,a
100,pop64,a
100,pop64,b
100,pop64,c
100,pop64,d
100,pop64,e
100,pop65,d
100,pop65,a
100,pop65,b
100,pop65,c
100,pop65,e
100,pop66,b
100,pop66,a
100,pop66,c
100,pop68,c
100,pop68,b
100,pop68,d
100,pop68,a
100,pop68,e
100,pop72,b
100,pop72,c
100,pop72,a
100,pop73,c
100,pop73,d
100,pop73,e
100,pop73,a
100,pop73,b
100,pop76,a
100,pop76,d
100,pop76,e
100,pop76,b
100,pop76,c
100,pop82,b
100,pop82,d
100,pop82,a
100,pop82,c
100,pop82,e
100,pop86,b
100,pop86,a
100,pop86,c
100,pop87,b
100,pop87,c
100,pop87,d
100,pop87,a
100,pop87,e
100,pop90,b
100,pop90,a
100,pop90,c
100,pop90,e
100,pop90,d
100,pop91,c
100,pop91,d
100,pop91,e
100,pop91,b
100,pop95,e
100,pop95,b
100,pop95,d
100,pop95,a
100,pop95,c
100,pop97,b
100,pop97,c
100,pop97,d
100,pop97,e
100,pop97,a
100,pop104,a
100,pop104,b
100,pop104,c
100,pop104,d
100,pop106,d
100,pop106,e
100,pop106,a
100,pop106,b
100,pop106,c
100,pop109,c
100,pop109,a
100,pop109,e
100,pop109,d
100,pop109,b
100,pop111,c
100,pop111,b
100,pop111,a
100,pop113,b
100,pop113,a
100,pop113,c
100,pop113,e
100,pop113,d
100,pop116,e
100,pop116,a
100,pop116,c
100,pop116,b
100,pop116,d
100,pop117,a
100,pop117,b
100,pop117,c
100,pop117,d
100,pop117,e
100,pop127,d
100,pop127,a
100,pop127,c
100,pop127,e
100,pop129,c
100,pop129,d
100,pop129,e
100,pop129,b
100,pop129,a
100,pop133,a
100,pop133,b
100,pop133,c
100,pop135,d
100,pop135,e
100,pop135,a
100,pop135,b
100,pop135,c
100,pop137,a
100,pop137,c
100,pop137,b
100,pop139,d
100,pop139,c
100,pop139,b
100,pop139,e
100,pop139,a
100,pop140,a
100,pop140,c
100,pop140,b
100,pop140,d
100,pop140,e
100,pop145,b
100,pop145,c
100,pop145,a
100,pop145,d
100,pop145,e
100,pop148,a
100,pop148,b
100,pop148,c
100,pop148,d
100,pop148,e
100,pop130,a
100,pop130,c
100,pop110,e
100,pop120,a
100,pop120,c
100,pop120,b
200,pop0,e
200,pop0,c
200,pop0,a
200,pop0,d
200,pop0,b
200,pop4,b
200,pop4,a
200,pop4,c
200,pop6,b
200,pop6,a
200,pop6,c
200,pop6,d
200,pop6,e
200,pop7,b
200,pop7,e
200,pop7,a
200,pop7,c
200,pop7,d
200,pop8,a
200,pop8,e
200,pop8,c
200,pop8,b
200,pop9,a
200,pop9,d
200,pop9,e
200,pop9,b
200,pop9,c
200,pop11,b
200,pop11,a
200,pop11,c
200,pop11,d
200,pop11,e
200,pop12,b
200,pop12,a
200,pop12,c
200,pop12,d
200,pop12,e
200,pop14,b
200,pop14,c
200,pop14,a
200,pop14,d
200,pop14,e
200,pop16,b
200,pop16,a
200,pop16,c
200,pop16,e
200,pop16,d
200,pop17,b
200,pop17,a
200,pop17,c
200,pop17,d
200,pop17,e
200,pop18,e
200,pop18,a
200,pop18,d
200,pop18,b
200,pop18,c
200,pop19,a
200,pop19,b
200,pop19,c
200,pop19,d
200,pop19,e
200,pop24,b
200,pop24,c
200,pop24,a
200,pop24,d
200,pop24,e
200,pop29,c
200,pop29,d
200,pop29,e
200,pop29,b
200,pop29,a
200,pop31,d
200,pop31,e
200,pop33,a
200,pop33,d
200,pop33,b
200,pop33,e
200,pop33,c
200,pop35,b
200,pop35,a
200,pop35,c
200,pop37,a
200,pop37,b
200,pop37,c
200,pop44,a
200,pop44,c
200,pop44,d
200,pop44,e
200,pop44,b
200,pop45,e
200,pop45,b
200,pop45,a
200,pop45,d
200,pop45,c
200,pop46,b
200,pop46,c
200,pop46,a
200,pop46,d
200,pop46,e
200,pop51,b
200,pop51,a
200,pop51,c
200,pop51,d
200,pop51,e
200,pop52,d
200,pop52,a
200,pop52,b
200,pop52,c
200,pop52,e
200,pop53,c
200,pop53,e
200,pop53,d
200,pop53,b
200,pop55,a
200,pop55,c
200,pop55,d
200,pop55,e
200,pop55,b
200,pop57,c
200,pop57,a
200,pop57,b
200,pop60,c
200,pop60,d
200,pop60,e
200,pop60,a
200,pop61,c
200,pop61,b
200,pop61,e
200,pop61,a
200,pop61,d
200,pop64,a
200,pop64,b
200,pop64,c
200,pop64,d
200,pop64,e
200,pop65,d
200,pop65,e
200,pop65,b
200,pop65,c
200,pop65,a
200,pop66,d
200,pop66,e
200,pop66,c
200,pop66,b
200,pop66,a
200,pop68,b
200,pop68,a
200,pop68,c
200,pop72,c
200,pop72,b
200,pop72,e
200,pop72,a
200,pop73,a
200,pop73,b
200,pop73,c
200,pop73,e
200,pop76,a
200,pop76,b
200,pop76,c
200,pop82,b
200,pop82,c
200,pop82,a
200,pop82,d
