time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,62,0,0,62,0,0,0,2.6451612903225805,0,0.0,0,0,0.0,0.0
100,1438,34,493,911,24.583863378927237,31.49556229704399,4.954681103141719,2.657162726008345,4.975331412103746,30.01460361613352,18.235294117647058,12.441176470588236,0.08455308824017253,0.4152977257549472
200,2836,81,1644,1111,39.667971579846096,45.598648249943096,4.947478548133123,2.666784203102962,5.085981447677234,48.13928067700987,32.123456790123456,18.02469135802469,0.07263440625299289,0.5388383741266797
300,4219,116,2879,1224,48.77088924644456,50.911747833176385,4.956527197571871,2.671249111163783,5.110493529374751,57.75136288219957,37.508620689655174,18.275862068965516,0.0682200692925324,0.5776737759376525
400,5579,157,4192,1230,55.60525891455072,49.90934626194747,4.966660585842158,2.675210611220649,5.1128128929020455,64.14339487363327,36.71974522292994,18.96815286624204,0.06438583783520103,0.5948233874501475
500,6962,203,5473,1286,59.49356276983138,51.17896980746844,4.974513278370739,2.6696351623096812,5.115867340913239,68.44254524561907,38.10344827586207,18.41871921182266,0.06275677197283154,0.6038633654908458
600,8409,244,6865,1300,63.00505901550786,52.75468234887009,4.9786155603591835,2.672255916280176,5.115811053216024,71.22226186229041,39.618852459016395,18.959016393442624,0.062440433840261295,0.6121750939035762
700,9850,290,8211,1349,66.45990804408608,53.73344259963978,4.982485726633093,2.6673096446700506,5.126444345383401,73.55380710659898,40.56206896551724,19.02413793103448,0.06135346076014368,0.6200839484859689
800,11186,328,9510,1348,68.34823401363893,54.448601124762426,4.982725930082176,2.6673520472018595,5.139452631578948,76.38423028785982,41.34146341463415,18.759146341463413,0.06020029588757133,0.6259207443601753
900,12577,368,10839,1370,72.01275170057863,54.36822402774762,4.984584741474658,2.6686809254989265,5.145216350300857,78.2549892661207,41.1875,18.491847826086957,0.05993055977220119,0.6306431450181894
1000,13985,411,12219,1355,74.07278497341005,59.025806586265944,4.980441199368014,2.6690025026814443,5.153916071917157,79.46907400786557,45.798053527980535,19.145985401459853,0.059060667270232604,0.6328431784712611
