time,node,decisions
1000,pop0,619
1000,pop1,235
1000,pop2,2364
1000,pop3,2429
1000,pop4,667
1000,pop5,477
1000,pop6,481
1000,pop7,648
1000,pop8,186
1000,pop9,409
1000,pop10,798
1000,pop11,712
1000,pop12,200
1000,pop13,227
1000,pop14,1658
1000,pop15,1749
1000,pop16,1985
1000,pop17,3292
1000,pop18,1000
1000,pop19,1080
1000,pop20,4969
1000,pop21,68
1000,pop22,69
1000,pop23,95
1000,pop24,1523
1000,pop25,1097
1000,pop26,289
1000,pop27,1407
1000,pop28,1208
1000,pop29,2108
1000,pop30,247
1000,pop31,153
1000,pop32,1087
1000,pop33,1423
1000,pop34,470
1000,pop35,306
1000,pop36,466
1000,pop37,263
1000,pop38,236
1000,pop39,860
1000,pop40,388
1000,pop41,1627
1000,pop42,4
1000,pop43,2
1000,pop44,760
1000,pop45,1151
1000,pop46,412
1000,pop47,204
1000,pop48,4
1000,pop49,1040
1000,pop50,801
1000,pop51,2968
1000,pop52,216
1000,pop53,407
1000,pop54,227
1000,pop55,231
1000,pop56,1374
1000,pop57,889
1000,pop58,1047
1000,pop59,696
1000,pop60,635
1000,pop61,3300
1000,pop62,412
1000,pop63,3
1000,pop64,383
1000,pop65,212
1000,pop66,199
1000,pop67,50
1000,pop68,5
1000,pop69,601
1000,pop70,1981
1000,pop71,744
1000,pop72,760
1000,pop73,357
1000,pop74,81
1000,pop75,222
1000,pop76,22
1000,pop77,1984
1000,pop78,196
1000,pop79,843
1000,pop80,1690
1000,pop81,1878
1000,pop82,661
1000,pop83,1
1000,pop84,214
1000,pop85,192
1000,pop86,830
1000,pop87,1373
1000,pop88,696
1000,pop89,1123
1000,pop90,862
1000,pop91,584
1000,pop92,892
1000,pop93,2197
1000,pop94,3925
1000,pop95,1425
1000,pop96,1932
1000,pop97,23
1000,pop98,417
1000,pop99,1722
1000,pop100,868
1000,pop101,205
1000,pop102,200
1000,pop103,1253
1000,pop104,658
1000,pop105,374
1000,pop106,501
1000,pop107,304
1000,pop108,249
1000,pop109,827
1000,pop110,822
1000,pop111,1167
1000,pop112,709
1000,pop113,3
1000,pop114,47
1000,pop115,44
1000,pop116,1034
1000,pop117,738
1000,pop118,554
1000,pop119,415
1000,pop120,473
1000,pop121,1015
1000,pop122,5
1000,pop123,2218
1000,pop124,3546
1000,pop125,6449
1000,pop126,693
1000,pop127,822
1000,pop128,2529
1000,pop129,1815
1000,pop130,2742
1000,pop131,6736
1000,pop132,2998
1000,pop133,3365
1000,pop134,84
1000,pop135,2
1000,pop136,248
1000,pop137,2
1000,pop138,4
1000,pop139,1806
1000,pop140,3138
1000,pop141,4030
1000,pop142,1567
1000,pop143,0
1000,pop144,3943
1000,pop145,1579
1000,pop146,803
1000,pop147,796
1000,pop148,268
