time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,43,0,0,43,0,0,0,2.6511627906976742,0,0.0,0,0,0.0,0.0
100,1027,243,22,762,33.37082337066129,57.76828058749878,4.945615649786856,2.6582278481012658,4.596146435452794,34.84031158714703,44.5761316872428,36.30864197530864,0.2648695558555889,0.16862583963658778
200,2012,984,102,926,45.246684967873136,75.1374957850636,4.980621982642891,2.668986083499006,4.829531277847086,53.87375745526839,62.08130081300813,43.517276422764226,0.3266927184184928,0.24062691267550673
300,2966,1807,229,930,54.206277954516686,85.29861366168942,4.9911189770558355,2.6645313553607552,4.917035512094699,64.42211732973702,72.0918649695628,44.68566685113448,0.3367254133976711,0.273128310492039
400,3963,2602,365,996,60.52719604753662,90.01797942357366,4.991394251123809,2.661367650769619,4.963929379809869,69.17310118597022,76.76133743274404,45.20445810914681,0.34324487875571064,0.2864377741609352
500,4934,3480,505,949,65.33263581712377,93.13658505049573,4.984505333100284,2.6568706931495742,4.988521278818695,72.57823267126064,79.9080459770115,45.34310344827586,0.3459775965052739,0.29619932099964535
600,5866,4305,608,953,65.11265733527527,95.03999304138117,4.992569734158567,2.657347425843846,4.998755092802173,75.29662461643369,81.80929152148664,45.52102206736353,0.3464121112512783,0.30025304623389537
700,6795,5184,696,915,67.27448002378685,97.0236154230233,4.993340997515049,2.659308314937454,5.003847147655824,76.94878587196467,83.79475308641975,45.94733796296296,0.346583191065039,0.3023832002228532
800,7799,6004,815,980,67.32041287439701,97.60539070397117,4.995862186587428,2.6572637517630464,5.003536313310749,77.64816002051545,84.34743504330446,46.17255163224517,0.35042753189528264,0.3047670421977535
900,8774,6851,936,987,68.3627818761482,98.04828506285436,5.000591588562949,2.659220423979941,5.009648728254088,78.70298609528152,84.79696394686907,46.2847759451175,0.3512033444201268,0.30696862251540435
1000,9741,7770,1027,944,67.60563014246512,98.59057356777069,4.998835159703916,2.6601991581973103,5.007286352350886,79.29668411867365,85.31904761904762,46.371428571428574,0.3517043668177412,0.3069747973328683
