time,node,node_capacity,used_resources
0,pop0,10,0
0,pop1,0,0
0,pop2,10,0
0,pop3,0,0
0,pop4,50,0
0,pop5,0,0
0,pop6,50,0
0,pop7,0,0
0,pop8,10,0
0,pop9,0,0
0,pop10,0,0
0,pop11,10,0
0,pop12,10,0
0,pop13,10,0
0,pop14,50,0
0,pop15,0,0
0,pop16,0,0
0,pop17,50,0
0,pop18,0,0
0,pop19,0,0
0,pop20,10,0
0,pop21,10,0
0,pop22,10,0
0,pop23,0,0
0,pop24,50,0
0,pop25,0,0
0,pop26,10,0
0,pop27,0,0
0,pop28,0,0
0,pop29,0,0
0,pop30,10,0
0,pop31,0,0
0,pop32,10,0
0,pop33,0,0
0,pop34,0,0
0,pop35,10,0
0,pop36,0,0
0,pop37,10,0
0,pop38,0,0
0,pop39,0,0
0,pop40,0,0
0,pop41,10,0
0,pop42,0,0
0,pop43,0,0
0,pop44,0,0
0,pop45,10,0
0,pop46,50,0
0,pop47,10,0
0,pop48,0,0
0,pop49,0,0
0,pop50,10,0
0,pop51,0,0
0,pop52,0,0
0,pop53,10,0
0,pop54,10,0
0,pop55,0,0
0,pop56,10,0
0,pop57,0,0
0,pop58,0,0
0,pop59,0,0
0,pop60,0,0
0,pop61,10,0
0,pop62,0,0
0,pop63,0,0
0,pop64,10,0
0,pop65,10,0
0,pop66,0,0
0,pop67,10,0
0,pop68,10,0
0,pop69,10,0
0,pop70,0,0
0,pop71,10,0
0,pop72,0,0
0,pop73,0,0
0,pop74,0,0
0,pop75,50,0
0,pop76,0,0
0,pop77,0,0
0,pop78,0,0
0,pop79,0,0
0,pop80,50,0
0,pop81,50,0
0,pop82,10,0
0,pop83,50,0
0,pop84,50,0
0,pop85,10,0
0,pop86,0,0
0,pop87,0,0
0,pop88,0,0
0,pop89,0,0
0,pop90,0,0
0,pop91,10,0
0,pop92,0,0
0,pop93,50,0
0,pop94,0,0
0,pop95,10,0
0,pop96,0,0
0,pop97,10,0
0,pop98,0,0
0,pop99,0,0
0,pop100,50,0
0,pop101,0,0
0,pop102,0,0
0,pop103,10,0
0,pop104,0,0
0,pop105,10,0
0,pop106,0,0
0,pop107,0,0
0,pop108,0,0
0,pop109,0,0
0,pop110,0,0
0,pop111,0,0
0,pop112,0,0
0,pop113,10,0
0,pop114,10,0
0,pop115,0,0
0,pop116,50,0
0,pop117,50,0
0,pop118,0,0
0,pop119,10,0
0,pop120,0,0
0,pop121,0,0
0,pop122,50,0
0,pop123,0,0
0,pop124,0,0
0,pop125,0,0
0,pop126,10,0
0,pop127,10,0
0,pop128,50,0
0,pop129,0,0
0,pop130,0,0
0,pop131,10,0
0,pop132,0,0
0,pop133,10,0
0,pop134,10,0
0,pop135,10,0
0,pop136,0,0
0,pop137,10,0
0,pop138,0,0
0,pop139,50,0
0,pop140,0,0
0,pop141,10,0
0,pop142,10,0
0,pop143,0,0
0,pop144,10,0
0,pop145,0,0
0,pop146,0,0
0,pop147,0,0
0,pop148,10,0
100,pop0,10,5.0
100,pop1,0,0
100,pop2,10,9.0
100,pop3,0,0
100,pop4,50,11.0
100,pop5,0,0
100,pop6,50,13.0
100,pop7,0,0
100,pop8,10,0.0
100,pop9,0,0
100,pop10,0,0
100,pop11,10,4.0
100,pop12,10,0
100,pop13,10,0
100,pop14,50,16.0
100,pop15,0,0
100,pop16,0,0
100,pop17,50,14.0
100,pop18,0,0
100,pop19,0,0
100,pop20,10,8.0
100,pop21,10,2.0
100,pop22,10,2.0
100,pop23,0,0
100,pop24,50,14.0
100,pop25,0,0
100,pop26,10,8.0
100,pop27,0,0
100,pop28,0,0
100,pop29,0,0
100,pop30,10,7.0
100,pop31,0,0
100,pop32,10,0
100,pop33,0,0
100,pop34,0,0
100,pop35,10,4.0
100,pop36,0,0
100,pop37,10,5.0
100,pop38,0,0
100,pop39,0,0
100,pop40,0,0
100,pop41,10,9.0
100,pop42,0,0
100,pop43,0,0
100,pop44,0,0
100,pop45,10,5.0
100,pop46,50,0
100,pop47,10,5.0
100,pop48,0,0
100,pop49,0,0
100,pop50,10,4.0
100,pop51,0,0
100,pop52,0,0
100,pop53,10,0
100,pop54,10,1.0
100,pop55,0,0
100,pop56,10,0
100,pop57,0,0
100,pop58,0,0
100,pop59,0,0
100,pop60,0,0
100,pop61,10,4.0
100,pop62,0,0
100,pop63,0,0
100,pop64,10,6.0
100,pop65,10,0.0
100,pop66,0,0
100,pop67,10,3.0
100,pop68,10,0
100,pop69,10,0
100,pop70,0,0
100,pop71,10,0
100,pop72,0,0
100,pop73,0,0
100,pop74,0,0
100,pop75,50,12.0
100,pop76,0,0
100,pop77,0,0
100,pop78,0,0
100,pop79,0,0
100,pop80,50,0.0
100,pop81,50,5.0
100,pop82,10,6.0
100,pop83,50,0
100,pop84,50,0
100,pop85,10,2.0
100,pop86,0,0
100,pop87,0,0
100,pop88,0,0
100,pop89,0,0
100,pop90,0,0
100,pop91,10,0.0
100,pop92,0,0
100,pop93,50,0
100,pop94,0,0
100,pop95,10,0
100,pop96,0,0
100,pop97,10,0.0
100,pop98,0,0
100,pop99,0,0
100,pop100,50,0
100,pop101,0,0
100,pop102,0,0
100,pop103,10,10.0
100,pop104,0,0
100,pop105,10,7.0
100,pop106,0,0
100,pop107,0,0
100,pop108,0,0
100,pop109,0,0
100,pop110,0,0
100,pop111,0,0
100,pop112,0,0
100,pop113,10,0
100,pop114,10,8.0
100,pop115,0,0
100,pop116,50,38.0
100,pop117,50,4.0
100,pop118,0,0
100,pop119,10,9.0
100,pop120,0,0
100,pop121,0,0
100,pop122,50,2.0
100,pop123,0,0
100,pop124,0,0
100,pop125,0,0
100,pop126,10,5.0
100,pop127,10,7.0
100,pop128,50,32.0
100,pop129,0,0
100,pop130,0,0
100,pop131,10,8.0
100,pop132,0,0
100,pop133,10,5.0
100,pop134,10,0
100,pop135,10,3.0
100,pop136,0,0
100,pop137,10,0
100,pop138,0,0
100,pop139,50,14.0
100,pop140,0,0
100,pop141,10,8.0
100,pop142,10,10.0
100,pop143,0,0
100,pop144,10,8.0
100,pop145,0,0
100,pop146,0,0
100,pop147,0,0
100,pop148,10,10.0
200,pop0,10,8.0
200,pop1,0,0
200,pop2,10,7.0
200,pop3,0,0
