time,node,sf
100,pop11,b
100,pop11,a
100,pop11,c
100,pop11,d
100,pop11,e
100,pop16,a
100,pop16,c
100,pop16,b
100,pop18,c
100,pop18,b
100,pop18,a
100,pop18,d
100,pop21,d
100,pop21,a
100,pop21,c
100,pop21,e
100,pop21,b
100,pop26,c
100,pop26,d
100,pop26,e
100,pop26,b
100,pop28,a
100,pop28,c
100,pop28,b
100,pop30,a
100,pop30,c
100,pop30,b
100,pop30,e
100,pop30,d
100,pop31,a
100,pop31,b
100,pop31,c
100,pop31,d
100,pop36,b
100,pop36,d
100,pop36,a
100,pop36,c
100,pop45,c
100,pop45,b
100,pop45,d
100,pop45,a
100,pop52,a
100,pop52,b
100,pop52,c
100,pop54,b
100,pop54,c
100,pop54,a
100,pop54,e
100,pop54,d
100,pop55,a
100,pop55,d
100,pop55,b
100,pop55,e
100,pop55,c
100,pop66,d
100,pop66,b
100,pop66,a
100,pop66,e
100,pop68,c
100,pop68,d
100,pop68,b
100,pop68,a
100,pop68,e
100,pop71,a
100,pop71,b
100,pop71,c
100,pop71,d
100,pop71,e
100,pop80,a
100,pop80,b
100,pop80,c
100,pop84,c
100,pop84,d
100,pop84,e
100,pop84,b
100,pop88,d
100,pop88,a
100,pop88,b
100,pop88,c
100,pop88,e
100,pop96,b
100,pop96,e
100,pop96,d
100,pop97,b
100,pop97,a
100,pop97,c
100,pop101,a
100,pop101,c
100,pop101,b
100,pop119,b
100,pop119,a
100,pop119,c
100,pop119,d
100,pop120,b
100,pop120,a
100,pop120,d
100,pop120,c
100,pop127,a
100,pop127,b
100,pop127,c
100,pop127,d
100,pop127,e
100,pop137,d
100,pop137,e
100,pop137,c
100,pop137,b
100,pop137,a
100,pop139,d
100,pop139,e
100,pop139,b
100,pop139,a
100,pop140,a
100,pop140,c
100,pop140,b
100,pop140,d
100,pop131,c
100,pop131,b
100,pop131,a
100,pop131,e
100,pop82,a
100,pop82,b
100,pop82,c
100,pop82,d
100,pop82,e
100,pop17,a
100,pop17,b
100,pop17,e
100,pop17,c
100,pop17,d
100,pop147,b
100,pop147,a
100,pop147,c
100,pop147,d
100,pop133,b
100,pop133,c
100,pop133,d
100,pop133,e
100,pop133,a
100,pop58,d
100,pop58,e
100,pop58,a
100,pop58,b
100,pop58,c
100,pop34,a
100,pop34,d
100,pop34,b
100,pop34,e
100,pop34,c
100,pop25,a
100,pop25,d
100,pop25,e
100,pop25,b
100,pop25,c
100,pop90,d
100,pop90,e
100,pop90,a
100,pop129,d
100,pop129,a
100,pop129,b
100,pop129,c
100,pop114,b
100,pop114,a
100,pop114,d
100,pop114,e
100,pop114,c
100,pop3,b
100,pop3,a
100,pop117,d
100,pop79,c
100,pop79,e
100,pop35,c
100,pop35,b
100,pop35,d
100,pop35,a
100,pop7,e
100,pop113,e
100,pop113,b
100,pop113,c
100,pop113,a
100,pop51,a
100,pop51,b
100,pop51,e
100,pop93,a
100,pop93,b
100,pop93,c
100,pop106,b
100,pop106,a
100,pop106,c
100,pop99,a
100,pop99,d
100,pop99,b
100,pop99,e
100,pop20,a
100,pop20,d
100,pop20,b
100,pop124,c
100,pop124,d
100,pop124,e
100,pop124,b
100,pop72,b
100,pop72,a
100,pop132,b
100,pop132,a
100,pop132,c
100,pop141,c
100,pop141,b
100,pop141,a
100,pop141,d
100,pop141,e
100,pop29,a
100,pop29,c
100,pop29,b
100,pop39,c
100,pop39,a
100,pop39,e
100,pop146,e
100,pop146,a
100,pop146,c
100,pop142,e
100,pop142,b
100,pop86,c
100,pop109,c
200,pop11,b
200,pop11,e
200,pop11,a
200,pop11,d
200,pop11,c
200,pop16,d
200,pop16,a
200,pop16,b
200,pop16,c
200,pop16,e
200,pop18,c
200,pop18,d
200,pop18,b
200,pop18,e
200,pop21,a
200,pop21,b
200,pop21,c
200,pop21,e
200,pop21,d
200,pop26,e
200,pop26,c
200,pop26,d
200,pop26,a
200,pop26,b
200,pop28,d
200,pop28,e
200,pop28,a
200,pop28,c
200,pop28,b
200,pop30,c
200,pop30,d
200,pop30,a
200,pop30,e
200,pop31,a
200,pop31,c
200,pop31,b
200,pop36,c
200,pop36,a
200,pop36,b
