time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,47,0,0,47,0,0,0,2.8297872340425534,0,0.0,0,0,0.0,0.0
100,1049,291,11,747,38.72822878828645,51.1068723996484,4.988508831986636,2.686367969494757,5.429380413057961,31.07530981887512,37.86254295532646,36.017182130584196,0.28924981268731503,0.15554448304286356
200,2043,1105,67,871,52.33387387465622,68.46877500752677,4.989255307654115,2.6676456191874696,5.563756906077348,49.29221732745962,55.248868778280546,46.4868778280543,0.3279674234805694,0.22391051918185084
300,3062,1978,129,955,60.05291577533367,76.18137637083808,4.977107577857921,2.671129980404964,5.615569848864104,57.88145003265839,62.870576339737106,49.07735085945399,0.3369135836410515,0.25480448835211655
400,4108,2893,220,995,64.86315597285568,81.80488053132657,4.972519944172248,2.6750243427458615,5.632185152308991,63.32643622200584,68.53197372969237,51.07846526097477,0.34075687153469103,0.2762376916264114
500,5147,3880,299,968,68.06363226880279,85.32128090274735,4.974016087749949,2.6739848455410917,5.6646541627488824,66.71789391878764,72.05515463917526,51.64226804123712,0.33934411961871536,0.28608682216106623
600,6227,4838,380,1009,66.16796264279247,87.34153029212082,4.980813802062463,2.6717520475349286,5.66891118622415,68.41111289545528,74.061802397685,52.355518809425384,0.3426495264235411,0.29149254838474875
700,7229,5788,478,963,65.80478953419015,88.48243238186045,4.983146187968346,2.673537142066676,5.666510851419032,70.42965832065292,75.17156185210781,52.72408431237042,0.3434571882994032,0.2959435601494397
800,8236,6729,553,954,65.73608416981315,89.56045978614304,4.9837688640279145,2.673627974745022,5.671501059921537,71.79103933948518,76.23272403031655,52.97458760588498,0.3442015926463833,0.29933753966454246
900,9297,7637,655,1005,66.78753314144376,90.28883553311177,4.986242417970816,2.670216198773798,5.678353325145943,72.60987415295257,76.97184758412989,53.308105276941205,0.345569379088107,0.3024438124438018
1000,10361,8621,740,1000,66.53759334446616,90.85302835675313,4.987559556939216,2.669143905028472,5.685397888616662,73.237428819612,77.54796427328615,53.45273170165874,0.34647872239938904,0.304821537168148
