time,node,sf
100,pop42,d
100,pop42,e
100,pop42,b
100,pop42,c
100,pop43,a
100,pop43,b
100,pop43,c
100,pop43,d
100,pop43,e
100,pop72,d
100,pop72,e
100,pop72,b
100,pop72,a
100,pop72,c
100,pop124,d
100,pop124,a
100,pop124,b
100,pop124,c
100,pop124,e
100,pop132,a
100,pop132,b
100,pop132,c
100,pop132,d
100,pop132,e
100,pop54,a
100,pop54,b
100,pop54,c
100,pop54,d
100,pop54,e
100,pop145,b
100,pop145,a
100,pop145,c
100,pop145,d
100,pop145,e
100,pop126,b
100,pop126,c
100,pop126,a
100,pop86,a
100,pop86,b
100,pop86,c
100,pop86,d
100,pop86,e
100,pop97,a
100,pop97,c
100,pop97,b
100,pop97,d
100,pop97,e
100,pop49,a
100,pop49,b
100,pop49,e
100,pop49,c
100,pop63,a
100,pop63,d
100,pop63,b
100,pop63,c
100,pop63,e
100,pop121,a
100,pop121,b
100,pop121,c
100,pop121,d
100,pop140,d
100,pop140,b
100,pop140,c
100,pop140,e
100,pop140,a
100,pop119,b
100,pop119,a
100,pop119,c
100,pop119,d
100,pop119,e
100,pop100,c
100,pop100,a
100,pop100,b
100,pop100,e
100,pop100,d
100,pop56,a
100,pop56,b
100,pop56,d
100,pop56,c
100,pop74,b
100,pop25,b
100,pop25,c
100,pop25,a
100,pop26,a
100,pop26,c
100,pop26,d
100,pop26,e
100,pop113,b
100,pop113,a
100,pop113,c
100,pop113,e
100,pop113,d
100,pop58,b
100,pop58,a
100,pop58,c
100,pop48,b
100,pop48,c
100,pop48,a
100,pop13,d
100,pop13,a
100,pop13,e
100,pop13,b
100,pop13,c
100,pop33,c
100,pop148,b
100,pop148,a
100,pop148,c
100,pop75,b
100,pop75,a
100,pop75,c
100,pop71,a
100,pop71,d
100,pop71,b
100,pop4,e
100,pop4,d
100,pop4,b
100,pop99,e
100,pop142,d
100,pop60,b
100,pop60,d
100,pop60,c
100,pop60,e
100,pop60,a
100,pop37,b
100,pop37,a
100,pop37,c
100,pop122,a
100,pop122,c
100,pop122,d
100,pop122,e
100,pop55,a
100,pop27,a
100,pop27,c
100,pop1,c
100,pop1,a
100,pop1,d
100,pop24,b
100,pop24,a
100,pop57,d
100,pop141,d
100,pop141,a
100,pop141,b
100,pop141,c
100,pop31,b
100,pop31,d
100,pop83,c
100,pop139,a
100,pop139,c
100,pop79,e
100,pop79,b
100,pop79,a
100,pop79,c
100,pop120,e
100,pop80,b
100,pop80,a
100,pop80,c
100,pop39,d
100,pop39,e
100,pop125,a
100,pop125,d
100,pop125,b
100,pop125,e
100,pop131,a
200,pop42,d
200,pop42,b
200,pop42,a
200,pop42,c
200,pop42,e
200,pop43,a
200,pop43,c
200,pop43,e
200,pop43,d
200,pop43,b
200,pop72,d
200,pop72,e
200,pop72,b
200,pop72,a
200,pop72,c
200,pop124,d
200,pop124,a
200,pop124,b
200,pop124,c
200,pop124,e
200,pop132,b
200,pop132,a
200,pop54,c
200,pop54,e
200,pop54,d
200,pop54,b
200,pop54,a
200,pop145,b
200,pop145,a
200,pop145,c
200,pop145,e
200,pop145,d
200,pop126,d
200,pop126,e
200,pop126,b
200,pop126,a
200,pop86,b
200,pop86,e
200,pop86,a
200,pop86,c
200,pop86,d
200,pop97,d
200,pop97,e
200,pop97,b
200,pop97,a
200,pop97,c
200,pop49,a
200,pop49,c
200,pop49,b
200,pop49,e
200,pop49,d
200,pop63,b
200,pop63,c
200,pop63,a
200,pop63,d
