time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,69,0,0,69,0,0,0,2.5652173913043477,0,0.0,0,0,0.0,0.0
100,1550,377,69,1104,45.56382289092376,49.5105225905599,4.998760822453658,2.661935483870968,5.407626561472715,31.838709677419356,36.50663129973475,34.40848806366048,0.3917734828075546,0.2300778376379899
200,3080,1235,421,1424,67.57970705574456,68.18245465715174,4.999598379280182,2.6678571428571427,5.617814052519518,51.39935064935065,54.93036437246963,43.34251012145749,0.4347041529586618,0.34400414649458133
300,4593,2176,915,1502,78.85949331853807,77.19605411877467,4.996897032748396,2.6784236882212062,5.673625469217336,61.53777487480949,63.88235294117647,45.8125,0.4427637279231259,0.3905301273492216
400,6141,3155,1458,1528,86.64183281532453,82.05506956667755,4.995033910650681,2.675134342940889,5.713301200160205,67.36411007979156,68.74136291600634,46.69508716323296,0.44733613998377963,0.41330195734215064
500,7645,4157,1989,1499,92.0399002470303,84.74481231414457,4.9923877509427,2.6699803793328973,5.741299376953576,71.59764551994768,71.4281934087082,46.93937936011547,0.44765577268075984,0.4288794868995083
600,9258,5090,2568,1600,94.30879764687894,86.59377248699516,4.992361636173554,2.673795636206524,5.741718727605366,73.56135234391877,73.28664047151277,47.09823182711198,0.44974670053099935,0.4385875969593347
700,10798,6111,3162,1525,96.00553323100037,88.1957580035381,4.992126128585023,2.673550657529172,5.749863017547804,75.80255602889424,74.88937980690558,47.4023891343479,0.44940119800130635,0.44622831982450933
800,12365,7085,3703,1577,97.8148225037045,89.69971833580601,4.99128593817389,2.673918317832592,5.7506134932243755,76.94427820460979,76.37360621030346,47.55074100211715,0.45031388670050376,0.4497183343991068
900,13905,8089,4267,1549,98.02132502038431,90.74921497992396,4.9944267910250675,2.672707659115426,5.75339920614813,78.39021934555915,77.42440351094078,47.79169242180739,0.45155216313389224,0.4547797955312961
1000,15502,9047,4886,1569,98.1551655692365,91.51546735644908,4.9952667989299835,2.6718487937040383,5.756010932817741,78.92923493742742,78.17143804576102,47.9054935337681,0.45210534936242375,0.4575926225758964
