time,node,decisions
1000,pop0,209
1000,pop1,213
1000,pop2,3059
1000,pop3,3000
1000,pop4,255
1000,pop5,269
1000,pop6,37
1000,pop7,41
1000,pop8,231
1000,pop9,328
1000,pop10,6
1000,pop11,413
1000,pop12,2386
1000,pop13,2
1000,pop14,490
1000,pop15,2757
1000,pop16,254
1000,pop17,5307
1000,pop18,639
1000,pop19,1234
1000,pop20,4036
1000,pop21,765
1000,pop22,506
1000,pop23,632
1000,pop24,559
1000,pop25,587
1000,pop26,873
1000,pop27,1106
1000,pop28,846
1000,pop29,3064
1000,pop30,247
1000,pop31,1626
1000,pop32,1811
1000,pop33,3467
1000,pop34,961
1000,pop35,1686
1000,pop36,2605
1000,pop37,908
1000,pop38,1179
1000,pop39,1045
1000,pop40,2041
1000,pop41,4385
1000,pop42,1761
1000,pop43,1802
1000,pop44,1632
1000,pop45,2548
1000,pop46,0
1000,pop47,237
1000,pop48,300
1000,pop49,1407
1000,pop50,568
1000,pop51,3491
1000,pop52,1302
1000,pop53,3121
1000,pop54,836
1000,pop55,590
1000,pop56,648
1000,pop57,667
1000,pop58,3079
1000,pop59,984
1000,pop60,470
1000,pop61,4845
1000,pop62,2229
1000,pop63,1134
1000,pop64,1868
1000,pop65,1434
1000,pop66,1696
1000,pop67,3345
1000,pop68,507
1000,pop69,444
1000,pop70,5354
1000,pop71,816
1000,pop72,1913
1000,pop73,1257
1000,pop74,102
1000,pop75,943
1000,pop76,1139
1000,pop77,3170
1000,pop78,778
1000,pop79,1715
1000,pop80,867
1000,pop81,1124
1000,pop82,438
1000,pop83,3330
1000,pop84,84
1000,pop85,959
1000,pop86,1111
1000,pop87,1103
1000,pop88,1140
1000,pop89,796
1000,pop90,1141
1000,pop91,1288
1000,pop92,1045
1000,pop93,2229
1000,pop94,4632
1000,pop95,502
1000,pop96,912
1000,pop97,1320
1000,pop98,450
1000,pop99,2918
1000,pop100,1298
1000,pop101,2114
1000,pop102,2833
1000,pop103,3352
1000,pop104,0
1000,pop105,2285
1000,pop106,2931
1000,pop107,2835
1000,pop108,219
1000,pop109,1225
1000,pop110,1631
1000,pop111,857
1000,pop112,728
1000,pop113,908
1000,pop114,7928
1000,pop115,2955
1000,pop116,3856
1000,pop117,1974
1000,pop118,783
1000,pop119,819
1000,pop120,7257
1000,pop121,1442
1000,pop122,952
1000,pop123,2920
1000,pop124,4905
1000,pop125,7554
1000,pop126,1835
1000,pop127,2893
1000,pop128,3620
1000,pop129,3712
1000,pop130,8296
1000,pop131,10817
1000,pop132,3740
1000,pop133,3316
1000,pop134,3074
1000,pop135,945
1000,pop136,639
1000,pop137,1422
1000,pop138,1128
1000,pop139,681
1000,pop140,2785
1000,pop141,4639
1000,pop142,3787
1000,pop143,1704
1000,pop144,6013
1000,pop145,915
1000,pop146,570
1000,pop147,4
1000,pop148,3478
